j	k	tau	M_bd	G_bd	M_hf	G_hf
8	43	1.68175857	0.0023054615	0.0427599416	0.0131697996	0.2442633944
8	44	1.70474809	0.0022459288	0.0421373598	0.0132042076	0.2477328931
8	45	1.72722095	0.0021821457	0.0414033030	0.0128647275	0.2440910416
8	46	1.74919985	0.0021268635	0.0408003169	0.0127571311	0.2447242058
8	47	1.77070606	0.0020786525	0.0403065677	0.0126259905	0.2448270397
8	48	1.79175947	0.0020431080	0.0400365772	0.0131656371	0.2579927437
8	49	1.81237876	0.0019721301	0.0390461839	0.0123373930	0.2442679191
8	50	1.83258146	0.0019174711	0.0383494211	0.0122405535	0.2448110693
9	9	0.00000000	0.0141921449	0.1277293043	0.0359855764	0.3238701878
9	10	0.10536052	0.0116198566	0.1102356386	0.0257252323	0.2440509826
9	11	0.20067070	0.0102065825	0.1015542138	0.0244310634	0.2430860112
9	12	0.28768207	0.0092232450	0.0958507738	0.0239785189	0.2491920783
9	13	0.36772478	0.0084079677	0.0909460755	0.0225096073	0.2434786303
9	14	0.44183275	0.0077446208	0.0869331526	0.0217097215	0.2436910195
9	15	0.51082562	0.0072101226	0.0837740543	0.0213730345	0.2483322196
9	16	0.57536414	0.0067414744	0.0808976930	0.0203343698	0.2440124377
9	17	0.63598877	0.0064021531	0.0791902599	0.0197866769	0.2447476759
9	18	0.69314718	0.0062541106	0.0796018326	0.0223712873	0.2847400012
9	19	0.74721440	0.0056694830	0.0741381107	0.0187244741	0.2448542714
9	20	0.79850770	0.0052691748	0.0706933986	0.0181634136	0.2436877647
9	21	0.84729786	0.0049614863	0.0682091598	0.0179957182	0.2474002224
9	22	0.89381788	0.0046928589	0.0660343774	0.0173442501	0.2440552322
9	23	0.93826964	0.0044562809	0.0641147171	0.0169562501	0.2439579568
9	24	0.98082925	0.0042489485	0.0624465340	0.0168247864	0.2472728500
9	25	1.02165125	0.0040574619	0.0608619278	0.0162950486	0.2444257283
9	26	1.06087196	0.0039128058	0.0598544198	0.0160053345	0.2448345387
9	27	1.09861229	0.0038360037	0.0597973802	0.0174056703	0.2713275482
9	28	1.13497993	0.0035903906	0.0569956836	0.0154382325	0.2450743432
9	29	1.17007125	0.0034185601	0.0552285282	0.0151419647	0.2446259259
9	30	1.20397280	0.0032725993	0.0537742937	0.0150094216	0.2466299638
9	31	1.23676263	0.0031432527	0.0525026709	0.0146346908	0.2444475294
9	32	1.26851133	0.0030261697	0.0513558028	0.0144037415	0.2444395997
9	33	1.29928298	0.0029182769	0.0502926729	0.0143008570	0.2464565066
9	34	1.32913595	0.0028207200	0.0493424472	0.0139849217	0.2446362168
9	35	1.35812348	0.0027401772	0.0486333215	0.0138117987	0.2451351093
9	36	1.38629436	0.0026948231	0.0485068153	0.0147274250	0.2650936504
9	37	1.41369334	0.0025670336	0.0468439673	0.0134403188	0.2452628030
9	38	1.44036158	0.0024728619	0.0457312334	0.0132263816	0.2445986760
9	39	1.46633707	0.0023925325	0.0448240816	0.0131617449	0.2465852113
9	40	1.49165488	0.0023122275	0.0438714331	0.0128623544	0.2440460164
9	41	1.51634749	0.0022467849	0.0431593294	0.0127257544	0.2444537589
9	42	1.54044504	0.0021816594	0.0424163060	0.0126786749	0.2465016142
9	43	1.56397554	0.0021241510	0.0417869691	0.0124486447	0.2448936674
9	44	1.58696506	0.0020773186	0.0413381173	0.0123014568	0.2447959004
9	45	1.60943791	0.0020456641	0.0411681964	0.0129583219	0.2607811976
9	46	1.63141682	0.0019684887	0.0400528191	0.0120386384	0.2449500542
9	47	1.65292302	0.0019093206	0.0392689281	0.0119097448	0.2449472892
9	48	1.67397643	0.0018548910	0.0385531854	0.0118493246	0.2462835864
9	49	1.69459572	0.0018066160	0.0379389370	0.0116504622	0.2446597056
9	50	1.71479843	0.0017606643	0.0373493309	0.0115258702	0.2445006298
10	10	0.00000000	0.0115942246	0.1159422463	0.0324343639	0.3243436390
10	11	0.09531018	0.0096490278	0.1011998574	0.0233309717	0.2446972958
10	12	0.18232156	0.0085482964	0.0936418949	0.0224320344	0.2457306251
10	13	0.26236426	0.0077397950	0.0882472409	0.0213645529	0.2435933820
10	14	0.33647224	0.0071012966	0.0840236741	0.0207352050	0.2453422544
10	15	0.40546511	0.0066527495	0.0814792077	0.0209593909	0.2566990648
10	16	0.47000363	0.0061315501	0.0775586559	0.0193999854	0.2453925619
10	17	0.53062825	0.0057505698	0.0749782564	0.0187148950	0.2440123776
10	18	0.58778666	0.0054398651	0.0729834483	0.0183048164	0.2455848826
10	19	0.64185389	0.0052039954	0.0717321268	0.0177700781	0.2449436227
10	20	0.69314718	0.0050975077	0.0720896445	0.0201351550	0.2847540922
10	21	0.74193734	0.0046539648	0.0674423573	0.0169134867	0.2450997073
10	22	0.78845736	0.0043607565	0.0646804722	0.0165448154	0.2453992692
10	23	0.83290912	0.0041140058	0.0623919866	0.0160977727	0.2441348106
10	24	0.87546874	0.0039069460	0.0605261465	0.0158468243	0.2454979466
10	25	0.91629073	0.0037441960	0.0592009369	0.0159591224	0.2523358809
10	26	0.95551145	0.0035575558	0.0573638643	0.0152161930	0.2453537398
10	27	0.99325177	0.0034132418	0.0560852859	0.0148689975	0.2443225606
10	28	1.02961942	0.0032806157	0.0548952003	0.0146699501	0.2454752172
10	29	1.06471074	0.0031795301	0.0541454472	0.0144080706	0.2453606008
10	30	1.09861229	0.0031206827	0.0540518104	0.0156853564	0.2716783422
10	31	1.13140211	0.0029402399	0.0517682656	0.0139286121	0.2452385216
10	32	1.16315081	0.0028103977	0.0502739220	0.0137177389	0.2453903730
10	33	1.19392247	0.0026975927	0.0490042050	0.0134644304	0.2445935242
10	34	1.22377543	0.0025981515	0.0479075471	0.0133059405	0.2453494199
10	35	1.25276297	0.0025176895	0.0471016574	0.0133850943	0.2504121848
10	36	1.28093385	0.0024272695	0.0460542000	0.0129451605	0.2456171519
10	37	1.30833282	0.0023497975	0.0451992566	0.0127249971	0.2447702058
10	38	1.33500107	0.0022840770	0.0445248570	0.0125915466	0.2454544305
10	39	1.36097655	0.0022264759	0.0439693756	0.0124247808	0.2453697615
10	40	1.38629436	0.0021912791	0.0438255827	0.0132380844	0.2647616885
10	41	1.41098697	0.0020980127	0.0424815196	0.0121009967	0.2450265090
10	42	1.43508453	0.0020236784	0.0414730654	0.0119846841	0.2456129363
10	43	1.45861502	0.0019618611	0.0406820175	0.0118140717	0.2449818056
10	44	1.48160454	0.0019082555	0.0400279052	0.0116918414	0.2452501340
10	45	1.50407740	0.0018591045	0.0394375630	0.0117368384	0.2489759412
10	46	1.52605630	0.0018074542	0.0387655744	0.0114312898	0.2451738515
10	47	1.54756251	0.0017630138	0.0382212278	0.0112966490	0.2449055154
10	48	1.56861592	0.0017190881	0.0376633332	0.0112057539	0.2455057670
10	49	1.58923521	0.0016849732	0.0372984729	0.0110744255	0.2451428579
10	50	1.60943791	0.0016624494	0.0371734988	0.0116818862	0.2612149173
11	11	0.00000000	0.0096590063	0.1062490689	0.0295966377	0.3255630143
11	12	0.08701138	0.0081476434	0.0936092961	0.0213904046	0.2457570391
11	13	0.16705408	0.0072699494	0.0869359511	0.0204396587	0.2444227677
11	14	0.24116206	0.0066091545	0.0820174507	0.0196810083	0.2442348899
11	15	0.31015493	0.0060965625	0.0783117627	0.0190172301	0.2442807440
11	16	0.37469345	0.0056793251	0.0753447612	0.0184410082	0.2446476200
11	17	0.43531807	0.0053110517	0.0726275398	0.0178999972	0.2447787799
11	18	0.49247649	0.0049841232	0.0701328302	0.0173804705	0.2445648980
11	19	0.54654371	0.0047131075	0.0681366050	0.0169263596	0.2447015415
11	20	0.59783700	0.0044830272	0.0664940391	0.0164839004	0.2444957539
11	21	0.64662716	0.0043101575	0.0655087218	0.0161620105	0.2456412931
11	22	0.69314718	0.0042438016	0.0660180589	0.0183705596	0.2857788405
11	23	0.73759894	0.0039019596	0.0620644662	0.0154323968	0.2454672987
11	24	0.78015856	0.0036682185	0.0596014957	0.0150925828	0.2452254442
11	25	0.82098055	0.0034722764	0.0575811900	0.0147814048	0.2451218679
11	26	0.86020127	0.0033114578	0.0560018336	0.0144947743	0.2451288753
11	27	0.89794159	0.0031706139	0.0546413700	0.0142175183	0.2450202742
11	28	0.93430924	0.0030336113	0.0532396617	0.0139730230	0.2452255590
11	29	0.96940056	0.0029127866	0.0520240315	0.0137340612	0.2452981770
11	30	1.00330211	0.0028038382	0.0509342510	0.0134866073	0.2449963884
11	31	1.03609193	0.0027123062	0.0500859492	0.0132768415	0.2451726150
11	32	1.06784063	0.0026358818	0.0494535267	0.0130985731	0.2457510142
11	33	1.09861229	0.0025947690	0.0494369900	0.0142948695	0.2723538432
11	34	1.12846525	0.0024553470	0.0474841507	0.0127137742	0.2458726911
11	35	1.15745279	0.0023538472	0.0461858177	0.0125179252	0.2456194284
11	36	1.18562367	0.0022687906	0.0451483628	0.0123303527	0.2453709215
11	37	1.21302264	0.0021899543	0.0441806666	0.0121703700	0.2455279768
11	38	1.23969089	0.0021218263	0.0433808421	0.0120032644	0.2454073199
11	39	1.26566637	0.0020567830	0.0426007370	0.0118620996	0.2456915466
11	40	1.29098418	0.0019907930	0.0417592260	0.0116729896	0.2448546956
11	41	1.31567679	0.0019397137	0.0411932359	0.0115505702	0.2452966941
11	42	1.33977435	0.0018858666	0.0405351671	0.0114251889	0.2455751268
11	43	1.36330484	0.0018473196	0.0401765480	0.0113080687	0.2459342456
11	44	1.38629436	0.0018234133	0.0401150922	0.0120873683	0.2659221028
11	45	1.40876722	0.0017497473	0.0389294203	0.0110422785	0.2456751867
11	46	1.43074612	0.0016962588	0.0381563978	0.0109076825	0.2453622506
11	47	1.45225233	0.0016475624	0.0374616701	0.0108094702	0.2457817769
11	48	1.47330574	0.0016017419	0.0368052265	0.0106895032	0.2456260829
11	49	1.49392503	0.0015606970	0.0362337255	0.0105680119	0.2453509122
11	50	1.51412773	0.0015224993	0.0357057741	0.0104667711	0.2454675401
12	12	0.00000000	0.0081700946	0.0980411353	0.0272216994	0.3266603933
12	13	0.08004271	0.0069729913	0.0870926330	0.0197286741	0.2464110608
12	14	0.15415068	0.0062536747	0.0810568877	0.0190128782	0.2464350668
12	15	0.22314355	0.0057297243	0.0768723181	0.0185110601	0.2483519318
12	16	0.28768207	0.0053115878	0.0735995193	0.0181355934	0.2512941541
12	17	0.34830669	0.0049373806	0.0705199004	0.0171566021	0.2450452921
12	18	0.40546511	0.0046831991	0.0688286888	0.0175819151	0.2584003240
12	19	0.45953233	0.0043685305	0.0659633634	0.0162385573	0.2451968379
12	20	0.51082562	0.0041388560	0.0641188820	0.0161346395	0.2499567605
12	21	0.55961579	0.0039320482	0.0624193299	0.0156076770	0.2477641911
12	22	0.60613580	0.0037651698	0.0611767676	0.0151629243	0.2463683579
12	23	0.65058757	0.0036363041	0.0604108201	0.0148073616	0.2459983667
12	24	0.69314718	0.0035849437	0.0608385113	0.0168959329	0.2867334891
12	25	0.73396918	0.0033144916	0.0574086789	0.0142376714	0.2466037027
12	26	0.77318989	0.0031280013	0.0552515197	0.0139588146	0.2465618259
12	27	0.81093022	0.0029788963	0.0536201336	0.0137498761	0.2474977700
12	28	0.84729786	0.0028446443	0.0521431910	0.0136024840	0.2493376504
12	29	0.88238918	0.0027239816	0.0508152178	0.0131805231	0.2458794699
12	30	0.91629073	0.0026290355	0.0498824423	0.0133571157	0.2534334520
12	31	0.94908055	0.0025181320	0.0485679707	0.0127383135	0.2456876931
12	32	0.98082925	0.0024320955	0.0476591435	0.0126952260	0.2487746073
12	33	1.01160091	0.0023492002	0.0467484943	0.0124228913	0.2472124146
12	34	1.04145387	0.0022784956	0.0460233548	0.0122013992	0.2464561820
12	35	1.07044141	0.0022206509	0.0455098005	0.0120264489	0.2464688590
12	36	1.09861229	0.0021924084	0.0455683520	0.0131521440	0.2733621786
12	37	1.12601126	0.0020824720	0.0438804077	0.0117043141	0.2466252025
12	38	1.15267951	0.0020028294	0.0427687319	0.0115419355	0.2464682980
12	39	1.17865500	0.0019349626	0.0418596422	0.0114334521	0.2473433876
12	40	1.20397280	0.0018710465	0.0409925747	0.0113180656	0.2479663926
12	41	1.22866542	0.0018138196	0.0402324644	0.0110758484	0.2456742030
12	42	1.25276297	0.0017659343	0.0396451262	0.0112145761	0.2517666082
12	43	1.27629347	0.0017117652	0.0388838313	0.0108329774	0.2460779439
12	44	1.29928298	0.0016694554	0.0383611636	0.0108009657	0.2481872971
12	45	1.32175584	0.0016275168	0.0378200730	0.0106290280	0.2469962916
12	46	1.34373475	0.0015906227	0.0373711721	0.0104849753	0.2463411431
12	47	1.36524095	0.0015598704	0.0370448697	0.0103852981	0.2466371656
12	48	1.38629436	0.0015379873	0.0369116945	0.0111117011	0.2666808267
12	49	1.40691365	0.0014806244	0.0359032332	0.0101617233	0.2464086949
12	50	1.42711636	0.0014366678	0.0351910314	0.0100599942	0.2464185253
13	13	0.00000000	0.0070082012	0.0911066154	0.0251468418	0.3269089433
13	14	0.07410797	0.0060309800	0.0813623685	0.0182782526	0.2465871092
13	15	0.14310084	0.0054423498	0.0759982796	0.0175579858	0.2451839279
13	16	0.20763936	0.0050014162	0.0721314502	0.0169972001	0.2451371059
13	17	0.26826399	0.0046449934	0.0690527916	0.0164946431	0.2452104981
13	18	0.32542240	0.0043415542	0.0664130088	0.0160272678	0.2451700530
13	19	0.37948962	0.0041003944	0.0644427562	0.0156179518	0.2454553803
13	20	0.43078292	0.0038680818	0.0623709446	0.0152081028	0.2452232891
13	21	0.47957308	0.0036569484	0.0604227047	0.0148527812	0.2454082206
13	22	0.52609310	0.0034870107	0.0589707013	0.0145120647	0.2454212829
13	23	0.57054486	0.0033335066	0.0576417178	0.0141799998	0.2451951185
13	24	0.61310447	0.0032064958	0.0566380081	0.0139264127	0.2459894938
13	25	0.65392647	0.0031071035	0.0560141054	0.0136816308	0.2466491068
13	26	0.69314718	0.0030698564	0.0564386235	0.0156049739	0.2868939551
13	27	0.73088751	0.0028551459	0.0534911412	0.0131531074	0.2464233873
13	28	0.76725515	0.0027015067	0.0515414637	0.0128886694	0.2459001393
13	29	0.80234647	0.0025774757	0.0500455253	0.0126706800	0.2460201032
13	30	0.83624802	0.0024647384	0.0486746833	0.0124438054	0.2457454654
13	31	0.86903785	0.0023701590	0.0475806097	0.0122385245	0.2456866638
13	32	0.90078655	0.0022854206	0.0466136179	0.0120590685	0.2459577024
13	33	0.93155820	0.0022041244	0.0456525199	0.0118663427	0.2457794308
13	34	0.96141117	0.0021264207	0.0447054360	0.0116942278	0.2458570603
13	35	0.99039870	0.0020579466	0.0438975021	0.0115353748	0.2460579531
13	36	1.01856958	0.0019987199	0.0432389217	0.0113779199	0.2461420421
13	37	1.04596856	0.0019420915	0.0425933922	0.0112284885	0.2462599774
13	38	1.07263680	0.0019008684	0.0422489116	0.0110954680	0.2466091013
13	39	1.09861229	0.0018773353	0.0422713212	0.0121529566	0.2736439967
13	40	1.12393010	0.0017873613	0.0407581085	0.0107946459	0.2461558003
13	41	1.14862271	0.0017248639	0.0398215755	0.0106513293	0.2459050320
13	42	1.17272026	0.0016663897	0.0389379320	0.0105386849	0.2462536860
13	43	1.19625076	0.0016166910	0.0382237165	0.0104173595	0.2462995146
13	44	1.21924028	0.0015731307	0.0376238140	0.0102851902	0.2459859733
13	45	1.24171313	0.0015315559	0.0370433961	0.0101763535	0.2461331544
13	46	1.26369204	0.0014924502	0.0364964341	0.0100538841	0.2458580696
13	47	1.28519824	0.0014540077	0.0359407645	0.0099609760	0.2462195312
13	48	1.30625165	0.0014167328	0.0353899732	0.0098646211	0.2464181567
13	49	1.32687094	0.0013846872	0.0349479253	0.0097462676	0.2459846733
13	50	1.34707365	0.0013546857	0.0345378453	0.0096542737	0.2461366490
14	14	0.00000000	0.0060608178	0.0848514496	0.0233883128	0.3274363798
14	15	0.06899287	0.0052682138	0.0763436710	0.0170395655	0.2469267637
14	16	0.13353139	0.0047777067	0.0715061668	0.0164823021	0.2466845089
14	17	0.19415601	0.0044028630	0.0679240616	0.0159173187	0.2455604335
14	18	0.25131443	0.0040983424	0.0650591684	0.0155268723	0.2464814565
14	19	0.30538165	0.0038488386	0.0627726585	0.0150535442	0.2455158753
14	20	0.35667494	0.0036258011	0.0606712571	0.0147012351	0.2459987153
14	21	0.40546511	0.0034697742	0.0594942340	0.0151048811	0.2589947591
14	22	0.45198512	0.0032651371	0.0573029231	0.0140352134	0.2463169950
14	23	0.49643689	0.0031101928	0.0558104141	0.0136771827	0.2454282690
14	24	0.53899650	0.0029742717	0.0545193004	0.0134565249	0.2466621754
14	25	0.57981850	0.0028546744	0.0534060685	0.0131459462	0.2459381327
14	26	0.61903921	0.0027584081	0.0526270727	0.0129332134	0.2467499844
14	27	0.65677954	0.0026850085	0.0522025316	0.0126979578	0.2468765162
14	28	0.69314718	0.0026527825	0.0525224129	0.0145096839	0.2872770847
14	29	0.72823850	0.0024775014	0.0499202696	0.0122684361	0.2472021378
14	30	0.76214005	0.0023521786	0.0482053164	0.0120318309	0.2465791583
14	31	0.79492987	0.0022483697	0.0468395363	0.0118113024	0.2460609255
14	32	0.82667857	0.0021585003	0.0456868410	0.0116496383	0.2465763668
14	33	0.85745023	0.0020755394	0.0446120290	0.0114404101	0.2459022945
14	34	0.88730320	0.0020039006	0.0437199491	0.0113044538	0.2466340644
14	35	0.91629073	0.0019453880	0.0430629997	0.0114923247	0.2543934512
14	36	0.94446161	0.0018744949	0.0420823050	0.0109919465	0.2467685877
14	37	0.97186058	0.0018147525	0.0413030657	0.0108242193	0.2463550459
14	38	0.99852883	0.0017629065	0.0406616580	0.0106924982	0.2466238098
14	39	1.02450432	0.0017154715	0.0400848099	0.0105374767	0.2462254558
14	40	1.04982212	0.0016706679	0.0395352193	0.0104027080	0.2461730030
14	41	1.07451474	0.0016375546	0.0392330188	0.0102991711	0.2467506010
14	42	1.09861229	0.0016199540	0.0392817980	0.0112980210	0.2739624485
14	43	1.12214279	0.0015495604	0.0380195304	0.0100730704	0.2471497149
14	44	1.14513230	0.0014976138	0.0371697966	0.0099452074	0.2468335572
14	45	1.16760516	0.0014511968	0.0364247510	0.0098146544	0.2463458699
14	46	1.18958407	0.0014097664	0.0357758602	0.0097144246	0.2465244603
14	47	1.21109027	0.0013730841	0.0352216821	0.0096173013	0.2466983058
14	48	1.23214368	0.0013349932	0.0346069787	0.0095240724	0.2468921740
14	49	1.25276297	0.0013071985	0.0342376212	0.0096185139	0.2519242839
14	50	1.27296568	0.0012709311	0.0336256750	0.0093213101	0.2466186830
15	15	0.00000000	0.0053058877	0.0795883157	0.0218451004	0.3276765066
15	16	0.06453852	0.0046433954	0.0719351728	0.0159643048	0.2473179462
15	17	0.12516314	0.0042289279	0.0675305626	0.0153973230	0.2458755303
15	18	0.18232156	0.0039145732	0.0643230021	0.0150956687	0.2480471485
15	19	0.23638878	0.0036554495	0.0617110899	0.0145545916	0.2457097860
15	20	0.28768207	0.0034453542	0.0596752848	0.0145376808	0.2518000175
15	21	0.33647224	0.0032466954	0.0576231267	0.0139506590	0.2475996341
15	22	0.38299225	0.0030916665	0.0561629104	0.0135380103	0.2459301710
15	23	0.42744401	0.0029417000	0.0546396525	0.0132272184	0.2456846770
15	24	0.47000363	0.0028024024	0.0531718473	0.0130600614	0.2477972417
15	25	0.51082562	0.0026847255	0.0519894865	0.0129706386	0.2511753371
15	26	0.55004634	0.0025713099	0.0507793024	0.0124577062	0.2460199860
15	27	0.58778666	0.0024840190	0.0499899187	0.0123019886	0.2475727445
15	28	0.62415431	0.0024023228	0.0492329666	0.0120235568	0.2464095900
15	29	0.65924563	0.0023447485	0.0489036082	0.0118557942	0.2472721928
15	30	0.69314718	0.0023193661	0.0492011844	0.0135409377	0.2872466654
15	31	0.72593700	0.0021739201	0.0468781051	0.0114621475	0.2471681285
15	32	0.75768570	0.0020710802	0.0453750935	0.0112411124	0.2462804329
15	33	0.78845736	0.0019838163	0.0441371263	0.0111160434	0.2473163537
15	34	0.81831032	0.0019065224	0.0430553383	0.0109055233	0.2462813912
15	35	0.84729786	0.0018418479	0.0422020380	0.0109185350	0.2501750658
15	36	0.87546874	0.0017782175	0.0413220405	0.0106576057	0.2476603770
15	37	0.90286771	0.0017226715	0.0405834501	0.0104724467	0.2467144852
15	38	0.92953596	0.0016699364	0.0398691851	0.0103212032	0.2464153496
15	39	0.95551145	0.0016186530	0.0391499937	0.0102371189	0.2476028734
15	40	0.98082925	0.0015716804	0.0384981493	0.0101669593	0.2490386245
15	41	1.00552187	0.0015297604	0.0379368232	0.0099286985	0.2462237159
15	42	1.02961942	0.0014915364	0.0374372656	0.0098629422	0.2475578841
15	43	1.05314991	0.0014579108	0.0370263422	0.0097129781	0.2466790488
15	44	1.07613943	0.0014314395	0.0367743457	0.0096170337	0.2470660686
15	45	1.09861229	0.0014181087	0.0368435455	0.0105404647	0.2738493067
15	46	1.12059120	0.0013593969	0.0357084359	0.0094001104	0.2469206994
15	47	1.14209740	0.0013157616	0.0349358869	0.0092924919	0.2467327226
15	48	1.16315081	0.0012759454	0.0342372080	0.0092240647	0.2475076273
15	49	1.18377010	0.0012414963	0.0336580611	0.0090904867	0.2464511243
15	50	1.20397280	0.0012103487	0.0331467635	0.0090900184	0.2489404073
16	16	0.00000000	0.0046793030	0.0748688487	0.0205192135	0.3283074154
16	17	0.06062462	0.0041232254	0.0680019751	0.0150213021	0.2477376611
16	18	0.11778304	0.0037713878	0.0640025730	0.0145654692	0.2471842098
16	19	0.17185026	0.0035008522	0.0610394443	0.0141090333	0.2459994012
16	20	0.22314355	0.0032779282	0.0586373622	0.0139430779	0.2494213597
16	21	0.27193372	0.0030870647	0.0565868314	0.0134216123	0.2460222178
16	22	0.31845373	0.0029246592	0.0548714703	0.0131448222	0.2466187242
16	23	0.36290549	0.0027816140	0.0533606084	0.0128090820	0.2457207977
16	24	0.40546511	0.0026796976	0.0525111341	0.0132573371	0.2597896892
16	25	0.44628710	0.0025347952	0.0506959030	0.0123183796	0.2463675914
16	26	0.48550782	0.0024267555	0.0494962942	0.0121047474	0.2468893729
16	27	0.52324814	0.0023350731	0.0485335822	0.0118520080	0.2463393601
16	28	0.55961579	0.0022481592	0.0475845605	0.0117684035	0.2490901512
16	29	0.59470711	0.0021733225	0.0468147989	0.0114515826	0.2466746390
16	30	0.62860866	0.0021082662	0.0461897988	0.0112704977	0.2469242324
16	31	0.66139848	0.0020631546	0.0459486344	0.0111057319	0.2473363934
16	32	0.69314718	0.0020459971	0.0462956289	0.0127171636	0.2877565629
16	33	0.72391884	0.0019231747	0.0441911894	0.0107617772	0.2472868122
16	34	0.75377180	0.0018352760	0.0428056244	0.0105984462	0.2471961193
16	35	0.78275934	0.0017607134	0.0416660841	0.0104281506	0.2467750837
16	36	0.81093022	0.0017001268	0.0408030422	0.0103747877	0.2489949049
16	37	0.83832919	0.0016398007	0.0398980719	0.0101472945	0.2468943318
16	38	0.86499744	0.0015878608	0.0391529265	0.0100189963	0.2470449653
16	39	0.89097292	0.0015394254	0.0384548346	0.0098808159	0.2468227022
16	40	0.91629073	0.0014990757	0.0379239480	0.0100464636	0.2541576593
16	41	0.94098334	0.0014502501	0.0371445275	0.0096193112	0.2463745794
16	42	0.96508090	0.0014092401	0.0365316783	0.0095344839	0.2471620704
16	43	0.98861139	0.0013736864	0.0360314552	0.0094117594	0.2468681352
16	44	1.01160091	0.0013411251	0.0355840700	0.0093620278	0.2484026679
16	45	1.03407377	0.0013093350	0.0351331440	0.0091940096	0.2467011667
16	46	1.05605267	0.0012835606	0.0348221258	0.0091024409	0.2469430304
16	47	1.07755888	0.0012608566	0.0345759894	0.0090296836	0.2476175667
16	48	1.09861229	0.0012484561	0.0345982295	0.0099055689	0.2745111765
16	49	1.11923158	0.0011995228	0.0335866395	0.0088287046	0.2472037292
16	50	1.13943428	0.0011625444	0.0328817205	0.0087386223	0.2471655648
17	17	0.00000000	0.0041570987	0.0706706778	0.0193312863	0.3286318669
17	18	0.05715841	0.0036838406	0.0644408921	0.0141793874	0.2480379779
17	19	0.11122564	0.0033844093	0.0608252829	0.0137176868	0.2465370219
17	20	0.16251893	0.0031438500	0.0579697290	0.0133297623	0.2457886725
17	21	0.21130909	0.0029535141	0.0558050065	0.0130321596	0.2462354040
17	22	0.25782911	0.0027897272	0.0539507563	0.0127249685	0.2460891784
17	23	0.30228087	0.0026482310	0.0523653774	0.0124358721	0.2459034512
17	24	0.34484049	0.0025214577	0.0509309497	0.0122025767	0.2464799682
17	25	0.38566248	0.0024133717	0.0497529330	0.0119622924	0.2466089756
17	26	0.42488319	0.0023124530	0.0486165393	0.0117358693	0.2467325215
17	27	0.46262352	0.0022118262	0.0473867963	0.0115002375	0.2463843694
17	28	0.49899117	0.0021246011	0.0463533230	0.0113062722	0.2466737379
17	29	0.53408249	0.0020479802	0.0454725395	0.0111119236	0.2467247426
17	30	0.56798404	0.0019772790	0.0446532459	0.0109057904	0.2462874220
17	31	0.60077386	0.0019181366	0.0440336647	0.0107456184	0.2466815795
17	32	0.63252256	0.0018689211	0.0435903566	0.0105812160	0.2467942460
17	33	0.66329422	0.0018287807	0.0433154723	0.0104498855	0.2475101222
17	34	0.69314718	0.0018151601	0.0436394088	0.0119815084	0.2880549973
17	35	0.72213472	0.0017126333	0.0417756175	0.0101671680	0.2480038834
17	36	0.75030559	0.0016391382	0.0405500397	0.0099917744	0.2471828466
17	37	0.77770457	0.0015752076	0.0395060051	0.0098535413	0.2471255574
17	38	0.80437282	0.0015199183	0.0386310495	0.0097166657	0.2469639252
17	39	0.83034830	0.0014710710	0.0378782938	0.0095904782	0.2469431736
17	40	0.85566611	0.0014231456	0.0371110961	0.0094432041	0.2462486354
17	41	0.88035872	0.0013821018	0.0364885347	0.0093445052	0.2467020160
17	42	0.90445627	0.0013450972	0.0359420445	0.0092500098	0.2471674615
17	43	0.92798677	0.0013083435	0.0353736979	0.0091382039	0.2470697252
17	44	0.95097629	0.0012730731	0.0348180266	0.0090269390	0.2468830692
17	45	0.97344915	0.0012410462	0.0343256414	0.0089231256	0.2468014605
17	46	0.99542805	0.0012118160	0.0338875403	0.0088200105	0.2466450938
17	47	1.01693426	0.0011835735	0.0334555853	0.0087493206	0.2473134416
17	48	1.03798767	0.0011569588	0.0330493532	0.0086503605	0.2471037218
17	49	1.05860695	0.0011351854	0.0327634262	0.0085613908	0.2470966288
17	50	1.07880966	0.0011164529	0.0325499157	0.0084856007	0.2473956488
18	18	0.00000000	0.0037166855	0.0669003398	0.0182723659	0.3289025869
18	19	0.05406722	0.0033155687	0.0613156145	0.0134197356	0.2481744190
18	20	0.10536052	0.0030483661	0.0578386805	0.0130151283	0.2469446973
18	21	0.15415068	0.0028448781	0.0553107525	0.0127550357	0.2479862377
18	22	0.20067070	0.0026787633	0.0533067171	0.0124034840	0.2468262157
18	23	0.24512246	0.0025326658	0.0515321248	0.0120949073	0.2460949568
18	24	0.28768207	0.0024160065	0.0502157513	0.0121831188	0.2532213682
18	25	0.32850407	0.0022935503	0.0486535488	0.0116300406	0.2467104165
18	26	0.36772478	0.0021976388	0.0475421954	0.0114177946	0.2470046624
18	27	0.40546511	0.0021300216	0.0469571947	0.0117949269	0.2600239731
18	28	0.44183275	0.0020222754	0.0453999712	0.0110114982	0.2472075215
18	29	0.47692407	0.0019454808	0.0444490213	0.0108027544	0.2468139786
18	30	0.51082562	0.0018785461	0.0436534677	0.0108354030	0.2517920129
18	31	0.54361545	0.0018123478	0.0428113233	0.0104423922	0.2466704358
18	32	0.57536414	0.0017573513	0.0421764313	0.0102960223	0.2471045348
18	33	0.60613580	0.0017067055	0.0415960220	0.0101668774	0.2477883070
18	34	0.63598877	0.0016639266	0.0411632714	0.0100034231	0.2474710191
