j	k	tau	M_bd	G_bd	M_hf	G_hf
2	35	2.86220088	0.0070229730	0.0587584080	0.0275091889	0.2301583873
2	36	2.89037176	0.0068112832	0.0577956542	0.0275181411	0.2334991697
2	37	2.91777073	0.0065540315	0.0563799107	0.0267588389	0.2301882363
2	38	2.94443898	0.0063631182	0.0554723785	0.0267375859	0.2330928703
2	39	2.97041447	0.0061342583	0.0541763025	0.0260391703	0.2299717255
2	40	2.99573227	0.0059567102	0.0532784357	0.0259713966	0.2322952333
2	41	3.02042489	0.0057557066	0.0521201402	0.0253739239	0.2297706531
2	42	3.04452244	0.0055972143	0.0512993167	0.0254160989	0.2329423943
2	43	3.06805294	0.0054152649	0.0502191005	0.0247926190	0.2299172906
2	44	3.09104245	0.0052811110	0.0495412128	0.0247907034	0.2325574120
2	45	3.11351531	0.0051166572	0.0485408718	0.0242089602	0.2296663624
2	46	3.13549422	0.0049938062	0.0478989061	0.0242153767	0.2322657336
2	47	3.15700042	0.0048500194	0.0470226828	0.0237387639	0.2301558554
2	48	3.17805383	0.0047257451	0.0463026566	0.0237258626	0.2324650281
2	49	3.19867312	0.0045940846	0.0454791172	0.0232148108	0.2298149020
2	50	3.21887582	0.0044829912	0.0448299118	0.0232165103	0.2321651029
3	3	0.00000000	0.1030191922	0.3090575765	0.1021017389	0.3063052166
3	4	0.28768207	0.0669898337	0.2320595912	0.0682164048	0.2363085579
3	5	0.51082562	0.0533987118	0.2068123215	0.0609168097	0.2359297896
3	6	0.69314718	0.0475567125	0.2017660433	0.0640204353	0.2716157036
3	7	0.84729786	0.0377661313	0.1730661556	0.0515767574	0.2363543948
3	8	0.98082925	0.0325675435	0.1595477273	0.0482046768	0.2361537226
3	9	1.09861229	0.0297536814	0.1546046637	0.0499642282	0.2596217452
3	10	1.20397280	0.0253999626	0.1391213247	0.0430753091	0.2359331847
3	11	1.29928298	0.0227618638	0.1307569525	0.0411040733	0.2361249244
3	12	1.38629436	0.0211572029	0.1269432176	0.0423404276	0.2540425658
3	13	1.46633707	0.0187849339	0.1173118743	0.0378287341	0.2362403688
3	14	1.54044504	0.0171986863	0.1114602260	0.0364601853	0.2362890065
3	15	1.60943791	0.0161895615	0.1086028801	0.0373112825	0.2502916923
3	16	1.67397643	0.0146930233	0.1017962512	0.0341109197	0.2363273840
