N	total	odd	even	E1	E2	E3	E4	partition_sum	f64_err	mpfr_err
10	1.925791792430656e0	1.388015857762821e0	5.377759346678348e-1	1.388015857762821e0	1.388015857762821e0	1.388015857762821e0	1.388015857762821e0	1.388015857762821e0	0.000000000000000e0	0.000000000000000e0
50	4.125340893673994e0	2.773309513444274e0	1.352031380229720e0	2.773309513444274e0	2.773309513444274e0	2.773309513444274e0	2.773309513444274e0	2.773309513444274e0	1.601296961977144e-16	0.000000000000000e0
100	6.002339596502488e0	4.001050759751843e0	2.001288836750645e0	4.001050759751842e0	4.001050759751842e0	4.001050759751842e0	4.001050759751842e0	4.001050759751842e0	2.219862913599258e-16	0.000000000000000e0
500	1.618658278923856e1	1.075637166786575e1	5.430211121372807e0	1.075637166786576e1	1.075637166786576e1	1.075637166786576e1	1.075637166786576e1	1.075637166786576e1	4.954338398440754e-16	0.000000000000000e0
1000	2.598007784993570e1	1.727406294074477e1	8.706014909190930e0	1.727406294074477e1	1.727406294074477e1	1.727406294074477e1	1.727406294074477e1	1.727406294074477e1	2.056675196210282e-16	0.000000000000000e0
2000	4.263308088859647e1	2.836590334349783e1	1.426717754509864e1	2.836590334349783e1	2.836590334349783e1	2.836590334349783e1	2.836590334349783e1	2.836590334349783e1	0.000000000000000e0	0.000000000000000e0
5000	8.439195667157018e1	5.619458746373132e1	2.819736920783887e1	5.619458746373132e1	5.619458746373132e1	5.619458746373132e1	5.619458746373132e1	5.619458746373132e1	1.264432693306438e-16	0.000000000000000e0
10000	1.439452532339134e2	9.589052519314723e1	4.805472804076621e1	9.589052519314717e1	9.589052519314717e1	9.589052519314717e1	9.589052519314717e1	9.589052519314717e1	5.927949476375410e-16	0.000000000000000e0
1000000	6.370862067391541e3	4.247139019606465e3	2.123723047785076e3	4.247139019606461e3	4.247139019606461e3	4.247139019606461e3	4.247139019606461e3	4.247139019606461e3	8.565716333506794e-16	0.000000000000000e0
