N	min_gap	theoretical_bound	ratio	j	k
10	1.053605156578264e-1	9.090909090909091e-2	1.158965672236090e0	10	9
50	2.020270731751947e-2	1.960784313725490e-2	1.030338073193493e0	50	49
100	1.005033585350151e-2	9.900990099009901e-3	1.015083921203652e0	100	99
500	2.002002670672969e-3	1.996007984031936e-3	1.003003338007157e0	500	499
1000	1.000500333583622e-3	9.990009990009990e-4	1.001500833917206e0	1000	999
2000	5.001250416823734e-4	4.997501249375312e-4	1.000750208406429e0	2000	1999
5000	2.000200026670227e-4	1.999600079984003e-4	1.000300033337781e0	5000	4999
10000	1.000050003332754e-4	9.999000099990002e-5	1.000150008333088e0	10000	9999
