N	sum_vk_sq	integral	relative_error
10	1.925791792430656e0	6.963055069087944e-1	6.384315741475116e-1
50	4.125340893673995e0	9.790014545970820e-1	7.626859258835235e-1
100	6.002339596502487e0	1.070860243432278e0	8.215928595482570e-1
500	1.618658278923857e1	6.878189558040262e-1	9.575068459624898e-1
1000	2.598007784993574e1	3.737331799246023e-1	9.856146243254800e-1
2000	4.263308088859652e1	1.989554751376702e-1	9.953333075867175e-1
