residue	energy	count	fraction
0	0.000000000000000e0	0	0.000000000000000e0
1	1.519748988759708e2	10126	1.655520313391340e-1
2	1.525650654971314e2	10132	1.661949222618082e-1
3	1.529083433628122e2	10131	1.665688678830755e-1
4	0.000000000000000e0	0	0.000000000000000e0
5	1.533539326848693e2	10134	1.670542652609003e-1
6	1.535207639691427e2	10135	1.672360009172926e-1
7	1.536657248733806e2	10136	1.673939123377893e-1
