epsilon	sigma	min_zeta	t_at_min	eff_A	B_epsilon	gap
0.010000	0.510000	1.565004420239776e-2	465397.231723	0.318550	11920.000000	11919.681450
0.020000	0.520000	1.856661939797950e-3	465397.231723	0.481890	5920.000000	5919.518110
0.050000	0.550000	1.452680855725303e-2	105968.476848	0.365724	2320.000000	2319.634276
0.100000	0.600000	1.576479737577584e-2	422793.823382	0.320347	1120.000000	1119.679653
0.200000	0.700000	2.727230627616654e-2	451546.123612	0.276633	520.000000	519.723367
0.300000	0.800000	3.461980634411786e-2	406392.511251	0.260419	320.000000	319.739581
0.500000	1.000000	2.444047741006986e-1	17761.420142	0.143992	160.000000	159.856008
1.000000	1.500000	5.244481229538229e-1	164773.181318	0.053729	40.000000	39.946271
