k	lambda_k
863	2.457193487636982e-7
864	2.458316624367709e-7
865	2.459153238925746e-7
866	2.459982050762925e-7
867	2.460125385470229e-7
868	2.461180852655225e-7
869	2.461435590280900e-7
870	2.462296971550317e-7
871	2.463267752790651e-7
872	2.463885498047779e-7
873	2.464491542981657e-7
874	2.465695992810273e-7
875	2.466849158767807e-7
876	2.467369628768052e-7
877	2.468571448299879e-7
878	2.469093477102585e-7
879	2.470520627841277e-7
880	2.471006112768019e-7
881	2.471627505808621e-7
882	2.472362866096052e-7
883	2.472668929950342e-7
884	2.473396289201737e-7
885	2.474059642352298e-7
886	2.474539120090472e-7
887	2.475311892484247e-7
888	2.476089731613774e-7
889	2.476778184371425e-7
890	2.477897146176148e-7
891	2.479434030650369e-7
892	2.480032830053918e-7
893	2.480591084336749e-7
894	2.480866099643245e-7
895	2.481665475872132e-7
896	2.481930994937685e-7
897	2.483046461870956e-7
898	2.483925175733686e-7
899	2.484859169383610e-7
900	2.485312618925481e-7
901	2.485582115172504e-7
902	2.486021059304374e-7
903	2.487243155675442e-7
904	2.487464281067396e-7
905	2.488436023087166e-7
906	2.489012173653863e-7
907	2.489188398579862e-7
908	2.489677062715807e-7
909	2.490900505983110e-7
910	2.491331717162675e-7
911	2.491951432638965e-7
912	2.493098011469851e-7
913	2.493346666545838e-7
914	2.494012893049857e-7
915	2.495410758087628e-7
916	2.495789835402824e-7
917	2.496052340768407e-7
918	2.497196076030270e-7
919	2.497476370951278e-7
920	2.498180152187028e-7
921	2.498827132531542e-7
922	2.499334493329978e-7
923	2.500018907131167e-7
924	2.500397035940852e-7
925	2.501415638258554e-7
926	2.501810438007043e-7
927	2.502480893127943e-7
928	2.503285942113272e-7
929	2.503410964887255e-7
930	2.504310132236514e-7
931	2.504828149880016e-7
932	2.505435776081590e-7
933	2.506174139614213e-7
934	2.506779866259020e-7
935	2.507327341237260e-7
936	2.508333509349156e-7
937	2.509003182601407e-7
938	2.509399245654855e-7
939	2.510006085754424e-7
940	2.510416887509301e-7
941	2.511734286311781e-7
942	2.512197913817345e-7
943	2.512811080891995e-7
944	2.513625734139820e-7
945	2.514033301751171e-7
946	2.514070967467720e-7
947	2.514974236755669e-7
948	2.515422618801969e-7
949	2.516286610715710e-7
950	2.516829875664973e-7
951	2.517353061134093e-7
952	2.518117473388074e-7
953	2.518534606301124e-7
954	2.519005730421100e-7
955	2.519612869880933e-7
956	2.520343656609355e-7
957	2.520980851715482e-7
958	2.521802539382500e-7
959	2.522915300868767e-7
960	2.523101018391697e-7
961	2.523416369914889e-7
962	2.523941118757122e-7
963	2.524332029247145e-7
964	2.524526143929739e-7
965	2.525999620063840e-7
966	2.526248391816344e-7
967	2.526925001689644e-7
968	2.527047984839512e-7
969	2.527828072386604e-7
970	2.528276861714443e-7
971	2.528620665969154e-7
972	2.528984843319723e-7
973	2.529768811194762e-7
974	2.530083976035017e-7
975	2.530260067952735e-7
976	2.531310170699893e-7
977	2.531549155711139e-7
978	2.532172505162398e-7
979	2.532879888606544e-7
980	2.533127553940544e-7
981	2.533967449868982e-7
982	2.535092335441672e-7
983	2.535301461169853e-7
984	2.535945596306556e-7
985	2.536178854059085e-7
986	2.536497735701361e-7
987	2.537043526162309e-7
988	2.537174338322290e-7
989	2.537340918357040e-7
990	2.538404370290082e-7
991	2.538776431745497e-7
992	2.539318855308677e-7
993	2.539808132488927e-7
994	2.540349039729690e-7
995	2.540659580926494e-7
996	2.541227715537519e-7
997	2.541658277357706e-7
998	2.542023770745823e-7
999	2.542175401490841e-7
1000	2.543227332769943e-7
1001	2.543708624548215e-7
1002	2.544243411187746e-7
1003	2.544389157653419e-7
1004	2.545495523836426e-7
1005	2.545956392687356e-7
1006	2.546342272677611e-7
1007	2.546925344591831e-7
1008	2.547474087232817e-7
1009	2.547979608715268e-7
1010	2.548282470181212e-7
1011	2.549593523439077e-7
1012	2.549762041067413e-7
1013	2.550162195920966e-7
1014	2.550485226877752e-7
1015	2.550957978616958e-7
1016	2.551494458263799e-7
1017	2.551678408623304e-7
1018	2.551887996136508e-7
1019	2.552339750779275e-7
1020	2.552655091214978e-7
1021	2.553674953746258e-7
1022	2.554032462747246e-7
1023	2.554670683381640e-7
1024	2.554819613939387e-7
1025	2.555575831934975e-7
1026	2.556416725791946e-7
1027	2.556453809384551e-7
1028	2.556868666421171e-7
1029	2.557007300359054e-7
1030	2.557956172835594e-7
1031	2.558107453463819e-7
1032	2.558947982515825e-7
1033	2.559507437152968e-7
1034	2.560062827648515e-7
1035	2.560764744096111e-7
1036	2.561030429404734e-7
1037	2.561649317909343e-7
1038	2.562191361294366e-7
1039	2.562537128042733e-7
1040	2.563075120886040e-7
1041	2.563529083148621e-7
1042	2.563800132620460e-7
1043	2.564627634696347e-7
1044	2.564963796147274e-7
1045	2.565429092710731e-7
1046	2.565706325198593e-7
1047	2.565859169208412e-7
1048	2.566758005743936e-7
1049	2.566884850750226e-7
1050	2.567797699159684e-7
1051	2.567858015902476e-7
1052	2.568826358089316e-7
1053	2.569151676066374e-7
1054	2.569554829126172e-7
1055	2.569735022988525e-7
1056	2.570712045129773e-7
1057	2.571335106066601e-7
1058	2.571607702713413e-7
1059	2.571715146985997e-7
1060	2.572229440718023e-7
1061	2.574060163559545e-7
1062	2.574386798177045e-7
1063	2.574469027873124e-7
1064	2.574916559691680e-7
1065	2.575091936025706e-7
1066	2.576222231997721e-7
1067	2.576933894805478e-7
