k	lambda_k	c_k_sq	E_k	S_cumulative
0	1.432429810409181e-6	9.015778251308383e-14	6.294045394610282e-8	6.294045394610282e-8
1	1.470838831229073e-6	5.016864295643328e-15	3.410886488121271e-9	6.635134043422408e-8
2	1.496104582625405e-6	1.502979796218261e-14	1.004595409754572e-8	7.639729453176980e-8
3	1.501553313038314e-6	6.265470021560095e-15	4.172659050568272e-9	8.056995358233808e-8
4	1.529001936158476e-6	1.575303882823581e-14	1.030282464377668e-8	9.087277822611475e-8
5	1.545487227730338e-6	2.756990174853448e-14	1.783897094317816e-8	1.087117491692929e-7
6	1.555095878185628e-6	1.377534629737615e-16	8.858197420887140e-11	1.088003311435018e-7
7	1.566462007903239e-6	5.751114420911698e-13	3.671403705864372e-7	4.759407017299390e-7
8	1.576213881379862e-6	4.632819012149264e-15	2.939207087869042e-9	4.788799088178080e-7
9	1.604322894137355e-6	1.064064392442829e-13	6.632482752264013e-8	5.452047363404482e-7
10	1.622443880471670e-6	2.001656139812664e-14	1.233729045365040e-8	5.575420267940986e-7
11	1.630811633414393e-6	2.603437438273725e-14	1.596405976589073e-8	5.735060865599893e-7
12	1.635146397915432e-6	2.377240301086672e-16	1.453839426315160e-10	5.736514705026208e-7
13	1.649634896062661e-6	1.538312556417870e-14	9.325169830545565e-9	5.829766403331664e-7
14	1.663664383784434e-6	5.591167964675796e-14	3.360754740663043e-8	6.165841877397968e-7
15	1.674768709418314e-6	4.144958864754795e-14	2.474944057316688e-8	6.413336283129637e-7
16	1.683611253627231e-6	1.667896520064044e-17	9.906660557600033e-12	6.413435349735213e-7
17	1.702821912036157e-6	1.268881859043294e-15	7.451641596072855e-10	6.420886991331285e-7
18	1.713316663937000e-6	4.254136586730316e-14	2.482983254802886e-8	6.669185316811574e-7
19	1.732554606071936e-6	1.199024071718262e-13	6.920555736114434e-8	7.361240890423017e-7
20	1.737695348210723e-6	4.125815024498013e-14	2.374302853918726e-8	7.598671175814890e-7
21	1.758013177013374e-6	5.925926803052024e-14	3.370809093205644e-8	7.935752085135455e-7
22	1.766998650895738e-6	1.520423126794498e-15	8.604551712723470e-10	7.944356636848178e-7
23	1.769117353579427e-6	2.596868441354126e-13	1.467889304290597e-7	9.412245941138775e-7
24	1.775378919217373e-6	8.864200627155287e-13	4.992849994559372e-7	1.440509593569815e-6
25	1.791337425273355e-6	1.160614391518984e-13	6.479038371801315e-8	1.505299977287828e-6
26	1.795529132413261e-6	6.443224802548428e-16	3.588482462486410e-10	1.505658825534076e-6
27	1.813349666394543e-6	1.083960349339322e-13	5.977668672664466e-8	1.565435512260721e-6
28	1.826046425541861e-6	1.841807766917758e-13	1.008631402332074e-7	1.666298652493928e-6
29	1.836117814519704e-6	5.393208050612798e-13	2.937288668496235e-7	1.960027519343552e-6
30	1.844231973817451e-6	8.653602338060761e-14	4.692252634655453e-8	2.006950045690106e-6
31	1.855499246317410e-6	1.815098287562497e-18	9.782263674668172e-13	2.006951023916473e-6
32	1.865882294277159e-6	2.090673422809779e-13	1.120474442156440e-7	2.118998468132118e-6
33	1.876657346547394e-6	1.143151009904767e-14	6.091421068464600e-9	2.125089889200582e-6
34	1.885322086475112e-6	1.115141869932362e-13	5.914861327579756e-8	2.184238502476380e-6
35	1.890561672613861e-6	3.123236050922306e-13	1.652014899151197e-7	2.349439992391499e-6
36	1.900417943613924e-6	7.919882853200889e-14	4.167442682708031e-8	2.391114419218580e-6
37	1.910579398077429e-6	8.949649469123239e-14	4.684259381279345e-8	2.437957013031373e-6
38	1.915954450365743e-6	2.954912076373670e-13	1.542266349708678e-7	2.592183648002241e-6
