k	lambda_k	c_k_sq	E_k	S_cumulative
412	1.304383065505234e-6	2.132473468368826e-16	1.634852157132876e-10	9.683178010097191e-6
413	1.304847336635672e-6	1.833257889263806e-15	1.404959674432529e-9	9.684582969771622e-6
414	1.307306335182795e-6	1.939459517536052e-13	1.483553980685686e-7	9.832938367840191e-6
415	1.307726607998205e-6	1.623477309484710e-16	1.241450085633601e-10	9.833062512848754e-6
416	1.309470490642248e-6	1.677242819327289e-14	1.280855759112726e-8	9.845871070439882e-6
417	1.311805226308459e-6	2.089136350222643e-15	1.592565960498317e-9	9.847463636400381e-6
418	1.312919417423068e-6	4.691520619688978e-14	3.573350014806894e-8	9.883197136548449e-6
419	1.314155448914576e-6	6.899791400042628e-14	5.250361672008816e-8	9.935700753268537e-6
420	1.315752957347242e-6	5.906908446422482e-14	4.489375010284383e-8	9.980594503371380e-6
421	1.317715203968577e-6	9.755530558040294e-16	7.403367987755975e-10	9.981334840170156e-6
422	1.318417595367226e-6	9.751246541420684e-14	7.396174456170404e-8	1.005529658473186e-5
423	1.318642350919918e-6	4.113868992330790e-16	3.119776176960229e-10	1.005560856234956e-5
424	1.320730162592808e-6	8.675411140355768e-16	6.568647696607856e-10	1.005626542711922e-5
425	1.322165616280183e-6	7.783365786580543e-14	5.886831188726930e-8	1.011513373900649e-5
426	1.323826296087681e-6	2.637184080395830e-14	1.992092231578667e-8	1.013505466132227e-5
427	1.326502589499507e-6	3.966474111828261e-15	2.990174420484788e-9	1.013804483574276e-5
428	1.327993073956163e-6	3.800859995289199e-17	2.862108296970430e-11	1.013807345682573e-5
429	1.328667575251689e-6	9.675241867629147e-15	7.281913134514758e-9	1.014535536996024e-5
430	1.332223687444233e-6	1.936624975855267e-15	1.453678533197778e-9	1.014680904849344e-5
431	1.332704966577892e-6	2.996325457682645e-15	2.248303662720326e-9	1.014905735215616e-5
432	1.334922525714524e-6	4.162479560415927e-16	3.118143173281115e-10	1.014936916647349e-5
433	1.337610026758798e-6	1.799942097968996e-13	1.345640404872330e-7	1.028393320696072e-5
434	1.338817639471998e-6	2.273918230262687e-14	1.698452547398071e-8	1.030091773243471e-5
435	1.340760738317412e-6	5.245884094433741e-15	3.912617624093816e-9	1.030483035005880e-5
436	1.341404262288329e-6	1.121412969536498e-15	8.359992591819089e-10	1.030566634931798e-5
437	1.343112776806053e-6	2.587244688445010e-15	1.926304874113048e-9	1.030759265419209e-5
438	1.344708820891761e-6	3.230655214603387e-14	2.402494253336523e-8	1.033161759672546e-5
439	1.345823171613471e-6	1.796756699484432e-15	1.335061497960648e-9	1.033295265822342e-5
440	1.346835591404321e-6	3.599665599968515e-14	2.672683750668640e-8	1.035967949573010e-5
441	1.349035722025431e-6	2.455644209727997e-14	1.820295911839245e-8	1.037788245484850e-5
442	1.350300691659366e-6	2.537595175748662e-17	1.879281549230525e-11	1.037790124766399e-5
443	1.351910883272689e-6	6.042074932190262e-15	4.469284926210287e-9	1.038237053259020e-5
444	1.353686661154417e-6	6.956510188412274e-14	5.138936792418267e-8	1.043375990051438e-5
445	1.356844163936493e-6	3.763774720160098e-15	2.773918199449367e-9	1.043653381871383e-5
446	1.358930137411226e-6	2.105163785811955e-14	1.549133195193029e-8	1.045202515066576e-5
447	1.359538170748024e-6	8.608178125402082e-14	6.331692857631075e-8	1.051534207924207e-5
448	1.361811346296349e-6	2.965377919658221e-14	2.177524756070665e-8	1.053711732680278e-5
449	1.364405979573419e-6	9.999841814834480e-16	7.329080907400393e-10	1.053785023489352e-5
450	1.366534742831423e-6	3.879203264536528e-15	2.838715433241694e-9	1.054068895032676e-5
451	1.366752844651030e-6	1.119276556300286e-16	8.189312066777286e-11	1.054077084344743e-5
452	1.368385038070244e-6	3.788471945198004e-15	2.768571593373069e-9	1.054353941504080e-5
453	1.370328126708596e-6	1.020858340349307e-14	7.449736456926677e-9	1.055098915149773e-5
454	1.371230771525623e-6	1.799590185840522e-13	1.312390462065192e-7	1.068222819770425e-5
455	1.372483846162205e-6	1.648861492213347e-14	1.201370418183034e-8	1.069424190188608e-5
456	1.374337217670397e-6	3.765434075017592e-14	2.739818165879463e-8	1.072164008354487e-5
457	1.376236113758579e-6	2.272617344529374e-13	1.651328083756447e-7	1.088677289192052e-5
458	1.378344667691196e-6	6.735905354550085e-15	4.886952815534230e-9	1.089165984473605e-5
459	1.379995433028096e-6	1.092462672701009e-14	7.916422377600485e-9	1.089957626711365e-5
460	1.380449460159010e-6	2.535596289796917e-14	1.836790380942196e-8	1.091794417092307e-5
461	1.382741592278708e-6	1.115565532566587e-14	8.067780262024055e-9	1.092601195118509e-5
462	1.386626474695927e-6	3.828567405913581e-16	2.761066138415644e-10	1.092628805779894e-5
463	1.387464373748031e-6	5.219679960816464e-15	3.762028099299059e-9	1.093005008589824e-5
464	1.388386849714207e-6	1.109462045610153e-14	7.991015226329248e-9	1.093804110112456e-5
465	1.390156684143605e-6	1.276703761262310e-14	9.183883916285405e-9	1.094722498504085e-5
466	1.391860464761290e-6	1.826968654783547e-14	1.312609058909422e-8	1.096035107562994e-5
467	1.392588831622593e-6	9.217125190975148e-15	6.618698198401959e-9	1.096696977382835e-5
468	1.395238847955558e-6	6.466196643843658e-15	4.634472910010045e-9	1.097160424673836e-5
469	1.395925496675192e-6	8.721779205787739e-14	6.248026292636121e-8	1.103408450966472e-5
470	1.397027986666440e-6	5.475486768287939e-16	3.919382303394962e-10	1.103447644789506e-5
471	1.398814730313851e-6	1.085317718765290e-14	7.758838216707788e-9	1.104223528611176e-5
472	1.399613043324588e-6	1.187357175059714e-15	8.483467489266250e-10	1.104308363286069e-5
473	1.401110738653978e-6	2.184296843168391e-14	1.558975163709619e-8	1.105867338449779e-5
474	1.402558750437241e-6	5.944662752410140e-16	4.238441170864978e-10	1.105909722861487e-5
475	1.404891673833199e-6	2.920948015167641e-14	2.079126860505859e-8	1.107988849721993e-5
476	1.405873847424799e-6	3.173269261030900e-15	2.257150786924101e-9	1.108214564800686e-5
477	1.408047505088559e-6	1.689513512260518e-13	1.199898090195654e-7	1.120213545702642e-5
478	1.410070857599960e-6	4.943145422680249e-15	3.505600726401672e-9	1.120564105775282e-5
479	1.411582383396282e-6	3.763455278863065e-14	2.666125139510563e-8	1.123230230914793e-5
480	1.414148775477639e-6	1.192380573702569e-13	8.431790165075339e-8	1.131662021079868e-5
481	1.415145507944790e-6	6.911008746400546e-15	4.883602928180421e-9	1.132150381372686e-5
482	1.416516848852709e-6	7.065802069165054e-14	4.988152505837058e-8	1.137138533878523e-5
483	1.418737600992396e-6	3.645777851793477e-15	2.569733719077638e-9	1.137395507250431e-5
484	1.421092001055433e-6	2.585709252845049e-14	1.819522769056939e-8	1.139215030019488e-5
485	1.422299824113730e-6	1.181465761350341e-14	8.306727887606550e-9	1.140045702808249e-5
486	1.426204590479283e-6	1.566933530672941e-13	1.098673739471253e-7	1.151032440202961e-5
487	1.427097350644461e-6	5.370974210762433e-15	3.763565399611290e-9	1.151408796742922e-5
488	1.430182709978126e-6	1.357945930554511e-14	9.494912231006343e-9	1.152358287966023e-5
489	1.432254714708053e-6	7.202718822905624e-14	5.028937066109645e-8	1.157387225032133e-5
490	1.433199613142523e-6	6.507936976442030e-14	4.540844776096694e-8	1.161928069808229e-5
491	1.436399408944226e-6	9.093629610249826e-15	6.330850286922476e-9	1.162561154836922e-5
492	1.437284039473577e-6	7.600174333955905e-14	5.287872212607024e-8	1.167849027049529e-5
493	1.439551235123178e-6	7.894695300069995e-14	5.484136380456422e-8	1.173333163429985e-5
494	1.440898443433826e-6	6.699346712326821e-14	4.649423242044396e-8	1.177982586672030e-5
495	1.443983858415857e-6	2.357834878593821e-16	1.632867891737043e-10	1.177998915350947e-5
496	1.445475101567646e-6	3.714063897643024e-14	2.569441627610915e-8	1.180568356978558e-5
497	1.448121456319427e-6	1.292010846032304e-14	8.921978473519087e-9	1.181460554825910e-5
498	1.449744339598755e-6	4.418476209358191e-14	3.047762345863747e-8	1.184508317171774e-5
499	1.450234858630953e-6	8.182303761662470e-14	5.642054259671229e-8	1.190150371431445e-5
500	1.453106497852997e-6	5.689076165915991e-14	3.915113017746291e-8	1.194065484449191e-5
501	1.454303479393796e-6	7.489320760231180e-14	5.149764726790716e-8	1.199215249175982e-5
502	1.455728444707723e-6	1.524414910175023e-13	1.047183570340339e-7	1.209687084879385e-5
503	1.458739465065757e-6	1.769827527969765e-13	1.213258138518920e-7	1.221819666264574e-5
504	1.459884111062977e-6	1.255733672545889e-14	8.601598325716136e-9	1.222679826097146e-5
505	1.463192546755012e-6	3.506802559914169e-16	2.396678801905712e-10	1.222703792885165e-5
506	1.464679112534310e-6	1.125370172268204e-15	7.683390598238239e-10	1.222780626791147e-5
507	1.467199835494568e-6	1.258187843168674e-14	8.575436097595800e-9	1.223638170400907e-5
508	1.469216105666100e-6	1.258576652151635e-14	8.566314018052728e-9	1.224494801802712e-5
509	1.470308503605987e-6	4.445763135879128e-15	3.023694092073688e-9	1.224797171211920e-5
510	1.472945739673240e-6	1.705487815193539e-14	1.157875520636548e-8	1.225955046732556e-5
511	1.473152554876308e-6	4.062793622495630e-14	2.757890626498462e-8	1.228712937359055e-5
512	1.475915200312778e-6	3.306922396573210e-15	2.240591055551432e-9	1.228936996464610e-5
513	1.476556943981724e-6	9.360889473118156e-15	6.339673868503389e-9	1.229570963851460e-5
514	1.479119263897601e-6	2.037018934254366e-15	1.377183695712713e-9	1.229708682221032e-5
515	1.481819742635049e-6	2.911793095302757e-14	1.965011675525968e-8	1.231673693896558e-5
516	1.482937036547644e-6	6.290297915314881e-14	4.241783541908852e-8	1.235915477438466e-5
