k	lambda_k	c_k_sq	E_k	S_cumulative
0	1.815525019700908e-7	1.488800662121202e-15	8.200386367390677e-9	8.200386367390677e-9
1	1.837634083073042e-7	1.090595238727179e-15	5.934779120462307e-9	1.413516548785298e-8
2	1.854456043360999e-7	8.487512042044794e-18	4.576820287776736e-11	1.418093369073075e-8
3	1.855262687118497e-7	1.822853159744435e-16	9.825310304577952e-10	1.516346472118855e-8
4	1.865358274319605e-7	1.003262923801186e-17	5.378392653106433e-11	1.521724864771961e-8
5	1.869037545227992e-7	2.060956156143457e-18	1.102683122340410e-11	1.522827547894301e-8
6	1.885923309469229e-7	7.930420730838809e-17	4.205060031349171e-10	1.564878148207793e-8
7	1.892731235140407e-7	2.572923725390446e-16	1.359370880356175e-9	1.700815236243411e-8
8	1.904886958224039e-7	1.563220933329909e-16	8.206371126543532e-10	1.782878947508846e-8
9	1.906972780433031e-7	3.983860034109200e-17	2.089101677269119e-10	1.803769964281537e-8
10	1.910078316151724e-7	1.139819068982048e-17	5.967394422226966e-11	1.809737358703764e-8
11	1.915189767798996e-7	3.150993420890187e-16	1.645264335612768e-9	1.974263792265041e-8
12	1.919660292928496e-7	7.972139840324610e-16	4.152890941012737e-9	2.389552886366315e-8
13	1.923845202624971e-7	1.398440211430899e-16	7.268985100894869e-10	2.462242737375263e-8
14	1.926457062985345e-7	5.264728140321536e-16	2.732855167902378e-9	2.735528254165501e-8
15	1.927245313526613e-7	3.051155200418967e-16	1.583169085431964e-9	2.893845162708697e-8
16	1.931583321594182e-7	2.549241378732670e-17	1.319767752306289e-10	2.907042840231760e-8
17	1.936846323393354e-7	1.051913198899845e-18	5.431061753298495e-12	2.907585946407090e-8
18	1.939623563048484e-7	1.351348485787197e-16	6.967065731369536e-10	2.977256603720786e-8
19	1.942804149140261e-7	4.020949852869459e-17	2.069662994413940e-10	2.997953233664925e-8
20	1.947750608972092e-7	1.265045558591895e-17	6.494905214069023e-11	3.004448138878994e-8
21	1.948892071152895e-7	6.892781788595168e-16	3.536769373030311e-9	3.358125076182025e-8
22	1.951558001206707e-7	5.272704675274629e-17	2.701792450961928e-10	3.385143000691644e-8
23	1.952103427214076e-7	1.396453367674779e-16	7.153582890163319e-10	3.456678829593277e-8
24	1.954690515274184e-7	9.952554379821433e-17	5.091626680567073e-10	3.507595096398948e-8
25	1.957198567681865e-7	2.439258930766983e-16	1.246301203692417e-9	3.632225216768189e-8
26	1.960667497269646e-7	6.510226553388529e-16	3.320413360477711e-9	3.964266552815960e-8
27	1.962432850952610e-7	8.363456235605030e-18	4.261779571996676e-11	3.968528332387957e-8
28	1.964094505474546e-7	6.356220455707613e-16	3.236209071402032e-9	4.292149239528160e-8
29	1.966373221704452e-7	2.983049605599833e-17	1.517031239376890e-10	4.307319551921929e-8
30	1.968413955903760e-7	9.362434145053514e-17	4.756333959619245e-10	4.354882891518121e-8
31	1.972617063754847e-7	1.325551482432185e-16	6.719760802986351e-10	4.422080499547985e-8
32	1.973524242270783e-7	1.161357873533630e-16	5.884690183472711e-10	4.480927401382712e-8
33	1.974805293798536e-7	2.495809409121650e-16	1.263825561415710e-9	4.607309957524283e-8
34	1.977246914777245e-7	6.438572624349569e-16	3.256332113217601e-9	4.932943168846043e-8
35	1.978564105558175e-7	1.356309759652884e-15	6.855020546682030e-9	5.618445223514246e-8
36	1.984546915815250e-7	6.736204180224848e-16	3.394328512237576e-9	5.957878074738004e-8
37	1.986435562531530e-7	6.670532927973302e-16	3.358041435520979e-9	6.293682218290102e-8
38	1.987769180375919e-7	7.993901056135133e-17	4.021543917198352e-10	6.333897657462085e-8
39	1.990981327034591e-7	1.764965215618611e-16	8.864800446156807e-10	6.422545661923653e-8
40	1.991538230506600e-7	5.381807657851433e-16	2.702337105766947e-9	6.692779372500348e-8
41	1.993193027061708e-7	1.061549442101553e-15	5.325873749751422e-9	7.225366747475490e-8
42	1.995272223337382e-7	3.709148052731369e-16	1.858968420122284e-9	7.411263589487719e-8
43	1.996920112620177e-7	2.359664848382983e-17	1.181652101889467e-10	7.423080110506613e-8
44	1.999321991477427e-7	5.413424480678827e-16	2.707630138494351e-9	7.693843124356048e-8
45	2.001122338788350e-7	2.194727927771277e-17	1.096748502193100e-10	7.704810609377980e-8
