k	lambda_k
0	1.564187583248545e-7
1	1.607722951671109e-7
2	1.626773816649028e-7
3	1.640217410285364e-7
4	1.644427435997360e-7
5	1.648188819304179e-7
6	1.651551798641760e-7
7	1.656178809253148e-7
8	1.661810960633091e-7
9	1.669257301262899e-7
10	1.674936409983701e-7
11	1.676267529835369e-7
12	1.678000976406863e-7
13	1.684857121989015e-7
14	1.687441182380605e-7
15	1.691492148839350e-7
16	1.700014286244431e-7
17	1.700348790482965e-7
18	1.702574469735338e-7
19	1.705828279331369e-7
20	1.708400096770255e-7
21	1.710505284392276e-7
22	1.712760474597666e-7
23	1.713465820824931e-7
24	1.716935727957651e-7
25	1.720176792196747e-7
26	1.722888224580200e-7
27	1.727000993661200e-7
28	1.730194674346639e-7
29	1.731085537126248e-7
30	1.734164713557194e-7
31	1.736469712990905e-7
32	1.736898875770467e-7
33	1.740091673224343e-7
34	1.742207115703996e-7
35	1.744484291854988e-7
36	1.748985858901337e-7
37	1.749106423931873e-7
38	1.750837875356882e-7
39	1.753288427510629e-7
40	1.756088879099926e-7
41	1.758587397187705e-7
42	1.760133013916426e-7
43	1.760674741885151e-7
44	1.761382919561073e-7
45	1.762035640331553e-7
46	1.764679583758351e-7
47	1.766594958745724e-7
48	1.767262108212242e-7
49	1.768603587302536e-7
50	1.770371516467463e-7
51	1.773067031663378e-7
52	1.773597905722935e-7
53	1.775385095451449e-7
54	1.778258428288055e-7
55	1.778473951067104e-7
56	1.780924898445149e-7
57	1.781759034916779e-7
58	1.782208964047533e-7
59	1.783015865799637e-7
60	1.784891336585472e-7
61	1.786289911869960e-7
62	1.787031896495611e-7
63	1.788525339100003e-7
64	1.790889997939892e-7
65	1.793394941549210e-7
66	1.794526224846514e-7
67	1.796295743509517e-7
68	1.796666857730008e-7
69	1.798456572377567e-7
70	1.798996255898456e-7
71	1.799918834180520e-7
72	1.802558806174753e-7
73	1.803143821230911e-7
74	1.804693330206588e-7
75	1.806420187061624e-7
76	1.808473263136973e-7
77	1.809574055840978e-7
78	1.810675867111587e-7
79	1.811535644796492e-7
80	1.814373664668726e-7
81	1.814703355567779e-7
82	1.816096462399351e-7
83	1.817104266017599e-7
84	1.817832904518666e-7
85	1.819529287106796e-7
86	1.820731497022649e-7
87	1.821038474378309e-7
88	1.822867899566823e-7
89	1.823316623330769e-7
90	1.824909918338248e-7
91	1.826271913897596e-7
92	1.828113108631088e-7
93	1.828828080929221e-7
94	1.829172954081340e-7
95	1.830263091850658e-7
96	1.830972890957585e-7
97	1.832206226034343e-7
98	1.833172783822254e-7
99	1.833957116033858e-7
100	1.835631331098180e-7
101	1.836500718509866e-7
102	1.837903864240029e-7
103	1.839258884061899e-7
104	1.839435835519314e-7
105	1.840064404987538e-7
106	1.841303258106149e-7
107	1.842306744413246e-7
108	1.843399543110340e-7
109	1.844564748745336e-7
110	1.845754547720622e-7
111	1.846617533349404e-7
112	1.847892284314995e-7
113	1.848646241494443e-7
114	1.849164492031388e-7
115	1.849644585857097e-7
116	1.851174589666978e-7
117	1.851858419160627e-7
118	1.852805174887310e-7
119	1.853710955602797e-7
120	1.854994004680576e-7
121	1.856243519380113e-7
122	1.856539486468607e-7
123	1.857021563634580e-7
124	1.858301479345843e-7
125	1.859110595079136e-7
126	1.859402213152643e-7
127	1.859989013529095e-7
128	1.861511285862366e-7
129	1.862809746192710e-7
130	1.863635471929368e-7
131	1.864254201284062e-7
132	1.865045120220711e-7
133	1.865437532650226e-7
134	1.866736914234468e-7
135	1.868247298087964e-7
136	1.868539515967460e-7
137	1.869524417499457e-7
138	1.870313149886685e-7
139	1.870787437128397e-7
140	1.871327932513663e-7
141	1.873096039442609e-7
142	1.873515410969002e-7
143	1.874389114020871e-7
144	1.874705337646147e-7
145	1.875870978286107e-7
146	1.876726412145134e-7
147	1.878466240594150e-7
148	1.878736733659513e-7
149	1.879558838586345e-7
150	1.880438570959976e-7
151	1.880641870664660e-7
152	1.881255190918260e-7
153	1.882987609012876e-7
154	1.884367690197068e-7
155	1.884921176586330e-7
156	1.885849120388441e-7
157	1.886889912773344e-7
158	1.887417028925444e-7
159	1.887789793029684e-7
160	1.888859523922807e-7
161	1.889022647444384e-7
162	1.889756490646175e-7
163	1.890205375551315e-7
164	1.891430167240455e-7
165	1.891589421972593e-7
166	1.892291128414855e-7
167	1.892918406063386e-7
168	1.893765133777553e-7
169	1.894056726725712e-7
170	1.894438477131249e-7
171	1.895084937298562e-7
172	1.896302527314115e-7
173	1.897724036469609e-7
174	1.898283462449988e-7
175	1.899491109099767e-7
176	1.899544979464977e-7
177	1.899988683235190e-7
178	1.901473021078192e-7
179	1.901969995524370e-7
180	1.903102022684303e-7
181	1.904055256211106e-7
182	1.904977319823003e-7
183	1.906261854637865e-7
184	1.906860964428662e-7
185	1.907605405336935e-7
186	1.908440785004817e-7
187	1.908747227020889e-7
188	1.909750082535393e-7
189	1.910449757165404e-7
190	1.911862596940153e-7
191	1.912475767395086e-7
192	1.912602987408974e-7
193	1.913955072105099e-7
194	1.914669099387792e-7
195	1.915219874296144e-7
196	1.915584779394682e-7
197	1.916383579515433e-7
198	1.916953628637973e-7
199	1.918589346136892e-7
200	1.919026062369234e-7
201	1.920224191671717e-7
202	1.921460404171780e-7
203	1.921786324920472e-7
204	1.922729797782666e-7
205	1.923344374158139e-7
206	1.924793853430100e-7
207	1.925322843962797e-7
208	1.925940553221800e-7
209	1.927014028543749e-7
210	1.928023096340541e-7
211	1.928439296760385e-7
212	1.929353899899166e-7
213	1.929961353684176e-7
214	1.931559079007546e-7
215	1.932885768545847e-7
216	1.933269480205314e-7
217	1.934347931345631e-7
218	1.934648493046892e-7
219	1.935749242031393e-7
220	1.936923114578649e-7
221	1.938255463951534e-7
222	1.938589611085102e-7
223	1.939612606895881e-7
224	1.940711895375586e-7
225	1.941768955690542e-7
226	1.942087645921530e-7
227	1.942541900718329e-7
228	1.943362645022489e-7
229	1.944402431352503e-7
230	1.945244259898259e-7
231	1.945603076689400e-7
232	1.946296332786604e-7
233	1.947414506684024e-7
234	1.948352164441089e-7
235	1.949046384885899e-7
236	1.949226644964806e-7
237	1.950748798116402e-7
238	1.950837644378730e-7
239	1.952068229909098e-7
240	1.952279441694482e-7
241	1.952790769026292e-7
242	1.953899231466558e-7
243	1.955171487879599e-7
244	1.955595301511656e-7
245	1.956894759382865e-7
246	1.957485072299967e-7
247	1.957943064621244e-7
248	1.958364808717456e-7
249	1.960054777019777e-7
250	1.960686870364954e-7
251	1.961311102018699e-7
252	1.961738071958011e-7
253	1.962795734194522e-7
254	1.963312496491448e-7
255	1.964210284019747e-7
256	1.964760659320273e-7
257	1.964916319220673e-7
258	1.966437045604226e-7
259	1.966816993413734e-7
260	1.967511691507819e-7
261	1.968534464468430e-7
262	1.969045684627745e-7
263	1.969361267131981e-7
264	1.969980420952890e-7
265	1.970967570145064e-7
266	1.971340218886675e-7
267	1.972194605892691e-7
268	1.972286223656534e-7
269	1.972923344054626e-7
270	1.973981047857178e-7
271	1.975096129229490e-7
272	1.975198390627083e-7
273	1.975941758094929e-7
274	1.977070784390151e-7
275	1.977303255061970e-7
276	1.977551563567387e-7
277	1.978178727455381e-7
278	1.979216695417098e-7
279	1.980146840633247e-7
280	1.980734696886476e-7
281	1.981137123726532e-7
282	1.981623504185530e-7
283	1.981990396237507e-7
284	1.983052109895409e-7
285	1.983275220885791e-7
286	1.983414809729415e-7
287	1.984320680257414e-7
288	1.984643145749191e-7
289	1.985495233077514e-7
290	1.986379029939880e-7
291	1.986570542663805e-7
292	1.987396696160168e-7
293	1.987756563942007e-7
294	1.988695215724368e-7
295	1.989211459704502e-7
296	1.989487178275133e-7
297	1.990297324276303e-7
298	1.990593155402669e-7
299	1.991277702454291e-7
300	1.991745926713184e-7
301	1.992214139343823e-7
302	1.992705978034249e-7
303	1.993174220545005e-7
304	1.993605616508090e-7
305	1.994446981678860e-7
306	1.995205765339211e-7
307	1.995404662699324e-7
308	1.995628018290710e-7
309	1.996355757834296e-7
310	1.996937415115673e-7
311	1.997063070685285e-7
312	1.997805684577082e-7
313	1.998131676189821e-7
314	1.998925705381566e-7
315	1.999387656545028e-7
316	1.999906461084944e-7
317	2.000443590429697e-7
318	2.000766222364874e-7
319	2.001429466609908e-7
320	2.001965058726490e-7
321	2.002205771226891e-7
322	2.002718914311154e-7
323	2.003835070500788e-7
324	2.004168073334652e-7
325	2.004575913248266e-7
326	2.005209858176137e-7
327	2.005314178440420e-7
328	2.005622681857496e-7
329	2.005783503397421e-7
330	2.005883006227008e-7
331	2.007000350664798e-7
332	2.007227704239521e-7
333	2.008211892654774e-7
334	2.008569506838966e-7
335	2.009008517169585e-7
336	2.009582635257093e-7
337	2.010402585450525e-7
338	2.010783936462217e-7
339	2.010843634134817e-7
340	2.011373818877577e-7
341	2.011943812632454e-7
342	2.012556262362134e-7
343	2.013070040313617e-7
344	2.013321253858838e-7
345	2.014018878421519e-7
346	2.014970016019728e-7
347	2.015520071561617e-7
348	2.016066265747392e-7
349	2.016532998363760e-7
350	2.016875653988391e-7
351	2.017393650253321e-7
352	2.018386337540248e-7
353	2.018650865091207e-7
354	2.018761566728391e-7
355	2.018956966073419e-7
356	2.020337305721505e-7
357	2.021180610749781e-7
358	2.021703378257043e-7
359	2.021950648239050e-7
360	2.022108096129574e-7
361	2.023225027440732e-7
362	2.023597276605690e-7
363	2.024751675041465e-7
364	2.025918522133149e-7
365	2.026481066225956e-7
366	2.026770732552333e-7
367	2.027318319064611e-7
368	2.028448383726768e-7
369	2.029167732914016e-7
370	2.029329794078652e-7
371	2.029875256229359e-7
372	2.030229256340197e-7
373	2.031140759561049e-7
374	2.031526483266531e-7
375	2.031910697481934e-7
376	2.032013409167750e-7
377	2.033107524580342e-7
378	2.033536706932592e-7
379	2.033687450739458e-7
380	2.034180378542441e-7
381	2.034672579979837e-7
382	2.036298065097796e-7
383	2.036662709342404e-7
384	2.037653020586436e-7
385	2.037814745739440e-7
386	2.038416415263124e-7
387	2.039074467545563e-7
388	2.039346693834200e-7
389	2.040026120035198e-7
390	2.040919491059713e-7
391	2.041857844702054e-7
392	2.042496113922035e-7
393	2.042817587071115e-7
394	2.043304277570333e-7
395	2.043667814225415e-7
396	2.044081551639276e-7
397	2.045428086132758e-7
398	2.046570963451486e-7
399	2.046971075403917e-7
400	2.047769226157696e-7
401	2.048999281327102e-7
402	2.049153170948556e-7
403	2.049586931516353e-7
404	2.050003242799514e-7
405	2.051200879038605e-7
406	2.051440828762569e-7
407	2.052468759398827e-7
408	2.052712430685112e-7
409	2.053406434556708e-7
410	2.054433669418877e-7
411	2.055107718824358e-7
412	2.055955694294548e-7
413	2.056345080344096e-7
414	2.057108395655056e-7
415	2.057810721469123e-7
416	2.058362368752531e-7
417	2.058984023414909e-7
418	2.059096154540539e-7
419	2.060399655853647e-7
420	2.060557667975827e-7
421	2.061664001542599e-7
422	2.062480459916391e-7
423	2.062799768254337e-7
424	2.063578932326806e-7
425	2.064106625936175e-7
426	2.064661710629047e-7
427	2.065636418618231e-7
428	2.065915939889934e-7
429	2.066946591776214e-7
430	2.067137449764723e-7
431	2.067640533252781e-7
432	2.068052996791625e-7
433	2.068553635770925e-7
434	2.068933838828020e-7
435	2.069560195795275e-7
436	2.070239699595506e-7
437	2.070731503814913e-7
438	2.071235082968500e-7
439	2.072166617212126e-7
440	2.073150289678364e-7
441	2.073796891338212e-7
442	2.074035572551141e-7
443	2.074653462222608e-7
444	2.074788044673773e-7
445	2.075860615748303e-7
446	2.076524812526361e-7
447	2.077331322514387e-7
448	2.077742237268600e-7
449	2.078591065362228e-7
450	2.079560541413394e-7
451	2.079693633021672e-7
452	2.080496295460034e-7
453	2.081336886208926e-7
454	2.081722266337630e-7
455	2.082371919086154e-7
456	2.082853695527662e-7
457	2.084032590381414e-7
458	2.084806782456778e-7
459	2.085351410828784e-7
460	2.085799499819922e-7
461	2.086324998764804e-7
462	2.087096280485339e-7
463	2.087444121696848e-7
464	2.087709237305463e-7
465	2.088608936684577e-7
466	2.089156692372097e-7
467	2.089391037405331e-7
468	2.090125448761750e-7
469	2.090173222473376e-7
470	2.090696792753275e-7
471	2.091466367121063e-7
472	2.091995016618674e-7
473	2.092475790704055e-7
474	2.093016295362031e-7
475	2.093049502047943e-7
476	2.094741491788283e-7
477	2.095360555299809e-7
478	2.095800238458835e-7
479	2.096257384290790e-7
480	2.096493602864470e-7
481	2.096831143836232e-7
482	2.097626189438935e-7
483	2.097935138432198e-7
484	2.098519154606783e-7
485	2.098845473858304e-7
486	2.098944709196799e-7
487	2.099119436481096e-7
488	2.099967769587577e-7
489	2.100953589683772e-7
490	2.101481315940804e-7
491	2.101832084617358e-7
492	2.102111431308031e-7
493	2.102475430394349e-7
494	2.102916599006419e-7
495	2.103241484589259e-7
496	2.103514813400451e-7
497	2.104033874438922e-7
498	2.104318455242666e-7
499	2.105496497993316e-7
500	2.105769396491409e-7
501	2.106178147310121e-7
502	2.106710929798450e-7
503	2.107227829386314e-7
504	2.107355259934893e-7
505	2.107882921938733e-7
506	2.107995842009394e-7
507	2.108151195618373e-7
508	2.108716340083242e-7
509	2.109477287131964e-7
510	2.109954252506871e-7
511	2.110353836086802e-7
512	2.110645204165038e-7
513	2.111069867481168e-7
514	2.111435637050120e-7
515	2.112469011712372e-7
516	2.112950640664163e-7
517	2.113328665547619e-7
518	2.113737655518625e-7
519	2.113913301417671e-7
520	2.114213621180671e-7
521	2.115070090001492e-7
522	2.115491235007149e-7
523	2.115688095045904e-7
524	2.116330451276277e-7
525	2.116900305481139e-7
526	2.117169843454583e-7
527	2.117970347113631e-7
528	2.118675487183535e-7
529	2.119437644591826e-7
530	2.119840796651086e-7
531	2.120017986937632e-7
532	2.120435605888795e-7
533	2.121256910661356e-7
534	2.121705736189160e-7
535	2.121930568571530e-7
536	2.122382130527425e-7
537	2.123322253747904e-7
538	2.123521359751314e-7
539	2.123956449868261e-7
540	2.124703077604114e-7
541	2.125435324413806e-7
542	2.125544629811234e-7
543	2.125751340914562e-7
544	2.126196268584330e-7
545	2.126503606421748e-7
546	2.126800143087200e-7
547	2.128007721434714e-7
548	2.128327909737455e-7
549	2.128862331729429e-7
550	2.129664980531509e-7
551	2.129817936599862e-7
552	2.130246633144923e-7
553	2.130815966637737e-7
554	2.131651368360968e-7
555	2.131945607963421e-7
556	2.132488906409810e-7
557	2.132755729564059e-7
558	2.133551533746857e-7
559	2.133857038626460e-7
560	2.134244985084581e-7
561	2.134725945307118e-7
562	2.135213401323525e-7
563	2.135652773836446e-7
564	2.135945730819238e-7
565	2.136784680570007e-7
566	2.137046343886923e-7
567	2.137497963563661e-7
568	2.138084176345812e-7
569	2.138176910890070e-7
570	2.139242718682569e-7
571	2.139683888383071e-7
572	2.140287592394409e-7
573	2.140483669253678e-7
574	2.141064062446107e-7
575	2.141768506702395e-7
576	2.141791074014387e-7
577	2.142808323410205e-7
578	2.143168722601606e-7
579	2.143740027854293e-7
580	2.143956345946860e-7
581	2.144239087356087e-7
582	2.145105486415786e-7
583	2.145424516225726e-7
584	2.145987457253108e-7
585	2.146523029318979e-7
586	2.146993801581978e-7
587	2.147291187368700e-7
588	2.147725546776112e-7
589	2.148237856947955e-7
590	2.148793192032229e-7
591	2.149029295734069e-7
592	2.149296864048320e-7
593	2.149736516193224e-7
594	2.150457875798613e-7
595	2.150928174410542e-7
596	2.151270162564369e-7
597	2.151486810767005e-7
598	2.151709902673597e-7
599	2.152711237451122e-7
600	2.153052453944676e-7
601	2.153435375402780e-7
602	2.153834399679613e-7
603	2.154166903647781e-7
604	2.154704555126914e-7
605	2.155201653550821e-7
606	2.155779144616291e-7
607	2.155936029567128e-7
608	2.156538712544265e-7
609	2.157434897916696e-7
610	2.157895758849931e-7
611	2.158075588219956e-7
612	2.158459140239104e-7
613	2.158679668158616e-7
614	2.159141026857343e-7
615	2.159319770731748e-7
616	2.159733919869312e-7
617	2.160425636831406e-7
618	2.160491931503324e-7
619	2.161117661958388e-7
620	2.161626272320812e-7
621	2.161981074296861e-7
622	2.163455675875777e-7
623	2.163564403505313e-7
624	2.164057910339313e-7
625	2.164295688599296e-7
626	2.164986737627374e-7
627	2.165219888969125e-7
628	2.165699153701150e-7
629	2.166477167713999e-7
630	2.167038784462521e-7
631	2.167253610869258e-7
632	2.167709538898313e-7
633	2.168067761543227e-7
634	2.168462336626599e-7
635	2.169244949901785e-7
636	2.169560351542303e-7
637	2.170238235784439e-7
638	2.170347373882248e-7
639	2.170500846241195e-7
640	2.171347295542966e-7
641	2.171585381202540e-7
642	2.172314206050391e-7
643	2.172676881296130e-7
644	2.173035653608939e-7
645	2.173788090848047e-7
646	2.174357601146008e-7
647	2.174698112469633e-7
648	2.175032475899488e-7
649	2.175726420660966e-7
650	2.175913608096442e-7
651	2.176428006857179e-7
652	2.176575146602302e-7
653	2.177360232586479e-7
654	2.177774799419875e-7
655	2.178263733995542e-7
656	2.178550178654053e-7
657	2.178972478690645e-7
658	2.179381741688329e-7
659	2.179853857000467e-7
660	2.180463622988812e-7
661	2.180686864169521e-7
662	2.181322317774530e-7
663	2.181404478775046e-7
664	2.181822526726466e-7
665	2.182486550435351e-7
666	2.182625970938562e-7
667	2.183042883580297e-7
668	2.183257866434843e-7
669	2.183809854898436e-7
670	2.184369703401193e-7
671	2.184914778478896e-7
672	2.185217795435456e-7
673	2.185359553001425e-7
674	2.185804804179268e-7
675	2.186689190360430e-7
676	2.186846109338290e-7
677	2.187003588021311e-7
678	2.187656812915310e-7
679	2.188070877795109e-7
680	2.188707722833033e-7
681	2.188889099639747e-7
682	2.189647714361812e-7
683	2.190180520859784e-7
684	2.190600993854581e-7
685	2.191166371906945e-7
686	2.191457920555543e-7
687	2.191633379223808e-7
688	2.191971463611901e-7
689	2.192057469868541e-7
690	2.193185495488419e-7
691	2.193264160667684e-7
692	2.193702796055221e-7
693	2.193868698126305e-7
694	2.194301346716949e-7
695	2.194765220033391e-7
696	2.195256056186611e-7
697	2.196303640345075e-7
698	2.196525748420019e-7
699	2.197030553431297e-7
700	2.197497236915502e-7
701	2.197512133502404e-7
702	2.197916813779896e-7
703	2.198575426462833e-7
704	2.199097665467591e-7
705	2.199408890875603e-7
706	2.199531477338889e-7
707	2.199915210409127e-7
708	2.200657483913391e-7
709	2.201145128868890e-7
710	2.201350664289193e-7
711	2.201809005158296e-7
712	2.202279597428487e-7
