k	lambda_k	c_k_sq	E_k	S_cumulative
0	2.879018134931798e-7	1.298885681172860e-16	4.511557830821477e-10	4.511557830821477e-10
1	2.893038164104688e-7	1.300030895864298e-17	4.493652769584603e-11	4.960923107779937e-10
2	2.900688837498618e-7	3.301091667453572e-20	1.138037153375002e-13	4.962061144933312e-10
3	2.920399652757798e-7	1.005445815465106e-15	3.442836375205158e-9	3.939042489698490e-9
4	2.921645574901822e-7	5.980204686375852e-16	2.046861788352548e-9	5.985904278051038e-9
5	2.935622782112216e-7	3.828527217024840e-17	1.304161842711334e-10	6.116320462322171e-9
6	2.939734405207977e-7	1.058322878155347e-16	3.600062904595877e-10	6.476326752781758e-9
7	2.945856206135983e-7	2.097051592174836e-16	7.118648859393899e-10	7.188191638721148e-9
8	2.953768099150316e-7	1.599138967439978e-16	5.413894773594408e-10	7.729581116080589e-9
9	2.954812604620904e-7	7.722594665064565e-16	2.613564952642862e-9	1.034314606872345e-8
10	2.958894262709617e-7	2.083931898058046e-15	7.042941426875048e-9	1.738608749559850e-8
11	2.960415831318892e-7	2.180617913114524e-16	7.365917618887476e-10	1.812267925748725e-8
12	2.964828213936262e-7	2.706457486965631e-16	9.128547395238105e-10	1.903553399701106e-8
13	2.968623163344837e-7	2.794565814552479e-16	9.413676511921297e-10	1.997690164820319e-8
14	2.970657048657922e-7	2.654805921671467e-16	8.936763410205329e-10	2.087057798922372e-8
15	2.977028335385289e-7	1.798647409146578e-16	6.041754415863817e-10	2.147475343081010e-8
16	2.978155511753239e-7	3.961781587964493e-16	1.330280293399519e-9	2.280503372420962e-8
17	2.983980571139281e-7	5.811825871834130e-20	1.947675507020872e-13	2.280522849176032e-8
18	2.989352558399831e-7	2.403623684155835e-16	8.040616277935679e-10	2.360929011955389e-8
19	2.990278572134267e-7	2.506863938580976e-16	8.383379267543420e-10	2.444762804630823e-8
20	2.996655846174146e-7	3.745900053433912e-15	1.250026778422464e-8	3.694789583053288e-8
21	2.999389390898635e-7	1.000717590559541e-15	3.336404381492196e-9	4.028430021202507e-8
22	3.006575824985690e-7	7.354569731248913e-18	2.446161400663799e-11	4.030876182603171e-8
23	3.008339081521495e-7	3.704298500589042e-18	1.231343409172997e-11	4.032107526012344e-8
24	3.011829367213538e-7	2.339335379916523e-17	7.767157745994131e-11	4.039874683758338e-8
25	3.013609798432675e-7	9.502350039709885e-16	3.153145455211849e-9	4.355189229279523e-8
26	3.019792662394037e-7	2.226459814385787e-15	7.372889675878241e-9	5.092478196867347e-8
27	3.021574485060695e-7	4.573357808610065e-17	1.513567787662265e-10	5.107613874743970e-8
28	3.025745753794301e-7	3.833604722417296e-15	1.266994993749867e-8	6.374608868493837e-8
29	3.028913001521495e-7	2.978576699472644e-18	9.833813972129390e-12	6.375592249891049e-8
30	3.031822984787881e-7	6.661040030803105e-16	2.197041207295003e-9	6.595296370620549e-8
31	3.032515247079022e-7	7.609230357790896e-15	2.509214212565050e-8	9.104510583185600e-8
32	3.035305344966961e-7	2.517443655532539e-17	8.293872837890517e-11	9.112804456023490e-8
33	3.037253282513668e-7	1.274303305484303e-15	4.195578000757561e-9	9.532362256099247e-8
34	3.041051401890712e-7	1.570772547953995e-17	5.165228535688014e-11	9.537527484634935e-8
35	3.044050836287584e-7	2.222453175998394e-18	7.300972603692842e-12	9.538257581895303e-8
36	3.048510155176494e-7	5.188086520332889e-17	1.701843279584720e-10	9.555276014691151e-8
37	3.050278854961468e-7	3.130026396852013e-17	1.026144344724690e-10	9.565537458138398e-8
38	3.052253552225758e-7	4.999837659789452e-16	1.638080707988195e-9	9.729345528937218e-8
39	3.054886387576555e-7	2.171465799463118e-16	7.108172036426353e-10	9.800427249301481e-8
40	3.056884061322869e-7	2.675228672435190e-15	8.751488832316011e-9	1.067557613253308e-7
41	3.058183758580832e-7	5.020504068479679e-17	1.641662000981090e-10	1.069199275254289e-7
42	3.060759836847924e-7	4.369619095611910e-15	1.427625599044679e-8	1.211961835158757e-7
43	3.064585757336423e-7	1.156032101924342e-15	3.772229571833241e-9	1.249684130877090e-7
44	3.065347200880207e-7	3.458716506686425e-16	1.128327814119478e-9	1.260967409018284e-7
45	3.072842071199356e-7	3.609794371594753e-16	1.174741261657427e-9	1.272714821634859e-7
46	3.073644963972102e-7	7.404098729827568e-16	2.408898495634700e-9	1.296803806591205e-7
47	3.074635700758408e-7	1.908255780032128e-15	6.206445139375132e-9	1.358868257984957e-7
48	3.077878183582387e-7	2.429265362820696e-15	7.892662470459565e-9	1.437794882689553e-7
49	3.078800183624769e-7	1.857764596045411e-15	6.034053804226442e-9	1.498135420731817e-7
50	3.081153789742168e-7	1.769273165662135e-16	5.742242310502095e-10	1.503877663042319e-7
51	3.081933662833159e-7	2.171225087779965e-16	7.045009157607895e-10	1.510922672199927e-7
52	3.085656376042575e-7	1.985957443386157e-16	6.436093982484183e-10	1.517358766182411e-7
53	3.087683349165516e-7	2.330607383151743e-17	7.548077699682573e-11	1.518113573952379e-7
54	3.091853060983489e-7	3.641134378259107e-15	1.177654405446065e-8	1.635879014496986e-7
55	3.092840859925981e-7	2.989347627862387e-15	9.665378088460489e-9	1.732532795381591e-7
56	3.094920042998610e-7	5.853533461153022e-16	1.891335924621059e-9	1.751446154627801e-7
57	3.097727620964634e-7	3.797445289492708e-16	1.225880953442311e-9	1.763704964162224e-7
58	3.098350372823346e-7	2.743422289981010e-15	8.854461115968269e-9	1.852249575321907e-7
59	3.101982880781806e-7	3.851934188130607e-15	1.241765134164695e-8	1.976426088738377e-7
60	3.106888442824279e-7	9.976304482027745e-15	3.211027581331149e-8	2.297528846871492e-7
61	3.109644743415906e-7	1.425939034656127e-16	4.585536780930643e-10	2.302114383652422e-7
62	3.110820995222489e-7	3.677175307064999e-16	1.182059434699811e-9	2.313934977999420e-7
63	3.112055027001680e-7	7.062745922760331e-17	2.269479768667509e-10	2.316204457768088e-7
64	3.115310402782153e-7	6.397433286735418e-16	2.053546022580010e-9	2.336739917993888e-7
65	3.117629812959935e-7	5.535651100319904e-15	1.775596024039896e-8	2.514299520397877e-7
66	3.119330674376015e-7	9.488291461991751e-15	3.041771601816396e-8	2.818476680579517e-7
67	3.121439797546770e-7	4.026782828269793e-18	1.290040202420229e-11	2.818605684599759e-7
68	3.123286156096585e-7	2.598809209219584e-15	8.320752820380439e-9	2.901813212803564e-7
