eps	B_eps	t	A	c_lean	c_div_tA	actual_zeta	bc_lower	check_vs_actual	check_vs_bc	ratio_actual	ratio_bc
0.1000	560.0000	100.0	5.0	6.624337284222998e-170	6.624337284222999e-180	2.345896179804772e0	0.000000000000000e0	PASS	FAIL	3.541330e179	0.000000e0
0.1000	560.0000	100.0	10.0	6.624337284222998e-170	6.624337284222998e-190	2.345896179804772e0	0.000000000000000e0	PASS	FAIL	3.541330e189	0.000000e0
0.1000	560.0000	100.0	50.0	6.624337284222998e-170	6.624337284222998e-270	2.345896179804772e0	0.000000000000000e0	PASS	FAIL	3.541330e269	0.000000e0
0.1000	560.0000	100.0	100.0	6.624337284222998e-170	0.000000000000000e0	2.345896179804772e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	100.0	200.0	6.624337284222998e-170	0.000000000000000e0	2.345896179804772e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	100.0	500.0	6.624337284222998e-170	0.000000000000000e0	2.345896179804772e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	100.0	1000.0	6.624337284222998e-170	0.000000000000000e0	2.345896179804772e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	500.0	1.0	6.624337284222998e-170	1.324867456844600e-172	1.222398202095945e0	0.000000000000000e0	PASS	FAIL	9.226570e171	0.000000e0
0.1000	560.0000	500.0	5.0	6.624337284222998e-170	2.119787930951359e-183	1.222398202095945e0	0.000000000000000e0	PASS	FAIL	5.766606e182	0.000000e0
0.1000	560.0000	500.0	10.0	6.624337284222998e-170	6.783321379044350e-197	1.222398202095945e0	0.000000000000000e0	PASS	FAIL	1.802064e196	0.000000e0
0.1000	560.0000	500.0	50.0	6.624337284222998e-170	7.458340731200795e-305	1.222398202095945e0	0.000000000000000e0	PASS	FAIL	1.638968e304	0.000000e0
0.1000	560.0000	500.0	100.0	6.624337284222998e-170	0.000000000000000e0	1.222398202095945e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	500.0	200.0	6.624337284222998e-170	0.000000000000000e0	1.222398202095945e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	500.0	500.0	6.624337284222998e-170	0.000000000000000e0	1.222398202095945e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	500.0	1000.0	6.624337284222998e-170	0.000000000000000e0	1.222398202095945e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	1000.0	1.0	6.624337284222998e-170	6.624337284222998e-173	8.914485112325234e-1	0.000000000000000e0	PASS	FAIL	1.345717e172	0.000000e0
0.1000	560.0000	1000.0	5.0	6.624337284222998e-170	6.624337284222998e-185	8.914485112325234e-1	0.000000000000000e0	PASS	FAIL	1.345717e184	0.000000e0
0.1000	560.0000	1000.0	10.0	6.624337284222998e-170	6.624337284222998e-200	8.914485112325234e-1	0.000000000000000e0	PASS	FAIL	1.345717e199	0.000000e0
0.1000	560.0000	1000.0	50.0	6.624337284222998e-170	6.624432179439434e-320	8.914485112325234e-1	0.000000000000000e0	PASS	FAIL	inf	0.000000e0
0.1000	560.0000	1000.0	100.0	6.624337284222998e-170	0.000000000000000e0	8.914485112325234e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	1000.0	200.0	6.624337284222998e-170	0.000000000000000e0	8.914485112325234e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	1000.0	500.0	6.624337284222998e-170	0.000000000000000e0	8.914485112325234e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	1000.0	1000.0	6.624337284222998e-170	0.000000000000000e0	8.914485112325234e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5000.0	1.0	6.624337284222998e-170	1.324867456844600e-173	6.320541779416599e-1	0.000000000000000e0	PASS	FAIL	4.770697e172	0.000000e0
0.1000	560.0000	5000.0	5.0	6.624337284222998e-170	2.119787930951359e-188	6.320541779416599e-1	0.000000000000000e0	PASS	FAIL	2.981686e187	0.000000e0
0.1000	560.0000	5000.0	10.0	6.624337284222998e-170	6.783321379044350e-207	6.320541779416599e-1	0.000000000000000e0	PASS	FAIL	9.317768e205	0.000000e0
0.1000	560.0000	5000.0	50.0	6.624337284222998e-170	0.000000000000000e0	6.320541779416599e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5000.0	100.0	6.624337284222998e-170	0.000000000000000e0	6.320541779416599e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5000.0	200.0	6.624337284222998e-170	0.000000000000000e0	6.320541779416599e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5000.0	500.0	6.624337284222998e-170	0.000000000000000e0	6.320541779416599e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5000.0	1000.0	6.624337284222998e-170	0.000000000000000e0	6.320541779416599e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10000.0	1.0	6.624337284222998e-170	6.624337284222998e-174	4.446395823913937e-1	0.000000000000000e0	PASS	FAIL	6.712212e172	0.000000e0
0.1000	560.0000	10000.0	5.0	6.624337284222998e-170	6.624337284222998e-190	4.446395823913937e-1	0.000000000000000e0	PASS	FAIL	6.712212e188	0.000000e0
0.1000	560.0000	10000.0	10.0	6.624337284222998e-170	6.624337284222998e-210	4.446395823913937e-1	0.000000000000000e0	PASS	FAIL	6.712212e208	0.000000e0
0.1000	560.0000	10000.0	50.0	6.624337284222998e-170	0.000000000000000e0	4.446395823913937e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10000.0	100.0	6.624337284222998e-170	0.000000000000000e0	4.446395823913937e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10000.0	200.0	6.624337284222998e-170	0.000000000000000e0	4.446395823913937e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10000.0	500.0	6.624337284222998e-170	0.000000000000000e0	4.446395823913937e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10000.0	1000.0	6.624337284222998e-170	0.000000000000000e0	4.446395823913937e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	2.0	1.0	1.555753819465285e-61	7.778769097326427e-62	6.025928744142990e-1	8.805254571710120e-134	PASS	FAIL	7.746635e60	1.131960e-72
0.2500	200.0000	2.0	5.0	1.555753819465285e-61	4.861730685829017e-63	6.025928744142990e-1	8.805254571710120e-134	PASS	FAIL	1.239462e62	1.811136e-71
0.2500	200.0000	2.0	10.0	1.555753819465285e-61	1.519290839321568e-64	6.025928744142990e-1	8.805254571710120e-134	PASS	FAIL	3.966277e63	5.795635e-70
0.2500	200.0000	2.0	50.0	1.555753819465285e-61	1.381786968815111e-76	6.025928744142990e-1	8.805254571710120e-134	PASS	FAIL	4.360968e75	6.372368e-58
0.2500	200.0000	2.0	100.0	1.555753819465285e-61	1.227273366324432e-91	6.025928744142990e-1	8.805254571710120e-134	PASS	FAIL	4.910013e90	7.174648e-43
0.2500	200.0000	2.0	200.0	1.555753819465285e-61	9.681479787123296e-122	6.025928744142990e-1	8.805254571710120e-134	PASS	FAIL	6.224182e120	9.094947e-13
0.2500	200.0000	2.0	500.0	1.555753819465285e-61	4.752728915737900e-212	6.025928744142990e-1	8.805254571710120e-134	PASS	PASS	1.267888e211	1.852673e78
0.2500	200.0000	2.0	1000.0	1.555753819465285e-61	0.000000000000000e0	6.025928744142990e-1	8.805254571710120e-134	PASS	PASS	inf	inf
0.2500	200.0000	5.0	1.0	1.555753819465285e-61	3.111507638930571e-62	7.591575833003288e-1	2.173362549792176e-182	PASS	FAIL	2.439838e61	6.984918e-121
0.2500	200.0000	5.0	5.0	1.555753819465285e-61	4.978412222288914e-65	7.591575833003288e-1	2.173362549792176e-182	PASS	FAIL	1.524899e64	4.365574e-118
0.2500	200.0000	5.0	10.0	1.555753819465285e-61	1.593091911132452e-68	7.591575833003288e-1	2.173362549792176e-182	PASS	FAIL	4.765309e67	1.364242e-114
0.2500	200.0000	5.0	50.0	1.555753819465285e-61	1.751623080406021e-96	7.591575833003288e-1	2.173362549792176e-182	PASS	FAIL	4.334024e95	1.240771e-86
0.2500	200.0000	5.0	100.0	1.555753819465285e-61	1.972152263052530e-131	7.591575833003288e-1	2.173362549792176e-182	PASS	FAIL	3.849386e130	1.102026e-51
0.2500	200.0000	5.0	200.0	1.555753819465285e-61	2.500000000000000e-201	7.591575833003288e-1	2.173362549792176e-182	PASS	PASS	3.036630e200	8.693450e18
0.2500	200.0000	5.0	500.0	1.555753819465285e-61	0.000000000000000e0	7.591575833003288e-1	2.173362549792176e-182	PASS	PASS	inf	inf
0.2500	200.0000	5.0	1000.0	1.555753819465285e-61	0.000000000000000e0	7.591575833003288e-1	2.173362549792176e-182	PASS	PASS	inf	inf
0.2500	200.0000	10.0	1.0	1.555753819465285e-61	1.555753819465286e-62	1.449430930181348e0	3.315056789356482e-229	PASS	FAIL	9.316583e61	2.130836e-167
0.2500	200.0000	10.0	5.0	1.555753819465285e-61	1.555753819465286e-66	1.449430930181348e0	3.315056789356482e-229	PASS	FAIL	9.316583e65	2.130836e-163
0.2500	200.0000	10.0	10.0	1.555753819465285e-61	1.555753819465285e-71	1.449430930181348e0	3.315056789356482e-229	PASS	FAIL	9.316583e70	2.130836e-158
0.2500	200.0000	10.0	50.0	1.555753819465285e-61	1.555753819465285e-111	1.449430930181348e0	3.315056789356482e-229	PASS	FAIL	9.316583e110	2.130836e-118
0.2500	200.0000	10.0	100.0	1.555753819465285e-61	1.555753819465285e-161	1.449430930181348e0	3.315056789356482e-229	PASS	FAIL	9.316583e160	2.130836e-68
0.2500	200.0000	10.0	200.0	1.555753819465285e-61	1.555753819465285e-261	1.449430930181348e0	3.315056789356482e-229	PASS	PASS	9.316583e260	2.130836e32
0.2500	200.0000	10.0	500.0	1.555753819465285e-61	0.000000000000000e0	1.449430930181348e0	3.315056789356482e-229	PASS	PASS	inf	inf
0.2500	200.0000	10.0	1000.0	1.555753819465285e-61	0.000000000000000e0	1.449430930181348e0	3.315056789356482e-229	PASS	PASS	inf	inf
0.2500	200.0000	50.0	1.0	1.555753819465285e-61	3.111507638930571e-63	3.914731915364116e-1	0.000000000000000e0	PASS	FAIL	1.258146e62	0.000000e0
