k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	3.311027228642772e-4	2	0.81955392	0.00000006	0.17974482	0.81955392	0.00070121	-0.00000000
1	3.472526295101551e-4	2	0.63474101	0.00000034	0.36345283	0.63474101	0.00180582	-0.00000000
2	3.639277108568725e-4	2	0.74269028	0.00000026	0.25728154	0.74269028	0.00002792	-0.00000000
3	4.021450884124476e-4	1	0.49741115	0.00000119	0.49741115	0.49710603	0.00548163	-0.00000000
4	4.125302592798460e-4	2	0.74693410	0.00000158	0.25248383	0.74693410	0.00058049	-0.00000000
5	4.206819218527844e-4	1	0.62954580	0.00000037	0.62954580	0.36839865	0.00205518	-0.00000000
6	4.494493551302586e-4	1	0.56513226	0.00000001	0.56513226	0.43168551	0.00318221	-0.00000000
7	5.103777471353082e-4	2	0.93170143	0.00000071	0.06695919	0.93170143	0.00133866	-0.00000000
8	5.347470167753062e-4	1	0.59137312	0.00000867	0.59137312	0.37963814	0.02898007	-0.00000000
9	5.579672546693519e-4	1	0.56418325	0.00000661	0.56418325	0.29871389	0.13709626	-0.00000000
10	5.946768170735591e-4	2	0.72388256	0.00000020	0.21948869	0.72388256	0.05662856	-0.00000000
11	6.876228919794917e-4	2	0.73537786	0.00000033	0.26146861	0.73537786	0.00315320	-0.00000000
12	6.912905419603646e-4	2	0.61239340	0.00000236	0.38428699	0.61239340	0.00331725	-0.00000000
13	7.233286275266199e-4	2	0.84300393	0.00000526	0.15216126	0.84300393	0.00482955	-0.00000000
14	7.964131976215900e-4	2	0.71048875	0.00000026	0.28128938	0.71048875	0.00822161	-0.00000000
15	8.536231477244955e-4	2	0.73972889	0.00000146	0.23228439	0.73972889	0.02798526	-0.00000000
16	8.973424219580505e-4	2	0.55991095	0.00000687	0.36672416	0.55991095	0.07335802	-0.00000000
17	9.141594778299285e-4	2	0.57973016	0.00000162	0.37798163	0.57973016	0.04228659	-0.00000000
18	1.007015007947819e-3	2	0.58247306	0.00000605	0.40000206	0.58247306	0.01751883	-0.00000000
19	1.074700607769825e-3	2	0.54756996	0.00000953	0.15745237	0.54756996	0.29496814	-0.00000000
20	1.217418450058059e-3	1	0.45061899	0.00004324	0.45061899	0.38966911	0.15966866	-0.00000000
21	1.263204507543416e-3	2	0.85868893	0.00000705	0.13102524	0.85868893	0.01027878	-0.00000000
22	1.363290122631822e-3	1	0.51973202	0.00000045	0.51973202	0.39848172	0.08178581	-0.00000000
23	1.471009143822964e-3	2	0.61050999	0.00000048	0.27661446	0.61050999	0.11287507	-0.00000000
24	1.598990235558261e-3	2	0.61697467	0.00006676	0.37389553	0.61697467	0.00906303	-0.00000000
25	1.890783779302457e-3	1	0.49822633	0.00002773	0.49822633	0.42325667	0.07848927	-0.00000000
26	1.919352917762561e-3	1	0.51493619	0.00006025	0.51493619	0.48221713	0.00278642	-0.00000000
27	1.971251128784648e-3	2	0.60271996	0.00002024	0.35605515	0.60271996	0.04120465	-0.00000000
28	2.245525527066027e-3	2	0.69027109	0.00000288	0.26367137	0.69027109	0.04605466	-0.00000000
29	2.567847526320890e-3	2	0.55917144	0.00012178	0.36671910	0.55917144	0.07398768	-0.00000000
30	2.689482569270895e-3	2	0.48884207	0.00002436	0.32060033	0.48884207	0.19053324	-0.00000000
31	2.854487653282557e-3	2	0.52314717	0.00010793	0.46414209	0.52314717	0.01260281	-0.00000000
32	3.023123648874834e-3	2	0.59788032	0.00026131	0.40167926	0.59788032	0.00017911	-0.00000000
33	3.338395237843210e-3	2	0.47925498	0.00011843	0.46348326	0.47925498	0.05714333	-0.00000000
