k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	5.077699629369136e-4	2	0.86383011	0.00000450	0.13472484	0.86383011	0.00144055	-0.00000000
1	5.341222644146043e-4	1	0.57755468	0.00000174	0.57755468	0.41777498	0.00466860	-0.00000000
2	5.623560459127857e-4	1	0.58367094	0.00000561	0.58367094	0.19666187	0.21966157	-0.00000000
3	6.121794464295839e-4	1	0.53402254	0.00000239	0.53402254	0.44610262	0.01987245	-0.00000000
4	6.515848656381788e-4	2	0.89532149	0.00000093	0.10412359	0.89532149	0.00055400	-0.00000000
5	7.026266369313697e-4	1	0.57510259	0.00000355	0.57510259	0.42099556	0.00389830	-0.00000000
6	7.626820564775193e-4	2	0.84877659	0.00000000	0.15062206	0.84877659	0.00060135	-0.00000000
7	8.751962868858322e-4	2	0.76329346	0.00000414	0.21467134	0.76329346	0.02203106	-0.00000000
8	9.412988071959557e-4	1	0.49059419	0.00000217	0.49059419	0.38332330	0.12608035	-0.00000000
9	9.865585060852512e-4	1	0.48111037	0.00001689	0.48111037	0.36999812	0.14887463	-0.00000000
10	1.040574186303930e-3	1	0.66864719	0.00000339	0.66864719	0.12619478	0.20515464	-0.00000000
11	1.174666060940117e-3	2	0.61046017	0.00002334	0.38531190	0.61046017	0.00420459	-0.00000000
12	1.243083732827253e-3	1	0.47373885	0.00001825	0.47373885	0.46218887	0.06405402	-0.00000000
13	1.325216537547387e-3	2	0.59995358	0.00000080	0.32222884	0.59995358	0.07781679	-0.00000000
14	1.416042734379237e-3	2	0.55629934	0.00000296	0.41586272	0.55629934	0.02783497	-0.00000000
15	1.564795193694218e-3	1	0.46011657	0.00000413	0.46011657	0.43517054	0.10470877	-0.00000000
16	1.854314081982676e-3	1	0.49187150	0.00002623	0.49187150	0.47548072	0.03262154	-0.00000000
17	1.921667307765003e-3	2	0.64828244	0.00002319	0.14605326	0.64828244	0.20564110	-0.00000000
18	2.255681561955730e-3	2	0.52643795	0.00000001	0.39783088	0.52643795	0.07573116	-0.00000000
19	2.456416066641203e-3	2	0.70333494	0.00000007	0.26209201	0.70333494	0.03457298	-0.00000000
20	2.684563510205743e-3	2	0.51649550	0.00000136	0.36754955	0.51649550	0.11595360	-0.00000000
21	3.020069636822057e-3	1	0.51725984	0.00008733	0.51725984	0.46357064	0.01908219	-0.00000000
22	3.136760645445206e-3	1	0.49337386	0.00044336	0.49337386	0.47870167	0.02748111	-0.00000000
23	3.279596020968854e-3	2	0.56226714	0.00000029	0.41273906	0.56226714	0.02499352	-0.00000000
24	3.624123991892547e-3	2	0.48994074	0.00079866	0.47493421	0.48994074	0.03432639	-0.00000000
25	4.136406705666304e-3	2	0.70349661	0.00026501	0.29363081	0.70349661	0.00260757	-0.00000000
26	4.909371472473612e-3	1	0.52581658	0.00022241	0.52581658	0.43890282	0.03505819	-0.00000000
27	5.654925303418543e-3	2	0.68964116	0.00002774	0.28314364	0.68964116	0.02718746	-0.00000000
28	5.927789648359326e-3	1	0.48683729	0.00003199	0.48683729	0.46796012	0.04517060	-0.00000000
29	7.140941472512668e-3	1	0.52241761	0.00052860	0.52241761	0.47693083	0.00012297	-0.00000000
30	8.064639214286051e-3	1	0.51945920	0.00002132	0.51945920	0.46522667	0.01529281	-0.00000000
31	1.122801205696161e-2	1	0.63323767	0.00016465	0.63323767	0.35988098	0.00671670	-0.00000000
32	1.188939016844963e-2	1	0.55869859	0.00126768	0.55869859	0.41281808	0.02721565	-0.00000000
33	1.526120269722161e-2	2	0.50377483	0.00001480	0.47304690	0.50377483	0.02316347	-0.00000000
34	1.732448472877384e-2	2	0.55336421	0.00172106	0.43220427	0.55336421	0.01271046	-0.00000000
35	2.184949731592853e-2	1	0.62735852	0.00002951	0.62735852	0.33571433	0.03689764	-0.00000000
36	2.386549980596028e-2	1	0.60767556	0.00113034	0.60767556	0.34674610	0.04444801	-0.00000000
37	2.454837469715765e-2	2	0.64798955	0.00009855	0.34139734	0.64798955	0.01051455	-0.00000000
38	2.645121099408460e-2	1	0.51495882	0.00095336	0.51495882	0.47360878	0.01047905	-0.00000000
39	2.796967058486140e-2	1	0.75680186	0.00379327	0.75680186	0.22759680	0.01180807	-0.00000000
40	3.211390844170080e-2	2	0.52208994	0.00559321	0.46446138	0.52208994	0.00785547	-0.00000000
41	3.640395036449100e-2	1	0.93249499	0.03378976	0.93249499	0.03342130	0.00029395	-0.00000000
42	4.355507012222180e-2	1	0.74100573	0.07005152	0.74100573	0.17823882	0.01070393	-0.00000000
43	6.356161004329650e-2	1	0.79533109	0.12154857	0.79533109	0.07797718	0.00514316	-0.00000000
44	9.617745770638068e-2	0	0.43553133	0.43553133	0.31399481	0.23256017	0.01791369	-0.00000000
45	3.674358206773566e-1	1	0.46584324	0.23774004	0.46584324	0.26638540	0.03003132	-0.00000000
46	2.841452675001741e0	1	0.57437676	0.08400000	0.57437676	0.32481820	0.01680504	-0.00000000
