k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	2.176830178549296e-7	2	0.49690286	0.00000000	0.29116629	0.49690286	0.19922105	0.01270979
1	2.182679077396065e-7	2	0.63667686	0.00000000	0.18603193	0.63667686	0.16222670	0.01506450
2	2.189557749248939e-7	2	0.58260481	0.00000000	0.26265719	0.58260481	0.14117494	0.01356305
3	2.194587221023073e-7	1	0.55811082	0.00000000	0.55811082	0.32729476	0.09793302	0.01666139
4	2.198405048904061e-7	2	0.57325330	0.00000000	0.24625138	0.57325330	0.17186641	0.00862891
5	2.201656985579914e-7	2	0.66463738	0.00000000	0.20363145	0.66463738	0.12686329	0.00486788
6	2.209795273200505e-7	2	0.45642509	0.00000000	0.31695780	0.45642509	0.21422038	0.01239673
7	2.217497269238629e-7	2	0.39919681	0.00000000	0.38191169	0.39919681	0.20869428	0.01019721
8	2.219716431575189e-7	2	0.42867602	0.00000000	0.36235705	0.42867602	0.19676739	0.01219954
9	2.221982849616364e-7	2	0.47767649	0.00000000	0.32982799	0.47767649	0.17379732	0.01869819
10	2.227108840021173e-7	2	0.40948598	0.00000000	0.35113720	0.40948598	0.23080245	0.00857437
11	2.228900248280095e-7	2	0.42665975	0.00000000	0.34523781	0.42665975	0.21591090	0.01219155
12	2.235128231485846e-7	2	0.39622222	0.00000000	0.37908704	0.39622222	0.21095821	0.01373253
13	2.236144069768519e-7	2	0.42743896	0.00000000	0.33853023	0.42743896	0.22103169	0.01299911
14	2.238899452533597e-7	2	0.48260817	0.00000000	0.36160676	0.48260817	0.13852123	0.01726384
15	2.246181324323099e-7	2	0.43487723	0.00000000	0.36717655	0.43487723	0.18375386	0.01419236
16	2.248233653234702e-7	2	0.46471802	0.00000000	0.38292827	0.46471802	0.13283313	0.01952058
17	2.250757365882888e-7	2	0.47352595	0.00000000	0.34689123	0.47352595	0.16251795	0.01706487
18	2.254208174676763e-7	2	0.49455468	0.00000000	0.30653976	0.49455468	0.18948077	0.00942478
19	2.257192448637719e-7	2	0.45311729	0.00000000	0.36333872	0.45311729	0.16308720	0.02045680
20	2.261046713189589e-7	2	0.45557728	0.00000000	0.31931253	0.45557728	0.20945857	0.01565162
21	2.264046731024829e-7	2	0.56557060	0.00000000	0.26947230	0.56557060	0.14758324	0.01737386
22	2.268708774699322e-7	2	0.60035003	0.00000000	0.26254716	0.60035003	0.11874359	0.01835922
23	2.272194507976254e-7	2	0.47578314	0.00000000	0.30323658	0.47578314	0.20742600	0.01355428
24	2.275451236158429e-7	2	0.42664721	0.00000000	0.33773213	0.42664721	0.22533748	0.01028319
25	2.281906334665982e-7	2	0.45897094	0.00000000	0.34525454	0.45897094	0.18224535	0.01352917
26	2.285669433873953e-7	2	0.47592092	0.00000000	0.28304859	0.47592092	0.22530659	0.01572390
27	2.289970678463443e-7	2	0.46740915	0.00000000	0.26211178	0.46740915	0.26210857	0.00837050
28	2.296324054132758e-7	2	0.55598922	0.00000000	0.22609258	0.55598922	0.20335328	0.01456492
29	2.299510426026213e-7	2	0.42658906	0.00000000	0.30553508	0.42658906	0.25936459	0.00851127
30	2.303090724997169e-7	2	0.54307656	0.00000000	0.25889448	0.54307656	0.18740860	0.01062035
31	2.304863745561178e-7	2	0.49221879	0.00000000	0.26979652	0.49221879	0.22207797	0.01590672
32	2.307573997922319e-7	2	0.48008916	0.00000000	0.27031703	0.48008916	0.23701711	0.01257670
33	2.310750806635182e-7	2	0.51208025	0.00000000	0.27331872	0.51208025	0.20333488	0.01126616
34	2.313747333139056e-7	2	0.55267457	0.00000000	0.23376053	0.55267457	0.19823497	0.01532992
35	2.319371820256860e-7	2	0.41411589	0.00000000	0.37195047	0.41411589	0.20102265	0.01291099
36	2.323336812662765e-7	2	0.58024040	0.00000000	0.22773651	0.58024040	0.18308094	0.00894215
37	2.324400351519460e-7	2	0.56777622	0.00000000	0.22726566	0.56777622	0.19638790	0.00857021
38	2.329494270691856e-7	2	0.53829924	0.00000000	0.22634607	0.53829924	0.22326265	0.01209204
39	2.331788172390900e-7	2	0.52451628	0.00000000	0.27267428	0.52451628	0.18930635	0.01350309
40	2.336447172035654e-7	2	0.52729436	0.00000000	0.23677824	0.52729436	0.22484404	0.01108336
41	2.341092361892843e-7	2	0.52812357	0.00000000	0.27801972	0.52812357	0.18340340	0.01045331
42	2.343773909304237e-7	2	0.54262501	0.00000000	0.25717868	0.54262501	0.18986726	0.01032905
43	2.347619303976690e-7	2	0.54514642	0.00000000	0.24412408	0.54514642	0.19905816	0.01167134
44	2.351477249983846e-7	2	0.46517296	0.00000000	0.30241717	0.46517296	0.21854630	0.01386358
45	2.352030111657025e-7	2	0.55605594	0.00000000	0.24147935	0.55605594	0.18302974	0.01943496
46	2.355543898106228e-7	2	0.49553001	0.00000000	0.28967027	0.49553001	0.19756114	0.01723858
47	2.358844015101191e-7	2	0.51822614	0.00000000	0.26992613	0.51822614	0.19459337	0.01725436
48	2.362603045894312e-7	2	0.50877690	0.00000000	0.25059551	0.50877690	0.22297162	0.01765597
49	2.364202480969641e-7	2	0.41970289	0.00000000	0.36486612	0.41970289	0.19936845	0.01606254
50	2.368017051516210e-7	2	0.49556113	0.00000000	0.28304051	0.49556113	0.20914189	0.01225646
51	2.371280454248848e-7	2	0.46539790	0.00000000	0.33485257	0.46539790	0.18282067	0.01692886
52	2.372429992094159e-7	2	0.51039678	0.00000000	0.26490287	0.51039678	0.20288486	0.02181549
53	2.374660964116352e-7	2	0.50388610	0.00000000	0.28827889	0.50388610	0.19458331	0.01325170
54	2.376681808728824e-7	2	0.47723527	0.00000000	0.29479186	0.47723527	0.21558407	0.01238879
55	2.378559816703456e-7	2	0.43110261	0.00000000	0.33184560	0.43110261	0.21877698	0.01827481
56	2.380930923787938e-7	2	0.53579838	0.00000000	0.25370024	0.53579838	0.19758935	0.01291204
57	2.384216370320338e-7	2	0.53239157	0.00000000	0.23976437	0.53239157	0.20624468	0.02159938
58	2.385316721479008e-7	2	0.48496913	0.00000000	0.29003441	0.48496913	0.20836850	0.01662796
59	2.386226241280035e-7	2	0.47884633	0.00000000	0.26950898	0.47884633	0.22954376	0.02210093
60	2.387517279132594e-7	2	0.48457860	0.00000000	0.25835313	0.48457860	0.24668204	0.01038623
61	2.390336393420874e-7	2	0.42403421	0.00000000	0.32121456	0.42403421	0.23869977	0.01605145
62	2.393964606379745e-7	2	0.44099006	0.00000000	0.31328237	0.44099006	0.22944848	0.01627909
63	2.394980692922252e-7	2	0.54993311	0.00000000	0.23828770	0.54993311	0.19887251	0.01290667
64	2.396395034010735e-7	2	0.49424911	0.00000000	0.25946892	0.49424911	0.22766156	0.01862041
65	2.399773421053356e-7	2	0.45372346	0.00000000	0.30058916	0.45372346	0.22785677	0.01783061
66	2.401513180908881e-7	2	0.52261005	0.00000000	0.22975376	0.52261005	0.22884391	0.01879227
67	2.402979718139662e-7	2	0.48188467	0.00000000	0.26953300	0.48188467	0.23025613	0.01832620
