k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	2.252854261063864e-5	1	0.51164847	0.00000000	0.51164847	0.36805185	0.12029419	0.00000549
1	2.390065434097403e-5	1	0.52107425	0.00000001	0.52107425	0.38965039	0.08921713	0.00005822
2	2.436184144378407e-5	2	0.67276872	0.00000000	0.20289168	0.67276872	0.12423889	0.00010071
3	2.505748026702422e-5	2	0.57133606	0.00000000	0.27617073	0.57133606	0.15202468	0.00046853
4	2.556762222008346e-5	2	0.76469963	0.00000001	0.06143401	0.76469963	0.17199167	0.00187468
5	2.605664229951028e-5	2	0.46677611	0.00000000	0.33394182	0.46677611	0.19487425	0.00440782
6	2.650097711391050e-5	3	0.52192979	0.00000000	0.09650307	0.38140727	0.52192979	0.00015987
7	2.688603918182830e-5	2	0.46610726	0.00000000	0.27599419	0.46610726	0.25722734	0.00067120
8	2.697094264398937e-5	2	0.69144389	0.00000001	0.17117721	0.69144389	0.11908384	0.01829505
9	2.774223320962537e-5	2	0.59712898	0.00000001	0.27648051	0.59712898	0.11349741	0.01289309
10	2.797000668924065e-5	2	0.69678948	0.00000000	0.23616398	0.69678948	0.06548716	0.00155938
11	2.860629514393836e-5	2	0.69818981	0.00000000	0.07537967	0.69818981	0.22637398	0.00005654
12	2.953753211990693e-5	2	0.81280790	0.00000000	0.11293785	0.81280790	0.07271360	0.00154065
13	2.974097361335452e-5	2	0.73585542	0.00000000	0.13919107	0.73585542	0.11577539	0.00917811
14	3.017369685665795e-5	2	0.59474636	0.00000000	0.28736014	0.59474636	0.11222720	0.00566629
15	3.053077127571001e-5	2	0.46857116	0.00000001	0.36750030	0.46857116	0.11647676	0.04745178
16	3.145608082117701e-5	2	0.51934553	0.00000000	0.37378057	0.51934553	0.08915220	0.01772170
17	3.184592562100655e-5	2	0.41569403	0.00000000	0.39594816	0.41569403	0.17488732	0.01347049
18	3.250161955659646e-5	2	0.59229211	0.00000000	0.21758367	0.59229211	0.11866348	0.07146074
19	3.306248328908842e-5	2	0.55963869	0.00000000	0.37122750	0.55963869	0.06823717	0.00089665
20	3.327493961828660e-5	2	0.68622877	0.00000000	0.15244059	0.68622877	0.16074577	0.00058486
21	3.378743386839659e-5	2	0.57486458	0.00000001	0.27587539	0.57486458	0.14764228	0.00161775
22	3.474126432398074e-5	2	0.62195646	0.00000001	0.28232536	0.62195646	0.09569117	0.00002701
