omega	count	median	mean	std	energy_center	purity
1	12	2.804475041837911e-2	9.927113873529851e-2	2.564483780025601e-1	2.983198870920937e-2	0.56623139
2	347	9.750397433089215e-5	1.456983448712324e-2	2.250985313486878e-1	1.351056896365105e-2	0.54908627
3	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
