k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	8.863649355366123e-7	2	0.57834262	0.00000000	0.20449081	0.57834262	0.21272912	0.00443744
1	8.997088039092486e-7	2	0.43821654	0.00000000	0.36941282	0.43821654	0.18651498	0.00585566
2	9.075881923498482e-7	2	0.50952584	0.00000000	0.27798910	0.50952584	0.20511037	0.00737469
3	9.225280683207071e-7	2	0.50767005	0.00000000	0.30480594	0.50767005	0.18214765	0.00537636
4	9.280256684981122e-7	2	0.51016835	0.00000000	0.23270235	0.51016835	0.25297705	0.00415225
5	9.326767751972856e-7	2	0.51063964	0.00000000	0.26010925	0.51063964	0.22547669	0.00377442
6	9.480715918442330e-7	2	0.48819351	0.00000000	0.27920108	0.48819351	0.22711659	0.00548883
7	9.509283227319598e-7	2	0.50136599	0.00000000	0.26810776	0.50136599	0.22183363	0.00869262
8	9.571033941892764e-7	2	0.51539572	0.00000000	0.26809348	0.51539572	0.20972639	0.00678441
9	9.681028725405579e-7	2	0.47062584	0.00000000	0.28567753	0.47062584	0.23265174	0.01104488
10	9.749866169375210e-7	2	0.46226742	0.00000000	0.32893469	0.46226742	0.20202587	0.00677203
11	9.842778035531539e-7	2	0.58970047	0.00000000	0.24331790	0.58970047	0.15352863	0.01345300
12	9.926335626274274e-7	2	0.59094029	0.00000000	0.26590133	0.59094029	0.12777740	0.01538098
13	9.997288056679703e-7	2	0.64550901	0.00000000	0.20633505	0.64550901	0.11986628	0.02828966
14	1.007335685979053e-6	2	0.63591582	0.00000000	0.21007495	0.63591582	0.13970775	0.01430148
15	1.013731484143904e-6	2	0.61074558	0.00000000	0.23673729	0.61074558	0.13222747	0.02028966
16	1.017539264774596e-6	2	0.57719522	0.00000000	0.26335358	0.57719522	0.15192099	0.00753021
17	1.027057575890342e-6	2	0.64614986	0.00000000	0.23402444	0.64614986	0.11294469	0.00688102
18	1.035295169427118e-6	2	0.64480525	0.00000000	0.22104398	0.64480525	0.09179676	0.04235401
