omega	count	median	mean	std	energy_center	purity
1	16	2.051938538401833e-2	1.731063176364087e-1	5.495840243309383e-1	1.364629331292296e-1	0.66567784
2	6	6.981025848193291e-3	8.636153686124528e-3	7.719435720028102e-3	8.234123253000311e-2	0.68284564
3	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
