omega	count	median	mean	std	energy_center	purity
1	24	1.081649813294844e-2	2.071892141575607e-1	7.572351478226444e-1	4.575644663938500e-2	0.53395543
2	152	3.069854455405355e-4	2.128333491251835e-3	5.084948818437635e-3	2.198436435267533e-2	0.58225930
3	2	4.898693950422159e-5	4.788334757943702e-5	1.103591924784574e-6	1.305096314281193e-2	0.41838873
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
