omega	count	median	mean	std	energy_center	purity
1	13	2.755903988747698e-2	1.152621533590590e-1	3.107071078935415e-1	1.887321303162526e-2	0.50563729
2	702	2.683291333269767e-5	8.005870318031721e-3	1.728206305890370e-1	8.177947926535072e-3	0.52513671
3	4	4.198012997975996e-6	5.083302230674412e-6	2.438295870838090e-6	4.481069502055302e-3	0.43995813
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
