k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
8489	3.135469089658936e-6	2	0.42059913	0.00000000	0.14376794	0.42059913	0.36988685	0.06574608
8490	3.143497831509591e-6	2	0.42455322	0.00000000	0.15749863	0.42455322	0.34248390	0.07546425
8491	3.146686412641373e-6	2	0.43448357	0.00000000	0.13394072	0.43448357	0.36577222	0.06580349
8492	3.149897256940812e-6	2	0.44043577	0.00000000	0.15867723	0.44043577	0.33079345	0.07009356
8493	3.152718013578533e-6	2	0.44021961	0.00000000	0.13635377	0.44021961	0.36055387	0.06287275
8494	3.156814532446262e-6	2	0.43321073	0.00000000	0.13054269	0.43321073	0.36248471	0.07376187
8495	3.164295122839079e-6	2	0.43563419	0.00000000	0.14358559	0.43563419	0.34974702	0.07103320
8496	3.166074682833706e-6	2	0.43493306	0.00000000	0.14029817	0.43493306	0.35478492	0.06998385
8497	3.169569150032401e-6	2	0.44988743	0.00000000	0.13624817	0.44988743	0.33596741	0.07789699
8498	3.173937240693187e-6	2	0.43829673	0.00000000	0.13504376	0.43829673	0.36192012	0.06473938
8499	3.180343792848358e-6	2	0.44338586	0.00000000	0.14183957	0.44338586	0.34820952	0.06656506
8500	3.182628407584734e-6	2	0.43693210	0.00000000	0.13467314	0.43693210	0.35757195	0.07082280
8501	3.187313536957497e-6	2	0.42941991	0.00000000	0.13592667	0.42941991	0.37408296	0.06057046
8502	3.190578983214176e-6	2	0.45015339	0.00000000	0.13139444	0.45015339	0.34977053	0.06868164
8503	3.195004604016427e-6	2	0.43312324	0.00000000	0.13779515	0.43312324	0.35777069	0.07131092
8504	3.203839248233243e-6	2	0.44621910	0.00000000	0.12682272	0.44621910	0.35091831	0.07603988
8505	3.205919769330382e-6	2	0.43063013	0.00000000	0.13422941	0.43063013	0.36947264	0.06566781
8506	3.212470174912742e-6	2	0.42893438	0.00000000	0.14327749	0.42893438	0.36031874	0.06746939
8507	3.214451677377513e-6	2	0.44356882	0.00000000	0.12681612	0.44356882	0.35540980	0.07420526
8508	3.221850632874350e-6	2	0.43355954	0.00000000	0.13728872	0.43355954	0.36125663	0.06789511
8509	3.226177470242283e-6	2	0.41762421	0.00000000	0.14729190	0.41762421	0.36674234	0.06834156
8510	3.229219240053686e-6	2	0.44153209	0.00000000	0.12957793	0.44153209	0.36099766	0.06789232
8511	3.233618915579484e-6	2	0.43420221	0.00000000	0.13384557	0.43420221	0.36857782	0.06337440
