k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	1.894763966803032e-3	2	0.95916009	0.00004520	0.04079471	0.95916009	-0.00000000	-0.00000000
1	2.097137729286106e-3	1	0.59695285	0.00000003	0.59695285	0.40304712	-0.00000000	-0.00000000
2	2.188252327926484e-3	1	0.68797660	0.00012099	0.68797660	0.31190241	-0.00000000	-0.00000000
3	2.607519363450452e-3	1	0.78133046	0.00008970	0.78133046	0.21857985	-0.00000000	-0.00000000
4	3.289558354232756e-3	2	0.66766394	0.00003449	0.33230157	0.66766394	-0.00000000	-0.00000000
5	3.979806230889072e-3	2	0.77366610	0.00014798	0.22618592	0.77366610	-0.00000000	-0.00000000
6	4.117738700534760e-3	1	0.63511165	0.00089247	0.63511165	0.36399587	-0.00000000	-0.00000000
7	5.010080266560695e-3	1	0.53360158	0.00078123	0.53360158	0.46561719	-0.00000000	-0.00000000
8	6.025041728904197e-3	1	0.67034545	0.00021569	0.67034545	0.32943886	-0.00000000	-0.00000000
9	6.981025848193291e-3	2	0.65853531	0.00021727	0.34124742	0.65853531	-0.00000000	-0.00000000
10	9.434372382834826e-3	1	0.64934638	0.00012967	0.64934638	0.35052395	-0.00000000	-0.00000000
11	1.113459220083845e-2	2	0.50788583	0.00058377	0.49153040	0.50788583	-0.00000000	-0.00000000
12	1.463300254534262e-2	1	0.70373395	0.00201626	0.70373395	0.29424979	-0.00000000	-0.00000000
13	2.051938538401833e-2	1	0.58898133	0.00000634	0.58898133	0.41101233	-0.00000000	-0.00000000
14	2.453717551579056e-2	2	0.53016257	0.00067150	0.46916594	0.53016257	-0.00000000	-0.00000000
15	2.645208954844015e-2	1	0.61281599	0.00318158	0.61281599	0.38400242	-0.00000000	-0.00000000
16	2.796453646687998e-2	1	0.70325321	0.00182229	0.70325321	0.29492450	-0.00000000	-0.00000000
17	3.526577594276591e-2	1	0.69541612	0.00802265	0.69541612	0.29656123	-0.00000000	-0.00000000
18	3.652379501614725e-2	1	0.87931635	0.06483579	0.87931635	0.05584786	-0.00000000	-0.00000000
19	5.450722994671806e-2	1	0.86535861	0.00624400	0.86535861	0.12839739	-0.00000000	-0.00000000
20	7.390192035930628e-2	0	0.46228155	0.46228155	0.44792854	0.08978991	-0.00000000	-0.00000000
21	2.308504991810199e-1	1	0.41867454	0.33136985	0.41867454	0.24995562	-0.00000000	-0.00000000
22	2.291504625651709e0	1	0.62863045	0.11628968	0.62863045	0.25507986	-0.00000000	-0.00000000
