omega	count	median	mean	std	energy_center	purity
1	17	1.426370624547679e-2	2.583527015011051e-1	8.232290686861137e-1	5.970331811685918e-2	0.56372173
2	101	6.368173629497060e-4	4.741784840449299e-3	1.603700075825645e-2	2.859513067695348e-2	0.59412684
3	1	1.120593906330001e-4	1.120593906330001e-4	0.000000000000000e0	1.794051703809867e-2	0.46792685
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
