omega	count	median	mean	std	energy_center	purity
1	19	1.149599703562109e-2	1.675871214560055e-1	5.813388047535583e-1	1.100770865543697e-1	0.64355299
2	15	3.675941469809580e-3	7.714806528186203e-3	8.811119957842265e-3	6.554410363310738e-2	0.60897035
3	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
