omega	count	median	mean	std	energy_center	purity
1	8	4.041707648498479e-2	2.682911203515088e-1	6.226969750313941e-1	4.416619012384440e-3	0.57519751
2	3937	1.330976608376173e-6	1.885390309802148e-3	8.717881749295225e-2	1.877196478554494e-3	0.45788908
3	1094	5.654807667028156e-7	5.785122546354986e-7	8.099330542896477e-8	9.567918472233826e-4	0.44083408
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
