k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	8.740398336351505e-4	2	0.79757624	0.00000969	0.20142847	0.79757624	0.00098560	-0.00000000
1	9.648923369831748e-4	1	0.81759502	0.00000176	0.81759502	0.18192240	0.00048083	-0.00000000
2	1.002322887090677e-3	1	0.54787209	0.00000034	0.54787209	0.27956715	0.17256042	-0.00000000
3	1.055196318113542e-3	2	0.65281490	0.00000046	0.29221054	0.65281490	0.05497411	-0.00000000
4	1.243088995258856e-3	1	0.66799655	0.00004476	0.66799655	0.33046365	0.00149505	-0.00000000
5	1.384772237428381e-3	1	0.66810843	0.00000102	0.66810843	0.32214049	0.00975006	-0.00000000
6	1.517149690724143e-3	1	0.65767034	0.00000425	0.65767034	0.31603442	0.02629099	-0.00000000
7	1.693396908120678e-3	1	0.51955468	0.00000180	0.51955468	0.27871470	0.20172882	-0.00000000
8	1.851358894930736e-3	2	0.87148905	0.00006520	0.11690273	0.87148905	0.01154302	-0.00000000
9	2.101443588488093e-3	2	0.67901215	0.00001285	0.21700700	0.67901215	0.10396800	-0.00000000
10	2.299593534637997e-3	2	0.48403767	0.00005874	0.48183013	0.48403767	0.03407346	-0.00000000
11	2.754366521338706e-3	2	0.53871210	0.00012018	0.37861765	0.53871210	0.08255007	-0.00000000
12	3.088579281607765e-3	2	0.61551508	0.00005342	0.38400035	0.61551508	0.00043115	-0.00000000
13	3.527382475955657e-3	1	0.57423049	0.00092553	0.57423049	0.41315674	0.01168723	-0.00000000
14	3.675941469809580e-3	2	0.75908596	0.00002215	0.19468836	0.75908596	0.04620353	-0.00000000
15	4.437916754626977e-3	2	0.50934367	0.00046774	0.44237849	0.50934367	0.04781010	-0.00000000
16	4.648961048486042e-3	2	0.61177372	0.00015606	0.38792008	0.61177372	0.00015014	-0.00000000
17	5.362904614104307e-3	1	0.51509407	0.00002560	0.51509407	0.46498025	0.01990009	-0.00000000
18	6.174142334354184e-3	1	0.57797085	0.00015164	0.57797085	0.40299428	0.01888323	-0.00000000
19	7.498009877691118e-3	2	0.51432825	0.00039076	0.48471540	0.51432825	0.00056558	-0.00000000
20	9.264361803619389e-3	2	0.52803395	0.00002197	0.47188690	0.52803395	0.00005717	-0.00000000
21	1.149599703562109e-2	1	0.57748755	0.00118773	0.57748755	0.38885518	0.03246954	-0.00000000
22	1.478739254680837e-2	1	0.63261724	0.00079827	0.63261724	0.36327977	0.00330472	-0.00000000
23	1.714680450370810e-2	2	0.56639760	0.00109148	0.42866875	0.56639760	0.00384217	-0.00000000
24	2.198819518271679e-2	1	0.62472751	0.00011317	0.62472751	0.37085237	0.00430695	-0.00000000
25	2.431979856535753e-2	2	0.50568204	0.00075556	0.46617421	0.50568204	0.02738818	-0.00000000
26	2.563680664265843e-2	1	0.51280879	0.00009150	0.51280879	0.48598589	0.00111383	-0.00000000
27	2.689467062972484e-2	1	0.72208767	0.00486666	0.72208767	0.27006555	0.00298013	-0.00000000
28	3.070572592674230e-2	2	0.50075288	0.00070342	0.48700936	0.50075288	0.01153434	-0.00000000
29	3.631595977117837e-2	1	0.93491385	0.02393054	0.93491385	0.04069196	0.00046365	-0.00000000
30	3.988150070997148e-2	1	0.75020022	0.07550900	0.75020022	0.16008896	0.01420182	-0.00000000
31	6.052370067768964e-2	1	0.86744736	0.03639806	0.86744736	0.08927919	0.00687538	-0.00000000
32	8.462832217483415e-2	0	0.48564429	0.48564429	0.33705482	0.16365219	0.01364870	-0.00000000
33	3.060911361196699e-1	1	0.45951070	0.27086690	0.45951070	0.24831104	0.02131137	-0.00000000
34	2.617669895868046e0	1	0.59961338	0.09550745	0.59961338	0.29440859	0.01047058	-0.00000000
