omega	count	median	mean	std	energy_center	purity
1	12	2.779429763477623e-2	1.230224783054803e-1	3.385796105997808e-1	1.693301192226000e-2	0.55135595
2	820	2.047114711847523e-5	7.021531515576127e-3	1.627067701314508e-1	7.323522065594622e-3	0.51700076
3	6	3.836797547796446e-6	3.536035741701975e-6	6.888871839539293e-7	3.944116503575817e-3	0.42065016
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
