omega	count	median	mean	std	energy_center	purity
1	9	3.643703756565294e-2	1.951341747396261e-1	4.616900160587534e-1	1.027176869543023e-2	0.54048785
2	1653	5.648669760851820e-6	3.889395985200790e-3	1.229401836064581e-1	4.370197206631220e-3	0.48553865
3	17	1.977625136871970e-6	1.936240416822444e-6	4.829451607871247e-7	2.295070254227390e-3	0.42085554
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
