k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	8.665085954177712e-5	2	0.50183007	0.00000003	0.47442226	0.50183007	0.02374764	-0.00000000
1	9.126120895296689e-5	2	0.81148716	0.00000008	0.13428573	0.81148716	0.05422704	-0.00000000
2	9.501364667537635e-5	2	0.72539538	0.00000010	0.17227350	0.72539538	0.10233102	-0.00000000
3	9.605584089157415e-5	1	0.60537325	0.00000001	0.60537325	0.26791895	0.12670779	-0.00000000
4	1.013683333939182e-4	2	0.70064235	0.00000000	0.22202470	0.70064235	0.07733295	-0.00000000
5	1.036551080301000e-4	1	0.40633085	0.00000006	0.40633085	0.32280499	0.27086410	-0.00000000
6	1.059060637114190e-4	1	0.51087989	0.00000000	0.51087989	0.46515016	0.02396995	-0.00000000
7	1.110371003637439e-4	2	0.62417138	0.00000003	0.28534973	0.62417138	0.09047886	-0.00000000
8	1.120593906330001e-4	3	0.46792685	0.00000001	0.07823734	0.45383580	0.46792685	-0.00000000
9	1.170126950889619e-4	1	0.46493548	0.00000000	0.46493548	0.41637350	0.11869102	-0.00000000
10	1.211924532096583e-4	2	0.60481609	0.00000002	0.35184933	0.60481609	0.04333456	-0.00000000
11	1.234587469226903e-4	2	0.88293505	0.00000000	0.09957024	0.88293505	0.01749472	-0.00000000
12	1.302679885490763e-4	2	0.55067745	0.00000001	0.43656079	0.55067745	0.01276175	-0.00000000
13	1.340064146857175e-4	2	0.50740838	0.00000007	0.45055155	0.50740838	0.04204000	-0.00000000
14	1.396721530584021e-4	2	0.82527352	0.00000034	0.13364935	0.82527352	0.04107679	-0.00000000
15	1.463758452558534e-4	2	0.67440948	0.00000025	0.17704088	0.67440948	0.14854939	-0.00000000
16	1.489906667956227e-4	2	0.65163907	0.00000020	0.14851036	0.65163907	0.19985037	-0.00000000
17	1.573234994799408e-4	1	0.50724750	0.00000005	0.50724750	0.41360404	0.07914841	-0.00000000
18	1.625206893621073e-4	2	0.69815572	0.00000042	0.13688929	0.69815572	0.16495457	-0.00000000
19	1.665196119143721e-4	2	0.57862388	0.00000025	0.33666203	0.57862388	0.08471385	-0.00000000
20	1.732911030902780e-4	2	0.58524396	0.00000006	0.20115446	0.58524396	0.21360152	-0.00000000
21	1.767379391139562e-4	2	0.60133081	0.00000014	0.22744051	0.60133081	0.17122854	-0.00000000
22	1.821410835389500e-4	2	0.63362798	0.00000000	0.30878526	0.63362798	0.05758676	-0.00000000
23	1.867388161209885e-4	2	0.66635565	0.00000001	0.20038965	0.66635565	0.13325469	-0.00000000
24	2.004972823143401e-4	2	0.46910938	0.00000001	0.41468520	0.46910938	0.11620541	-0.00000000
25	2.033217232090630e-4	2	0.70057193	0.00000009	0.19002501	0.70057193	0.10940296	-0.00000000
26	2.073913246809067e-4	2	0.58634091	0.00000000	0.35655078	0.58634091	0.05710831	-0.00000000
27	2.114003219205254e-4	2	0.65992367	0.00000023	0.22389918	0.65992367	0.11617691	-0.00000000
28	2.247574451895349e-4	2	0.68647976	0.00000031	0.14761092	0.68647976	0.16590901	-0.00000000
29	2.251712078132577e-4	2	0.62812771	0.00000015	0.25484297	0.62812771	0.11702917	-0.00000000
30	2.335538258507128e-4	2	0.64504541	0.00000019	0.18972109	0.64504541	0.16523331	-0.00000000
31	2.356847146353685e-4	2	0.55199359	0.00000053	0.35539608	0.55199359	0.09260979	-0.00000000
32	2.477342562031566e-4	2	0.53832414	0.00000001	0.31595006	0.53832414	0.14572579	-0.00000000
33	2.533290563709714e-4	2	0.65399241	0.00000021	0.14412033	0.65399241	0.20188705	-0.00000000
34	2.647994093897493e-4	2	0.63726714	0.00000019	0.21986804	0.63726714	0.14286463	-0.00000000
35	2.833463957786503e-4	2	0.69216090	0.00000067	0.12648493	0.69216090	0.18135350	-0.00000000
36	2.921912867647850e-4	2	0.46471401	0.00000063	0.39972241	0.46471401	0.13556295	-0.00000000
37	2.974085101085150e-4	2	0.57831349	0.00000006	0.21185026	0.57831349	0.20983619	-0.00000000
38	3.104158733988284e-4	2	0.51931188	0.00000039	0.26804462	0.51931188	0.21264311	-0.00000000
39	3.264585361114349e-4	2	0.65759294	0.00000029	0.19293308	0.65759294	0.14947368	-0.00000000
40	3.329498310264785e-4	2	0.58284911	0.00000079	0.21452868	0.58284911	0.20262142	-0.00000000
41	3.467394867794014e-4	2	0.62754309	0.00000000	0.24580771	0.62754309	0.12664920	-0.00000000
42	3.559082219883367e-4	2	0.68314840	0.00000001	0.19347615	0.68314840	0.12337545	-0.00000000
43	3.773915196327852e-4	2	0.55346390	0.00000007	0.25352945	0.55346390	0.19300658	-0.00000000
44	3.961239956130900e-4	2	0.69570775	0.00000217	0.18733079	0.69570775	0.11695930	-0.00000000
45	4.114658092030256e-4	2	0.56061900	0.00000026	0.07597969	0.56061900	0.36340105	-0.00000000
46	4.224410718961952e-4	2	0.45583124	0.00000064	0.39947237	0.45583124	0.14469575	-0.00000000
47	4.367360288722072e-4	2	0.70125704	0.00000008	0.25686333	0.70125704	0.04187955	-0.00000000
48	4.586227998427009e-4	2	0.62630779	0.00000682	0.23432192	0.62630779	0.13936347	-0.00000000
49	4.735583867559566e-4	2	0.44118604	0.00000152	0.40023303	0.44118604	0.15857941	-0.00000000
50	4.919406842790972e-4	2	0.49394126	0.00000008	0.38255312	0.49394126	0.12350553	-0.00000000
51	5.151867744941252e-4	2	0.62092395	0.00000051	0.29916447	0.62092395	0.07991107	-0.00000000
52	5.339074691753841e-4	2	0.59493913	0.00000167	0.20994704	0.59493913	0.19511217	-0.00000000
53	5.594342858866411e-4	2	0.64922018	0.00000075	0.17569474	0.64922018	0.17508432	-0.00000000
54	5.625434781337844e-4	2	0.47353102	0.00000213	0.42981566	0.47353102	0.09665119	-0.00000000
55	6.150777992231125e-4	2	0.64681846	0.00000006	0.22143946	0.64681846	0.13174202	-0.00000000
56	6.368173629497060e-4	2	0.61792665	0.00000381	0.30854018	0.61792665	0.07352935	-0.00000000
57	6.667940622557970e-4	2	0.59834548	0.00001282	0.30797008	0.59834548	0.09367161	-0.00000000
58	6.865611139620759e-4	2	0.60059014	0.00000774	0.32223102	0.60059014	0.07717110	-0.00000000
59	7.000486044004049e-4	2	0.66425820	0.00001973	0.23410711	0.66425820	0.10161495	-0.00000000
60	7.188498254049194e-4	2	0.50122958	0.00000077	0.40571501	0.50122958	0.09305464	-0.00000000
61	7.701287939259380e-4	2	0.52473044	0.00000242	0.18850697	0.52473044	0.28676017	-0.00000000
62	8.187141579855445e-4	2	0.70678604	0.00000103	0.20357153	0.70678604	0.08964140	-0.00000000
63	8.605776145108663e-4	2	0.60847378	0.00000056	0.28759779	0.60847378	0.10392787	-0.00000000
64	9.240809757876213e-4	2	0.68555130	0.00000032	0.23933475	0.68555130	0.07511363	-0.00000000
65	9.347749416667537e-4	2	0.61741185	0.00001521	0.25192944	0.61741185	0.13064350	-0.00000000
66	1.033407962732706e-3	2	0.61533553	0.00000012	0.26911196	0.61533553	0.11555239	-0.00000000
67	1.099711760402389e-3	2	0.64560321	0.00000164	0.28153934	0.64560321	0.07285581	-0.00000000
68	1.147905385973696e-3	2	0.63479279	0.00000074	0.30711996	0.63479279	0.05808652	-0.00000000
69	1.197263887969843e-3	2	0.63301810	0.00000071	0.29956343	0.63301810	0.06741775	-0.00000000
70	1.224693034715615e-3	1	0.50328239	0.00000005	0.50328239	0.36815323	0.12856433	-0.00000000
71	1.343313901863925e-3	2	0.48959517	0.00004363	0.45323967	0.48959517	0.05712153	-0.00000000
72	1.410985626849679e-3	2	0.51324178	0.00000004	0.35071628	0.51324178	0.13604189	-0.00000000
73	1.488668268145303e-3	2	0.56728230	0.00000185	0.32220931	0.56728230	0.11050654	-0.00000000
74	1.532488617156621e-3	2	0.54509013	0.00004115	0.33353881	0.54509013	0.12132990	-0.00000000
75	1.594210169455572e-3	2	0.55390181	0.00000191	0.37587329	0.55390181	0.07022299	-0.00000000
76	1.665636263358068e-3	2	0.58636279	0.00019966	0.33626176	0.58636279	0.07717579	-0.00000000
77	1.738114505477314e-3	2	0.67150406	0.00001490	0.23631121	0.67150406	0.09216983	-0.00000000
78	1.852830389928742e-3	2	0.51134406	0.00002904	0.44133902	0.51134406	0.04728788	-0.00000000
79	1.955449844236836e-3	2	0.55220878	0.00010816	0.37797699	0.55220878	0.06970607	-0.00000000
80	2.036182678111323e-3	2	0.47640935	0.00001749	0.44821896	0.47640935	0.07535420	-0.00000000
81	2.148908876441597e-3	2	0.56775013	0.00005456	0.29126896	0.56775013	0.14092635	-0.00000000
82	2.323075895694654e-3	2	0.52114970	0.00000036	0.34345815	0.52114970	0.13539180	-0.00000000
83	2.434298296127517e-3	2	0.61081944	0.00011513	0.34070386	0.61081944	0.04836157	-0.00000000
84	2.513945786558438e-3	2	0.64077117	0.00001032	0.31255210	0.64077117	0.04666641	-0.00000000
85	2.695287828301548e-3	1	0.47785481	0.00000996	0.47785481	0.47319256	0.04894267	-0.00000000
86	2.879949352426971e-3	2	0.70639941	0.00007415	0.23929277	0.70639941	0.05423366	-0.00000000
87	3.083823908139377e-3	2	0.72562348	0.00005914	0.21145690	0.72562348	0.06286048	-0.00000000
88	3.396832864331117e-3	2	0.53230922	0.00005293	0.30874061	0.53230922	0.15889725	-0.00000000
89	3.611849536725062e-3	2	0.49938650	0.00010601	0.44731361	0.49938650	0.05319388	-0.00000000
90	4.131453058289158e-3	2	0.63915578	0.00006110	0.28139584	0.63915578	0.07938728	-0.00000000
91	4.782369551512174e-3	2	0.61773717	0.00005123	0.33593554	0.61773717	0.04627606	-0.00000000
92	5.708718421168244e-3	2	0.54845884	0.00039683	0.40104380	0.54845884	0.05010053	-0.00000000
93	5.843336937147565e-3	2	0.53497684	0.00030826	0.40508673	0.53497684	0.05962816	-0.00000000
94	6.413154206474742e-3	2	0.49090149	0.00000465	0.44704832	0.49090149	0.06204554	-0.00000000
95	6.795619666622854e-3	2	0.48586303	0.00019723	0.47134449	0.48586303	0.04259526	-0.00000000
96	7.540876650357903e-3	2	0.49183265	0.00089990	0.45047900	0.49183265	0.05678846	-0.00000000
97	8.798667435211831e-3	2	0.59955238	0.00003692	0.36533548	0.59955238	0.03507522	-0.00000000
98	9.900461605752503e-3	2	0.61781579	0.00000913	0.33077779	0.61781579	0.05139729	-0.00000000
99	1.071874239318336e-2	1	0.56374876	0.00020505	0.56374876	0.39068372	0.04536247	-0.00000000
100	1.292827122192306e-2	2	0.50670804	0.00017792	0.45518259	0.50670804	0.03793144	-0.00000000
