k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	2.023874765313094e-6	2	0.56148178	0.00000000	0.25576237	0.56148178	0.18053403	0.00222182
1	2.039143774231697e-6	2	0.49702268	0.00000000	0.33643769	0.49702268	0.16404359	0.00249604
2	2.091207677182207e-6	1	0.45413570	0.00000000	0.45413570	0.38894967	0.15308019	0.00383444
3	2.112842487717753e-6	1	0.57037164	0.00000000	0.57037164	0.23073499	0.19546318	0.00343019
4	2.134800154800542e-6	2	0.60139726	0.00000000	0.20312986	0.60139726	0.19290873	0.00256416
5	2.155816983834111e-6	2	0.54491846	0.00000000	0.19517756	0.54491846	0.25550294	0.00440104
6	2.186250210450437e-6	2	0.48333716	0.00000000	0.35231111	0.48333716	0.14643523	0.01791650
7	2.199080260902837e-6	2	0.51333834	0.00000000	0.32116357	0.51333834	0.14366708	0.02183100
8	2.205996495478479e-6	2	0.45386382	0.00000000	0.18848818	0.45386382	0.35388354	0.00376447
9	2.239011083260295e-6	2	0.48193724	0.00000000	0.21330865	0.48193724	0.28291146	0.02184265
10	2.246242641575881e-6	2	0.69183232	0.00000000	0.11253831	0.69183232	0.17539567	0.02023371
11	2.268936202430733e-6	2	0.64953521	0.00000000	0.11168573	0.64953521	0.20993949	0.02883956
12	2.285903523203100e-6	2	0.54743581	0.00000000	0.15580944	0.54743581	0.28080524	0.01594952
13	2.290361812436062e-6	2	0.54226906	0.00000000	0.18559965	0.54226906	0.26694343	0.00518786
14	2.317539908925575e-6	2	0.54665370	0.00000000	0.12772125	0.54665370	0.31582845	0.00979660
15	2.333841011466794e-6	2	0.51660671	0.00000000	0.13785730	0.51660671	0.33862679	0.00690920
16	2.340391325415842e-6	2	0.49144247	0.00000000	0.15464611	0.49144247	0.34696137	0.00695004
17	2.351379912919085e-6	2	0.60623915	0.00000000	0.10267596	0.60623915	0.26930320	0.02178169
18	2.371492173644960e-6	2	0.45896048	0.00000000	0.28792864	0.45896048	0.24735476	0.00575613
19	2.378554271778454e-6	2	0.49834191	0.00000000	0.15302615	0.49834191	0.32872711	0.01990483
20	2.392256994545651e-6	2	0.52101937	0.00000000	0.28306748	0.52101937	0.17540849	0.02050467
21	2.401081988568855e-6	2	0.44207076	0.00000000	0.16176997	0.44207076	0.37164756	0.02451172
22	2.416656410024892e-6	2	0.48848684	0.00000000	0.25562144	0.48848684	0.22257459	0.03331713
23	2.423888930994016e-6	2	0.57950064	0.00000000	0.18913566	0.57950064	0.20217341	0.02919029
24	2.437079268934092e-6	3	0.44492031	0.00000000	0.20900501	0.34038716	0.44492031	0.00568752
25	2.441361472895514e-6	2	0.40233861	0.00000000	0.31978047	0.40233861	0.26673352	0.01114740
26	2.472830078322098e-6	2	0.57563386	0.00000000	0.18759864	0.57563386	0.22174566	0.01502184
