omega	count	median	mean	std	energy_center	purity
1	8	3.919443318421183e-2	2.077497978716294e-1	4.480226779359417e-1	1.271579366981873e-2	0.58086405
2	1245	9.629380657443126e-6	4.948632979187640e-3	1.377969224776863e-1	5.404472857955748e-3	0.49982398
3	6	3.978457024497243e-6	3.205526640274385e-6	1.502760723123243e-6	2.889097878876980e-3	0.42694030
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
