omega	count	median	mean	std	energy_center	purity
1	9	2.419945796629845e-2	2.135438209497697e-1	5.313588140543384e-1	1.800127172813872e-1	0.79507115
2	1	3.030279220965549e-2	3.030279220965549e-2	0.000000000000000e0	1.330137207353152e-1	0.52398942
3	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
