omega	count	median	mean	std	energy_center	purity
1	16	2.739122425024760e-2	3.157076964289306e-1	9.583017448135969e-1	3.912485517003801e-2	0.54442870
2	220	1.987073329780199e-4	2.714686406718608e-3	1.479055805180520e-2	1.787205927722308e-2	0.57063445
3	2	3.577203306123564e-5	3.113650508757307e-5	4.635527973662569e-6	1.052449593248161e-2	0.46169210
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
