k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	3.630475595891206e-7	2	0.72135350	0.00000000	0.10332232	0.72135350	0.16273768	0.01258649
1	3.663623816961233e-7	2	0.63114628	0.00000000	0.16911715	0.63114628	0.17146337	0.02827320
2	3.685341090627865e-7	2	0.48672537	0.00000000	0.29429864	0.48672537	0.19103534	0.02794065
3	3.714290327454657e-7	2	0.53297837	0.00000000	0.27759086	0.53297837	0.16826831	0.02116246
4	3.733775942013718e-7	2	0.57434878	0.00000000	0.23528102	0.57434878	0.17257924	0.01779096
5	3.764328922893582e-7	2	0.56296545	0.00000000	0.22501438	0.56296545	0.20485765	0.00716252
6	3.778261036684226e-7	2	0.45401776	0.00000000	0.30088581	0.45401776	0.23420115	0.01089527
7	3.786366122769943e-7	2	0.45130336	0.00000000	0.31771315	0.45130336	0.21487818	0.01610531
8	3.803103577091543e-7	2	0.54459370	0.00000000	0.24414113	0.54459370	0.19350412	0.01776105
9	3.817201934785339e-7	2	0.46366274	0.00000000	0.31482400	0.46366274	0.18995614	0.03155713
10	3.820207561641462e-7	2	0.51142129	0.00000000	0.26342415	0.51142129	0.20506602	0.02008854
11	3.841027642492106e-7	2	0.49785124	0.00000000	0.28694092	0.49785124	0.19103873	0.02416911
12	3.847870855224577e-7	2	0.50203345	0.00000000	0.25347782	0.50203345	0.22959797	0.01489076
13	3.863706132151195e-7	2	0.44744690	0.00000000	0.31145843	0.44744690	0.21912567	0.02196901
14	3.878129195548378e-7	2	0.47255772	0.00000000	0.27190681	0.47255772	0.24299780	0.01253767
15	3.887711163985776e-7	2	0.48069447	0.00000000	0.24114686	0.48069447	0.26638952	0.01176916
16	3.896520758316586e-7	2	0.42307709	0.00000000	0.29814491	0.42307709	0.24613278	0.03264521
17	3.914476585577087e-7	2	0.43609005	0.00000000	0.35548397	0.43609005	0.19650245	0.01192353
18	3.921306232110441e-7	2	0.49439378	0.00000000	0.38084328	0.49439378	0.09065284	0.03411010
19	3.927021094815368e-7	2	0.52429842	0.00000000	0.25913313	0.52429842	0.20245724	0.01411121
20	3.932961148494912e-7	2	0.55671665	0.00000000	0.21659289	0.55671665	0.21071495	0.01597551
21	3.946190244757907e-7	2	0.51661838	0.00000000	0.23746677	0.51661838	0.21319540	0.03271945
22	3.952266322824407e-7	2	0.47863184	0.00000000	0.26268508	0.47863184	0.25149837	0.00718470
23	3.974993581898342e-7	2	0.52998324	0.00000000	0.26681416	0.52998324	0.18502350	0.01817909
24	3.990752994781518e-7	2	0.49041084	0.00000000	0.25963256	0.49041084	0.23595686	0.01399974
25	3.993620835368283e-7	2	0.55797082	0.00000000	0.22954677	0.55797082	0.18802140	0.02446101
26	4.014863330296011e-7	2	0.49004257	0.00000000	0.25085563	0.49004257	0.24891825	0.01018355
27	4.017593942706156e-7	2	0.50799321	0.00000000	0.26759391	0.50799321	0.20848030	0.01593258
28	4.032052149232728e-7	2	0.39929865	0.00000000	0.30839074	0.39929865	0.28687935	0.00543126
29	4.041128757343958e-7	2	0.51378220	0.00000000	0.25524127	0.51378220	0.21019141	0.02078513
30	4.054921528965768e-7	2	0.50769367	0.00000000	0.22021712	0.50769367	0.25358133	0.01850789
31	4.062729970575944e-7	2	0.50839989	0.00000000	0.25329424	0.50839989	0.22531911	0.01298677
32	4.075578713477763e-7	2	0.47232248	0.00000000	0.25884467	0.47232248	0.24814845	0.02068440
33	4.078852700711844e-7	2	0.48911458	0.00000000	0.26826258	0.48911458	0.22961600	0.01300683
34	4.091726876289006e-7	2	0.51157991	0.00000000	0.25449509	0.51157991	0.21563501	0.01828999
35	4.094323867689111e-7	2	0.52908101	0.00000000	0.23100605	0.52908101	0.22335447	0.01655847
36	4.108638405642636e-7	2	0.55442803	0.00000000	0.21660980	0.55442803	0.20883676	0.02012542
37	4.116881375861416e-7	2	0.54710730	0.00000000	0.25478374	0.54710730	0.18299387	0.01511509
38	4.125123169973500e-7	2	0.47075029	0.00000000	0.27876994	0.47075029	0.24032424	0.01015553
39	4.132669964181744e-7	2	0.42387102	0.00000000	0.30264743	0.42387102	0.24289429	0.03058725
40	4.153566013274753e-7	2	0.50029736	0.00000000	0.22260464	0.50029736	0.26087994	0.01621806
41	4.171276002816429e-7	2	0.47978992	0.00000000	0.29062526	0.47978992	0.21588126	0.01370355
42	4.175210560697068e-7	2	0.49523090	0.00000000	0.25862479	0.49523090	0.23344300	0.01270131
43	4.182056168106910e-7	2	0.48344184	0.00000000	0.27143291	0.48344184	0.22270163	0.02242362
44	4.186933375647441e-7	2	0.47368531	0.00000000	0.28583428	0.47368531	0.22700802	0.01347240
45	4.203257424438434e-7	2	0.55926241	0.00000000	0.21527028	0.55926241	0.21149371	0.01397360
46	4.206973068482710e-7	2	0.52302792	0.00000000	0.23979480	0.52302792	0.22218743	0.01498985
47	4.219178332041339e-7	2	0.54572012	0.00000000	0.21202587	0.54572012	0.22754112	0.01471290
48	4.226427116498979e-7	2	0.55588947	0.00000000	0.19869874	0.55588947	0.22304406	0.02236773
49	4.239714380752410e-7	2	0.51573458	0.00000000	0.22977210	0.51573458	0.22725097	0.02724235
50	4.246058137338963e-7	2	0.50384662	0.00000000	0.25755448	0.50384662	0.21777175	0.02082715
51	4.252987460407653e-7	2	0.48285134	0.00000000	0.23081922	0.48285134	0.26846696	0.01786249
52	4.272860606457503e-7	2	0.48692353	0.00000000	0.27371338	0.48692353	0.22138953	0.01797355
53	4.277515113805520e-7	2	0.43291562	0.00000000	0.26298867	0.43291562	0.29238674	0.01170896
54	4.286024416023680e-7	2	0.55134180	0.00000000	0.22026266	0.55134180	0.21142469	0.01697084
55	4.293703729411744e-7	2	0.47541187	0.00000000	0.25012866	0.47541187	0.25054218	0.02391730
56	4.299263566969530e-7	2	0.57704360	0.00000000	0.13734711	0.57704360	0.25540849	0.03020080
57	4.302487857333071e-7	2	0.48620770	0.00000000	0.26657371	0.48620770	0.22158804	0.02563056
58	4.312774625024993e-7	2	0.53075187	0.00000000	0.26395505	0.53075187	0.18756640	0.01772668
59	4.323772696770932e-7	2	0.44401534	0.00000000	0.31008375	0.44401534	0.21632227	0.02957865
60	4.337796319775004e-7	2	0.54828812	0.00000000	0.23230781	0.54828812	0.20632949	0.01307458
61	4.356091065803082e-7	2	0.55275832	0.00000000	0.22989586	0.55275832	0.20031513	0.01703070
62	4.357677013552023e-7	2	0.51644381	0.00000000	0.23322213	0.51644381	0.23518035	0.01515371
63	4.367111129429721e-7	2	0.45339131	0.00000000	0.28934156	0.45339131	0.24095437	0.01631276
64	4.376355587246941e-7	2	0.52118942	0.00000000	0.21042028	0.52118942	0.25802405	0.01036624
65	4.382093579555913e-7	2	0.52828881	0.00000000	0.24050691	0.52828881	0.21827821	0.01292607
66	4.391710279305789e-7	2	0.50174365	0.00000000	0.25916946	0.50174365	0.22483837	0.01424852
67	4.403593382408570e-7	2	0.49095365	0.00000000	0.25148926	0.49095365	0.23930993	0.01824716
68	4.412605470989693e-7	2	0.56649158	0.00000000	0.19413699	0.56649158	0.22502103	0.01435040
