omega	count	median	mean	std	energy_center	purity
1	9	3.661864793440058e-2	2.167341408931401e-1	5.078261524464019e-1	7.586361749473368e-3	0.54773367
2	2324	3.005190637185788e-6	2.902510284600411e-3	1.074675719868444e-1	3.210805139027027e-3	0.47230693
3	186	1.061953175132487e-6	1.084507184722003e-6	1.886742064463202e-7	1.662165184285369e-3	0.42554377
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
