k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	3.941012201090267e-5	1	0.51675190	0.00000001	0.51675190	0.44040146	0.04284664	-0.00000000
1	4.147161089127477e-5	1	0.55719933	0.00000000	0.55719933	0.33214332	0.11065734	-0.00000000
2	4.250288082079721e-5	2	0.63333334	0.00000001	0.26196828	0.63333334	0.10469837	-0.00000000
3	4.404889537369438e-5	2	0.80410710	0.00000000	0.05792163	0.80410710	0.13797127	-0.00000000
4	4.527426390427535e-5	2	0.68671226	0.00000001	0.24476616	0.68671226	0.06852158	-0.00000000
5	4.590150856497970e-5	2	0.58993971	0.00000002	0.27053622	0.58993971	0.13952405	-0.00000000
6	4.677975565465244e-5	3	0.37083484	0.00000007	0.36746366	0.26170143	0.37083484	-0.00000000
7	4.833705721813081e-5	2	0.63213796	0.00000000	0.26154816	0.63213796	0.10631388	-0.00000000
8	4.898693950422159e-5	3	0.46594261	0.00000002	0.14254467	0.39151270	0.46594261	-0.00000000
9	5.019571535662566e-5	2	0.55940562	0.00000000	0.40144803	0.55940562	0.03914635	-0.00000000
10	5.145289375253213e-5	2	0.50274498	0.00000000	0.41343334	0.50274498	0.08382168	-0.00000000
11	5.188753513743864e-5	2	0.76770728	0.00000002	0.20194491	0.76770728	0.03034779	-0.00000000
12	5.336491703903403e-5	1	0.47761689	0.00000002	0.47761689	0.42516475	0.09721834	-0.00000000
13	5.465343718222880e-5	2	0.50453150	0.00000004	0.37281012	0.50453150	0.12265834	-0.00000000
14	5.582576880326714e-5	2	0.63651236	0.00000002	0.13422483	0.63651236	0.22926278	-0.00000000
15	5.708282707913638e-5	2	0.67238762	0.00000000	0.26819911	0.67238762	0.05941327	-0.00000000
16	5.842610701641538e-5	1	0.49799702	0.00000001	0.49799702	0.34471825	0.15728472	-0.00000000
17	6.009208048459561e-5	1	0.49005565	0.00000015	0.49005565	0.46050904	0.04943516	-0.00000000
18	6.127969173538797e-5	2	0.83715709	0.00000003	0.14430336	0.83715709	0.01853952	-0.00000000
19	6.270732840953116e-5	2	0.85493290	0.00000000	0.10893549	0.85493290	0.03613161	-0.00000000
20	6.511524219792238e-5	2	0.46553906	0.00000003	0.39465815	0.46553906	0.13980275	-0.00000000
21	6.604457180365810e-5	2	0.62049883	0.00000001	0.14911257	0.62049883	0.23038859	-0.00000000
22	6.729316597116478e-5	1	0.52601398	0.00000010	0.52601398	0.27068322	0.20330270	-0.00000000
23	6.955757616057027e-5	2	0.62354473	0.00000000	0.20843205	0.62354473	0.16802322	-0.00000000
24	7.069347735080878e-5	2	0.71873946	0.00000003	0.16526699	0.71873946	0.11599351	-0.00000000
25	7.274675556186452e-5	1	0.49884431	0.00000000	0.49884431	0.35089114	0.15026455	-0.00000000
26	7.471941491626381e-5	2	0.56689535	0.00000000	0.23662257	0.56689535	0.19648208	-0.00000000
27	7.494926401352808e-5	2	0.49767843	0.00000001	0.23450551	0.49767843	0.26781605	-0.00000000
28	7.728920531948282e-5	2	0.50893738	0.00000003	0.34437656	0.50893738	0.14668603	-0.00000000
29	7.898710180447371e-5	2	0.63883169	0.00000003	0.19635385	0.63883169	0.16481444	-0.00000000
30	8.174194570390169e-5	2	0.57514341	0.00000008	0.27319885	0.57514341	0.15165766	-0.00000000
31	8.256480616877433e-5	2	0.39477211	0.00000000	0.39088926	0.39477211	0.21433863	-0.00000000
32	8.421462641641810e-5	2	0.73926788	0.00000000	0.10677189	0.73926788	0.15396023	-0.00000000
33	8.678655414619121e-5	2	0.44725476	0.00000019	0.34080179	0.44725476	0.21194325	-0.00000000
34	8.758203564726673e-5	2	0.56111346	0.00000005	0.32601551	0.56111346	0.11287098	-0.00000000
35	9.033146330936716e-5	2	0.45463370	0.00000000	0.34243644	0.45463370	0.20292986	-0.00000000
36	9.086201794606708e-5	2	0.55728771	0.00000000	0.29414241	0.55728771	0.14856988	-0.00000000
37	9.477243224286252e-5	2	0.68710425	0.00000007	0.16488698	0.68710425	0.14800870	-0.00000000
38	9.577936000850766e-5	2	0.62482269	0.00000000	0.22147994	0.62482269	0.15369737	-0.00000000
39	9.822049508822642e-5	2	0.62119159	0.00000000	0.18301596	0.62119159	0.19579245	-0.00000000
40	1.003592469524390e-4	2	0.42845413	0.00000000	0.17655782	0.42845413	0.39498805	-0.00000000
41	1.008730142659174e-4	2	0.52537743	0.00000012	0.33441385	0.52537743	0.14020860	-0.00000000
42	1.058603472502880e-4	2	0.54059892	0.00000003	0.25375421	0.54059892	0.20564685	-0.00000000
43	1.060476427913147e-4	2	0.59278314	0.00000000	0.24552323	0.59278314	0.16169362	-0.00000000
44	1.097079484275254e-4	2	0.46809210	0.00000004	0.35765924	0.46809210	0.17424862	-0.00000000
45	1.118451258993437e-4	2	0.51332540	0.00000000	0.35458062	0.51332540	0.13209397	-0.00000000
46	1.138062123596360e-4	2	0.61988963	0.00000007	0.18853909	0.61988963	0.19157120	-0.00000000
47	1.162700397828136e-4	2	0.62160099	0.00000000	0.17877911	0.62160099	0.19961990	-0.00000000
48	1.185418096797212e-4	2	0.52187334	0.00000010	0.18795457	0.52187334	0.29017199	-0.00000000
49	1.219378407948435e-4	2	0.49476044	0.00000000	0.18489839	0.49476044	0.32034116	-0.00000000
50	1.271396228483281e-4	2	0.56741050	0.00000001	0.20388024	0.56741050	0.22870925	-0.00000000
51	1.286905276454643e-4	2	0.56470942	0.00000004	0.21332680	0.56470942	0.22196374	-0.00000000
52	1.309071114229277e-4	2	0.60449780	0.00000003	0.15532361	0.60449780	0.24017856	-0.00000000
53	1.325291000731852e-4	2	0.46311222	0.00000022	0.22165387	0.46311222	0.31523370	-0.00000000
54	1.352035818054107e-4	2	0.56059400	0.00000002	0.17560137	0.56059400	0.26380461	-0.00000000
55	1.366620109472693e-4	2	0.75755492	0.00000021	0.14643794	0.75755492	0.09600693	-0.00000000
56	1.426953201120502e-4	1	0.36297562	0.00000001	0.36297562	0.32725426	0.30977012	-0.00000000
57	1.462006156096188e-4	2	0.63784734	0.00000007	0.17415176	0.63784734	0.18800083	-0.00000000
58	1.478228500604791e-4	2	0.62297194	0.00000002	0.19496580	0.62297194	0.18206224	-0.00000000
59	1.521783587635242e-4	2	0.61175857	0.00000003	0.11961113	0.61175857	0.26863027	-0.00000000
60	1.576170664490000e-4	2	0.62608464	0.00000000	0.18816123	0.62608464	0.18575413	-0.00000000
61	1.609474564972476e-4	2	0.63293666	0.00000036	0.14949702	0.63293666	0.21756597	-0.00000000
62	1.680553112410184e-4	2	0.52064109	0.00000023	0.21567737	0.52064109	0.26368131	-0.00000000
63	1.730975404386922e-4	2	0.51444570	0.00000000	0.21978780	0.51444570	0.26576650	-0.00000000
64	1.746904910878399e-4	2	0.48001647	0.00000046	0.25035376	0.48001647	0.26962932	-0.00000000
65	1.838701489832846e-4	2	0.52719202	0.00000031	0.23178411	0.52719202	0.24102356	-0.00000000
66	1.907969643208350e-4	2	0.62887349	0.00000002	0.18894453	0.62887349	0.18218196	-0.00000000
67	1.936431252470332e-4	2	0.57482046	0.00000004	0.16042387	0.57482046	0.26475563	-0.00000000
68	1.999752087709509e-4	2	0.61663270	0.00000006	0.14789520	0.61663270	0.23547205	-0.00000000
69	2.028498616590154e-4	2	0.49077587	0.00000020	0.25513634	0.49077587	0.25408759	-0.00000000
70	2.105427529118485e-4	2	0.75621003	0.00000054	0.16769416	0.75621003	0.07609526	-0.00000000
71	2.174616927196797e-4	2	0.69858002	0.00000003	0.16541709	0.69858002	0.13600286	-0.00000000
72	2.207791734240749e-4	2	0.62660284	0.00000000	0.20567201	0.62660284	0.16772515	-0.00000000
73	2.261786617934429e-4	2	0.53436331	0.00000013	0.31670950	0.53436331	0.14892706	-0.00000000
74	2.317663730109678e-4	2	0.69609344	0.00000008	0.16206300	0.69609344	0.14184348	-0.00000000
75	2.390683073595386e-4	2	0.58233268	0.00000017	0.29455923	0.58233268	0.12310792	-0.00000000
76	2.463580601989742e-4	2	0.50809303	0.00000006	0.30394653	0.50809303	0.18796037	-0.00000000
77	2.537931242470940e-4	2	0.56261820	0.00000000	0.24328439	0.56261820	0.19409740	-0.00000000
78	2.599949804190849e-4	2	0.56698878	0.00000024	0.30479196	0.56698878	0.12821902	-0.00000000
79	2.636054457500334e-4	2	0.67490518	0.00000012	0.21382633	0.67490518	0.11126837	-0.00000000
80	2.652937256894520e-4	2	0.53897316	0.00000006	0.27516889	0.53897316	0.18585789	-0.00000000
81	2.748539725634552e-4	2	0.58052356	0.00000001	0.26999305	0.58052356	0.14948338	-0.00000000
82	2.842827719140470e-4	2	0.68761653	0.00000065	0.22322398	0.68761653	0.08915885	-0.00000000
83	2.864352729275350e-4	2	0.58101960	0.00000108	0.20215646	0.58101960	0.21682287	-0.00000000
84	2.939371978645101e-4	2	0.61558723	0.00000042	0.23333514	0.61558723	0.15107721	-0.00000000
85	2.976127759871300e-4	2	0.56135366	0.00000025	0.33972463	0.56135366	0.09892146	-0.00000000
86	3.069854455405355e-4	2	0.54037637	0.00000007	0.27005843	0.54037637	0.18956513	-0.00000000
87	3.304289036846110e-4	2	0.60370122	0.00000021	0.29335358	0.60370122	0.10294499	-0.00000000
88	3.344085080629613e-4	2	0.48633784	0.00000001	0.23932534	0.48633784	0.27433681	-0.00000000
89	3.401682905089319e-4	2	0.59404383	0.00000029	0.32327941	0.59404383	0.08267648	-0.00000000
90	3.580190958519360e-4	2	0.49995946	0.00000166	0.22609668	0.49995946	0.27394220	-0.00000000
91	3.714939739537448e-4	2	0.53998221	0.00000002	0.29714013	0.53998221	0.16287764	-0.00000000
92	3.767143657037529e-4	2	0.64867654	0.00000097	0.18187487	0.64867654	0.16944762	-0.00000000
93	3.853026553419676e-4	2	0.58924252	0.00000061	0.30159061	0.58924252	0.10916625	-0.00000000
94	3.948099703557633e-4	2	0.55138254	0.00000143	0.28825489	0.55138254	0.16036114	-0.00000000
95	4.055409590247759e-4	2	0.49753400	0.00000061	0.35397979	0.49753400	0.14848560	-0.00000000
