omega	count	median	mean	std	energy_center	purity
1	25	1.110759591002012e-2	1.513603516669491e-1	5.891114626203738e-1	8.663331702211907e-2	0.57080554
2	33	1.471009143822964e-3	3.622610093329546e-3	5.884832817315026e-3	4.503544050675413e-2	0.64716023
3	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
