omega	count	median	mean	std	energy_center	purity
1	10	3.738956144135549e-2	2.488946834068514e-1	6.421925138222671e-1	2.550817835462504e-3	0.52023946
2	7197	7.154553651067374e-7	1.103662442357154e-3	6.755081049515226e-2	1.088404774884860e-3	0.44036548
3	2792	4.589221405757142e-7	4.859437513212088e-7	1.015360461577558e-7	5.503459517125878e-4	0.43894429
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
