omega	count	median	mean	std	energy_center	purity
1	9	3.631480400983476e-2	1.703503857006049e-1	4.025605957635690e-1	1.499778829059607e-2	0.56431597
2	984	1.485040596107576e-5	6.013063702784336e-3	1.513522921825675e-1	6.419921475778764e-3	0.51036698
3	5	3.005321526951499e-6	3.300523338388116e-6	1.047857002258110e-6	3.466224423856675e-3	0.43097154
4	0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0	0.00000000
