k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	7.003014310236520e-3	1	0.55772753	0.00079546	0.55772753	0.44147700	-0.00000000	-0.00000000
1	7.485318651081599e-3	1	0.93814729	0.00283183	0.93814729	0.05902088	-0.00000000	-0.00000000
2	1.018862145147081e-2	1	0.93401952	0.00053999	0.93401952	0.06544049	-0.00000000	-0.00000000
3	1.543255240143867e-2	1	0.54764139	0.00007714	0.54764139	0.45228147	-0.00000000	-0.00000000
4	2.419945796629845e-2	1	0.89201059	0.00401740	0.89201059	0.10397201	-0.00000000	-0.00000000
5	3.030279220965549e-2	2	0.52398942	0.00166160	0.47434897	0.52398942	-0.00000000	-0.00000000
6	3.561313696673020e-2	1	0.96499741	0.02265530	0.96499741	0.01234729	-0.00000000	-0.00000000
7	4.146268574297152e-2	1	0.83763968	0.09842291	0.83763968	0.06393741	-0.00000000	-0.00000000
8	6.491818815869664e-2	1	0.78061270	0.19949597	0.78061270	0.01989133	-0.00000000	-0.00000000
9	1.342626989484646e-1	0	0.49722837	0.49722837	0.37001070	0.13276093	-0.00000000	-0.00000000
10	1.715591412899003e0	1	0.70284422	0.17227402	0.70284422	0.12488176	-0.00000000	-0.00000000
