k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	5.749696562922742e-7	2	0.53638484	0.00000000	0.24610871	0.53638484	0.21346233	0.00404412
1	5.857725193464496e-7	2	0.56224256	0.00000000	0.24049082	0.56224256	0.19176264	0.00550398
2	5.919475210411100e-7	2	0.53835466	0.00000000	0.25894125	0.53835466	0.19809476	0.00460934
3	5.974502710628176e-7	2	0.42310502	0.00000000	0.33987869	0.42310502	0.23351134	0.00350495
4	6.022497565092428e-7	2	0.44799091	0.00000000	0.32081676	0.44799091	0.22194957	0.00924276
5	6.089693756878944e-7	2	0.43943000	0.00000000	0.33701169	0.43943000	0.20855201	0.01500630
6	6.151122387925549e-7	2	0.50372491	0.00000000	0.26480919	0.50372491	0.22479014	0.00667576
7	6.196483170361483e-7	2	0.49633640	0.00000000	0.29779399	0.49633640	0.19814898	0.00772063
8	6.223633017783329e-7	2	0.51603787	0.00000000	0.29522851	0.51603787	0.17849716	0.01023645
9	6.257087977777013e-7	2	0.40836720	0.00000000	0.36710024	0.40836720	0.20406525	0.02046731
10	6.296609420636178e-7	2	0.41157540	0.00000000	0.37617592	0.41157540	0.18583850	0.02641018
11	6.320725366988580e-7	2	0.51305436	0.00000000	0.24884569	0.51305436	0.22985955	0.00824040
12	6.353558635441805e-7	2	0.58242084	0.00000000	0.22998701	0.58242084	0.17616714	0.01142501
13	6.397842792893686e-7	2	0.52045444	0.00000000	0.29205604	0.52045444	0.17831139	0.00917813
14	6.429937493398699e-7	2	0.56804512	0.00000000	0.21666837	0.56804512	0.20811706	0.00716945
15	6.464246355803140e-7	2	0.44111850	0.00000000	0.29446703	0.44111850	0.24252255	0.02189193
16	6.485382269928058e-7	2	0.40686951	0.00000000	0.31183827	0.40686951	0.26906147	0.01223075
17	6.521434537258471e-7	2	0.58313211	0.00000000	0.24263175	0.58313211	0.15518298	0.01905316
18	6.535458095569070e-7	2	0.41189453	0.00000000	0.26572736	0.41189453	0.30427858	0.01809953
19	6.563149032210478e-7	2	0.48437935	0.00000000	0.27947396	0.48437935	0.22487821	0.01126847
20	6.599001091593992e-7	2	0.52680770	0.00000000	0.28252144	0.52680770	0.17698815	0.01368271
21	6.639047857399846e-7	2	0.53781585	0.00000000	0.27838128	0.53781585	0.16088991	0.02291296
22	6.678565947323020e-7	2	0.53202239	0.00000000	0.26178358	0.53202239	0.19462173	0.01157230
23	6.684608994854789e-7	2	0.56108919	0.00000000	0.23782369	0.56108919	0.18197495	0.01911217
24	6.741180709647110e-7	2	0.44753453	0.00000000	0.31653619	0.44753453	0.22784519	0.00808409
25	6.748278628580851e-7	2	0.36653423	0.00000000	0.32433689	0.36653423	0.30050524	0.00862364
26	6.802217439909480e-7	1	0.36682799	0.00000000	0.36682799	0.35884282	0.26676232	0.00756687
27	6.837363155428805e-7	2	0.49854782	0.00000000	0.29343334	0.49854782	0.19959623	0.00842261
28	6.843438442216704e-7	2	0.57656822	0.00000000	0.22909380	0.57656822	0.18177045	0.01256753
29	6.865489721646879e-7	2	0.46652357	0.00000000	0.26554609	0.46652357	0.25091669	0.01701366
30	6.910020042306508e-7	2	0.40267076	0.00000000	0.30541196	0.40267076	0.28050964	0.01140764
31	6.949077232373910e-7	2	0.49429501	0.00000000	0.25567310	0.49429501	0.23957640	0.01045549
32	6.965202001908110e-7	2	0.36870915	0.00000000	0.31315688	0.36870915	0.30620467	0.01192930
33	6.992042893426912e-7	2	0.42742914	0.00000000	0.30627941	0.42742914	0.25238641	0.01390504
34	7.000160888398551e-7	2	0.46027142	0.00000000	0.24956852	0.46027142	0.27945683	0.01070323
35	7.045991354114571e-7	2	0.45337741	0.00000000	0.26057368	0.45337741	0.27175174	0.01429717
36	7.078691279526191e-7	1	0.38175584	0.00000000	0.38175584	0.34933762	0.25567536	0.01323118
37	7.120732637235194e-7	2	0.39675496	0.00000000	0.33776175	0.39675496	0.25105484	0.01442845
38	7.125643507416131e-7	2	0.44058423	0.00000000	0.31245905	0.44058423	0.22908965	0.01786707
39	7.157336729157931e-7	2	0.42513325	0.00000000	0.30043171	0.42513325	0.25254891	0.02188613
40	7.179712738424354e-7	2	0.45929542	0.00000000	0.23243852	0.45929542	0.28679992	0.02146614
41	7.186409511694620e-7	2	0.44540016	0.00000000	0.29119646	0.44540016	0.25337745	0.01002593
42	7.211878923869633e-7	2	0.44859001	0.00000000	0.35871319	0.44859001	0.18010732	0.01258947
43	7.223733900561050e-7	2	0.47802896	0.00000000	0.26458573	0.47802896	0.23609581	0.02128949
44	7.248415113831356e-7	2	0.46332835	0.00000000	0.28573167	0.46332835	0.23819726	0.01274272
45	7.323167179260589e-7	2	0.50493484	0.00000000	0.24175591	0.50493484	0.23761818	0.01569107
46	7.331218288641555e-7	2	0.38572087	0.00000000	0.31057109	0.38572087	0.28997739	0.01373065
