N	vtGv	vtB1v	vtL1v	btv	d2	ratio	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	is_hcn	is_prime	prime_power	time
3	0.1115386546	0.0639285500	0.0476101046	-0.2168557754	1.5452502053	0.6349356418	1.0000000000	0.1601970643	0.0283565538	0.1885536181	-0.2009286744	0.0000000000	0.0000000000	0.3124673290	-0.2009286744	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1256466603	0.1633445821	0.0856356909	0.7447393152	0.2485387790	true	true	3	0.000
4	0.0534949372	0.0574420547	-0.0039471175	-0.0385620145	1.1306189662	0.5443194294	1.0000000000	0.0744056890	0.0645251864	0.1389308755	-0.3155606345	0.0000000000	0.0000000000	0.3690555717	-0.3155606345	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.5005827811	0.1618891074	0.0015164346	0.0687147686	0.3116135170	true	false	2	0.000
5	0.0508988938	0.0586818285	-0.0077829347	0.0558392720	0.9392203498	0.4973837197	1.0000000000	0.2170494416	0.2835189183	0.5005683599	-0.3641781006	0.0000000000	0.0000000000	0.4150769944	-0.3641781006	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.8369030366	0.2053144867	-0.0211190170	0.1326293826	0.3563951660	false	true	5	0.000
6	0.0656242830	0.0600833501	0.0055409330	0.1568743194	0.7518756443	0.4458858635	1.0000000000	0.2706181925	0.5239749270	0.7945931195	-0.3864784980	0.0000000000	0.0000000000	0.4521027810	-0.3864784980	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-1.0615633507	0.2570656625	-0.0217275036	0.0922207725	0.3920194309	true	false		0.000
7	0.0783396999	0.0599783709	0.0183613290	0.1982888297	0.6817620406	0.4251918059	1.0000000000	0.2939075387	0.5369718395	0.8308793782	-0.3712993979	-0.0208251102	-0.0139248146	0.4843890227	-0.3712993979	-0.0208251102	-0.0139248146	0.0000000000	0.0000000000	0.0000000000	-0.8960539737	0.2696058351	-0.0069903145	0.3061325057	0.3896607269	false	true	7	0.000
8	0.0981284065	0.0606053199	0.0375230866	0.2509299669	0.5962684728	0.3980058248	1.0000000000	0.3229737172	0.5685674317	0.8915411489	-0.3513211131	-0.0376611301	-0.0263430594	0.5134537091	-0.3513211131	-0.0376611301	-0.0263430594	0.0000000000	0.0000000000	0.0000000000	-0.7300918843	0.2938960540	0.0137103693	0.6191384961	0.3888441997	false	false	2	0.000
9	0.1177984371	0.0622830144	0.0555154227	0.2920518470	0.5336947432	0.3769306699	1.0000000000	0.4786848782	0.9801001383	1.4587850165	-0.3330084258	-0.0515814207	-0.0372479588	0.5396362424	-0.3330084258	-0.0515814207	-0.0372479588	0.0000000000	0.0000000000	0.0000000000	-0.5862736934	0.3203619099	0.0336628010	0.8913412952	0.3885238485	false	false	3	0.000
10	0.1363862956	0.0643992156	0.0719870800	0.3252718092	0.4858426772	0.3600284410	1.0000000000	0.5318224648	1.0313041466	1.5631266114	-0.3164813374	-0.0633190001	-0.0468286252	0.5630152583	-0.3164813374	-0.0633190001	-0.0468286252	0.0000000000	0.0000000000	0.0000000000	-0.4610134320	0.3465401918	0.0522033668	1.1178254162	0.3884684174	false	false		0.000
11	0.1470239211	0.0654060094	0.0816179118	0.3419754140	0.4630730932	0.3518661027	1.0000000000	0.5352158065	1.4907266494	2.0259424559	-0.2990230841	-0.0792330144	-0.0552925603	0.5840867401	-0.2990230841	-0.0792330144	-0.0552925603	0.0000000000	-0.0035141602	0.0000000000	-0.2654578995	0.3560772003	0.0661336361	1.2478656402	0.3806409959	false	true	11	0.000
12	0.1619204642	0.0665563015	0.0953641627	0.3650847333	0.4317509976	0.3400067853	1.0000000000	0.5421206308	1.5045665647	2.0466871955	-0.2790159878	-0.0926874255	-0.0628223526	0.6033968411	-0.2790159878	-0.0926874255	-0.0628223526	0.0000000000	-0.0069506110	0.0000000000	-0.0651392263	0.3718194464	0.0834706203	1.4328344672	0.3743801506	true	false		0.000
13	0.1756777554	0.0680205469	0.1076572085	0.3849586882	0.4057603790	0.3298643288	1.0000000000	0.7001926500	2.1248459230	2.8250385730	-0.2614599380	-0.1042523368	-0.0695690102	0.6212048779	-0.2614599380	-0.1042523368	-0.0695690102	0.0000000000	-0.0102458375	0.0000000000	0.1082413434	0.3877194814	0.0990635437	1.5827160089	0.3691171465	false	true	13	0.000
14	0.1928915915	0.0695846220	0.1233069695	0.4087380924	0.3754154067	0.3174696373	1.0000000000	0.7070175493	2.7528212821	3.4598388315	-0.2414561367	-0.1143299257	-0.0756550815	0.6377077045	-0.2414561367	-0.1143299257	-0.0756550815	0.0000000000	-0.0133749692	0.0000000000	0.2940711739	0.4079410217	0.1176735823	1.7720433896	0.3647631062	false	false		0.000
15	0.2048214071	0.0706623876	0.1341590195	0.4241344643	0.3565524785	0.3095796296	1.0000000000	0.7109685350	2.7558415812	3.4668101163	-0.2240976556	-0.1252676292	-0.0811797172	0.6531343916	-0.2240976556	-0.1252676292	-0.0811797172	0.0000000000	-0.0163323620	-0.0014356205	0.4804973068	0.4201423442	0.1318729679	1.8985916574	0.3582566751	false	false		0.000
16	0.2120592481	0.0713815733	0.1406776748	0.4329846709	0.3460899063	0.3051856701	1.0000000000	0.7124581753	2.7624130414	3.4748712166	-0.2097683993	-0.1347637206	-0.0877220666	0.6676524975	-0.2097683993	-0.1347637206	-0.0877220666	0.0000000000	-0.0204638949	-0.0028751680	0.6564809178	0.4260126928	0.1416011942	1.9707841720	0.3504460741	false	false	2	0.000
17	0.2187427951	0.0723562384	0.1463865567	0.4409308962	0.3368810028	0.3012874442	1.0000000000	0.7137956601	3.3008252265	4.0146208866	-0.1972748298	-0.1430950812	-0.0936622864	0.6813545244	-0.1972748298	-0.1430950812	-0.0936622864	0.0000000000	-0.0242824027	-0.0042971292	0.8078335230	0.4326237834	0.1502485474	2.0231366362	0.3436613865	false	true	17	0.000
18	0.2278824687	0.0734708967	0.1544115721	0.4519050791	0.3240723106	0.2956352068	1.0000000000	0.7165959346	3.8436064706	4.5602024052	-0.1833620980	-0.1504712939	-0.0990885276	0.6943177067	-0.1833620980	-0.1504712939	-0.0990885276	0.0000000000	-0.0278246792	-0.0056886393	0.9665699324	0.4426669912	0.1609408700	2.1016698998	0.3377736701	false	false		0.000
19	0.2364427825	0.0747653621	0.1616774204	0.4618936371	0.3126555083	0.2905145989	1.0000000000	0.7191447079	4.4664433290	5.1855880369	-0.1708802577	-0.1570539832	-0.1040719070	0.7066133306	-0.1708802577	-0.1570539832	-0.1040719070	0.0000000000	-0.0311221328	-0.0070422673	1.1063088699	0.4528750644	0.1707284215	2.1624642196	0.3325576781	false	true	19	0.000
20	0.2469992734	0.0761582304	0.1708410430	0.4740708760	0.2988575213	0.2841233806	1.0000000000	0.7227492086	5.0918197696	5.8145689782	-0.1571061514	-0.1629698414	-0.1086705006	0.7183014407	-0.1571061514	-0.1629698414	-0.1086705006	0.0000000000	-0.0342016367	-0.0083540372	1.2561366317	0.4656479244	0.1822519111	2.2432380858	0.3279471944	false	false		0.000
21	0.2570216057	0.0776816292	0.1793399765	0.4852730908	0.2864754242	0.2782790437	1.0000000000	0.8643800724	5.8738345274	6.7382145998	-0.1444549077	-0.1683196220	-0.1129322543	0.7294368380	-0.1444549077	-0.1683196220	-0.1129322543	0.0000000000	-0.0370862642	-0.0096221841	1.3914091267	0.4783240543	0.1930309601	2.3086536465	0.3237948842	false	false		0.000
22	0.2642874022	0.0789788671	0.1853085351	0.4931398448	0.2780077126	0.2742449863	1.0000000000	0.8648837514	6.6594554943	7.5243392457	-0.1339941385	-0.1731844866	-0.1173801920	0.7400662343	-0.1339941385	-0.1731844866	-0.1173801920	0.0000000000	-0.0397959084	-0.0114241066	1.5084163079	0.4875444372	0.2011207809	2.3463053066	0.3193026736	false	false		0.000
23	0.2690906221	0.0800735794	0.1890170427	0.4981744178	0.2727417865	0.2717495841	1.0176625531	0.8646006377	6.6565486234	7.6539919593	-0.1259013828	-0.1778473821	-0.1214773578	0.7502432700	-0.1259013828	-0.1778473821	-0.1214773578	0.0000000000	-0.0423477961	-0.0135787290	1.5967914012	0.4941126849	0.2067057388	2.3605419432	0.3149184255	false	true	23	0.000
24	0.2755030604	0.0812628159	0.1942402445	0.5049345176	0.2656340252	0.2682817068	1.0442094657	0.8650908507	6.6533109012	7.8507862766	-0.1167833658	-0.1820437495	-0.1252670102	0.7600127351	-0.1167833658	-0.1820437495	-0.1252670102	0.0000000000	-0.0447569118	-0.0156586373	1.6945173510	0.5027866741	0.2136861891	2.3902721358	0.3110236103	true	false		0.000
25	0.2815924910	0.0825632059	0.1990292852	0.5112506529	0.2590911852	0.2650552750	1.0690129297	0.8655488694	7.2458126254	8.6711503154	-0.1084866503	-0.1858374508	-0.1287853734	0.7694042978	-0.1084866503	-0.1858374508	-0.1287853734	0.0000000000	-0.0470363477	-0.0176659845	1.7796181553	0.5115365068	0.2201665443	2.4106293244	0.3075159354	false	false	5	0.000
26	0.2873853716	0.0839478531	0.2034375185	0.5171699480	0.2530454756	0.2620440407	1.0922580021	0.8659781110	7.2716330012	8.8883708554	-0.1009063110	-0.1892813642	-0.1320630307	0.7784370336	-0.1009063110	-0.1892813642	-0.1320630307	0.0000000000	-0.0491975921	-0.0196033639	1.8539290710	0.5203026377	0.2262032101	2.4233796450	0.3043438295	false	false		0.000
27	0.2913585971	0.0851584929	0.2062001042	0.5211116832	0.2491352307	0.2601183010	1.1141033821	0.8658538934	7.8990039497	9.7649577666	-0.0952642227	-0.1923761226	-0.1351259966	0.7871359688	-0.0952642227	-0.1923761226	-0.1351259966	0.0000000000	-0.0512507677	-0.0217602621	1.8982761071	0.5272687500	0.2302944145	2.4213686411	0.3014643269	false	false	3	0.000
28	0.2951434191	0.0864335142	0.2087099049	0.5248255750	0.2454922691	0.2583180578	1.1346860375	0.8657368559	8.5040783099	10.6317984425	-0.0901869506	-0.1951346986	-0.1379965515	0.7955241645	-0.0901869506	-0.1951346986	-0.1379965515	0.0000000000	-0.0532048302	-0.0238577145	1.9335724807	0.5343314513	0.2340550359	2.4146872513	0.2988968555	false	false		0.000
29	0.2987546690	0.0877573763	0.2109972927	0.5283330793	0.2420885104	0.2566307915	1.1541248787	0.9512296906	8.7666770871	11.2156779807	-0.0856044686	-0.1975998462	-0.1406938985	0.8036173330	-0.0856044686	-0.1975998462	-0.1406938985	0.0000000000	-0.0550677329	-0.0258967178	1.9611281171	0.5414464277	0.2375228432	2.4043254438	0.2966017614	false	true	29	0.000
30	0.3034341659	0.0891088853	0.2143252806	0.5329556062	0.2375229535	0.2542830581	1.1725237023	0.9509312131	9.6456643392	12.4247594489	-0.0802330742	-0.1998077086	-0.1432346847	0.8114348277	-0.0802330742	-0.1998077086	-0.1432346847	0.0000000000	-0.0568465644	-0.0278786300	1.9995995601	0.5498114987	0.2419585197	2.4052066181	0.2945583548	false	false		0.000
31	0.3090852458	0.0902951741	0.2187900717	0.5385568415	0.2319715628	0.2513544285	1.1899735705	0.9510241432	9.6369015970	12.5993517971	-0.0751200797	-0.2019931565	-0.1456190663	0.8189982072	-0.0751200797	-0.2011056689	-0.1448735358	0.0000000000	-0.0579222812	-0.0308913958	1.9907082467	0.5581295775	0.2472200818	2.4230538782	0.2939101514	false	true	31	0.000
32	0.3156431129	0.0915125893	0.2241305236	0.5450189414	0.2256052301	0.2479281564	1.2065547482	0.9514927744	9.6264882939	12.7629132847	-0.0692065350	-0.2040245175	-0.1479040913	0.8263264218	-0.0692065350	-0.2022706755	-0.1464262355	0.0000000000	-0.0589472340	-0.0338326288	1.9969076923	0.5674386138	0.2533521301	2.4491769409	0.2933370586	false	false	2	0.000
33	0.3219871419	0.0927728932	0.2292142486	0.5511701839	0.2196467741	0.2446882607	1.2223382934	0.9519388621	10.2499440842	13.6924904839	-0.0635994264	-0.2059171594	-0.1500967068	0.8334332502	-0.0635994264	-0.2033177741	-0.1479001094	0.0000000000	-0.0599254050	-0.0367033934	2.0011302507	0.5766010277	0.2592403049	2.4707028170	0.2928136750	false	false		0.000
34	0.3270811665	0.0939209418	0.2331602247	0.5560297496	0.2150216673	0.2421577427	1.2373873700	0.9520248378	10.8744614345	14.6339447444	-0.0591259488	-0.2076844868	-0.1522128514	0.8403311570	-0.0591259488	-0.2042599526	-0.1493112978	0.0000000000	-0.0608603500	-0.0396924413	1.9888556855	0.5843745529	0.2638729981	2.4825158297	0.2922861735	false	false		0.000
35	0.3310032063	0.0949587884	0.2360444179	0.5597233374	0.2115565315	0.2402540828	1.2517583395	0.9518213075	10.8646060004	14.7913114255	-0.0559780921	-0.2091330258	-0.1542368022	0.8470341775	-0.0559780921	-0.2049032548	-0.1506441433	0.0000000000	-0.0617552551	-0.0427502260	1.9494126701	0.5911146196	0.2672115606	2.4857564186	0.2920225099	false	false		0.000
36	0.3338424375	0.0959299215	0.2379125160	0.5623620972	0.2091182430	0.2389169696	1.2655016743	0.9513224057	10.8575304863	14.9441231067	-0.0538326194	-0.2104594369	-0.1561752464	0.8535548785	-0.0538326194	-0.2054438150	-0.1519052938	0.0000000000	-0.0626883873	-0.0458423255	1.8936591668	0.5966821269	0.2694629987	2.4800657837	0.2917451354	true	false		0.000
37	0.3365805741	0.0969498413	0.2396307329	0.5648890569	0.2068024603	0.2376433685	1.2786627253	0.9508446415	11.4658042669	15.8767061329	-0.0518935573	-0.2116757052	-0.1580342074	0.8599025895	-0.0518935573	-0.2058930651	-0.1531006538	0.0000000000	-0.0635824674	-0.0488522718	1.8363142835	0.6022450807	0.2715812133	2.4716980429	0.2915242901	false	true	37	0.000
38	0.3400602772	0.0980058438	0.2420544335	0.5681113163	0.2038376446	0.2359840073	1.2912823708	0.9506605159	12.0724249678	16.8164806988	-0.0493056221	-0.2127923747	-0.1598191273	0.8660858640	-0.0493056221	-0.2062609807	-0.1542354860	0.0000000000	-0.0644402117	-0.0517832862	1.7922552769	0.6086301005	0.2744140451	2.4697959241	0.2913600556	false	false		0.000
39	0.3426215227	0.0989776856	0.2436438371	0.5704471676	0.2017271875	0.2348106825	1.3033975680	0.9502544370	12.0609963866	16.9588326795	-0.0478419140	-0.2135870745	-0.1615349373	0.8721143856	-0.0478419140	-0.2063246169	-0.1553144971	0.0000000000	-0.0652640781	-0.0547477569	1.7212274399	0.6142907341	0.2761949707	2.4616037007	0.2914857510	false	false		0.000
40	0.3443379522	0.0998811094	0.2444568428	0.5719730983	0.2003917556	0.2340878048	1.3150418234	0.9496164511	12.0522130617	17.0979495899	-0.0472323007	-0.2142837424	-0.1631421545	0.8779969468	-0.0472323007	-0.2063073389	-0.1562979467	0.0000000000	-0.0660562968	-0.0577651115	1.6338859745	0.6191076485	0.2770972734	2.4474782491	0.2916891435	false	false		0.000
41	0.3460025642	0.1008304417	0.2451721225	0.5734413057	0.1991199528	0.2334027596	1.3262455967	0.9490025992	12.7000940091	18.1020542751	-0.0467679105	-0.2148919341	-0.1646786430	0.8837401915	-0.0467679105	-0.2062181365	-0.1572234172	0.0000000000	-0.0668188966	-0.0607092664	1.5452820844	0.6239580348	0.2779194522	2.4315287948	0.2919400330	false	true	41	0.000
42	0.3482918390	0.1018154880	0.2464763510	0.5755058659	0.1972801072	0.2323708284	1.3370366476	0.9486360800	13.3468014165	19.1135238256	-0.0457613233	-0.2154201218	-0.1661493233	0.8893502737	-0.0457613233	-0.2060649262	-0.1580955314	0.0000000000	-0.0675537278	-0.0635829261	1.4683551608	0.6295048073	0.2793424962	2.4208139241	0.2922376743	false	false		0.000
43	0.3511556631	0.1027112936	0.2484443695	0.5781160362	0.1949235908	0.2310156435	1.3474403362	0.9484745116	13.3347283812	19.2457637075	-0.0444508608	-0.2161313163	-0.1676307243	0.8948341761	-0.0444508608	-0.2056935530	-0.1586358916	0.0000000000	-0.0682624819	-0.0666357257	1.3828536289	0.6348876238	0.2814084358	2.4188612649	0.2928952303	false	true	43	0.000
44	0.3545555602	0.1036413608	0.2509141994	0.5812259714	0.1921036174	0.2293642923	1.3574798834	0.9485231351	13.3208961648	19.3704496474	-0.0426269899	-0.2167899211	-0.1690658790	0.9001983082	-0.0426269899	-0.2052956613	-0.1591506272	0.0000000000	-0.0689467089	-0.0696227607	1.3105662909	0.6408469615	0.2840058194	2.4209851877	0.2935411893	false	false		0.000
45	0.3578625218	0.1046097107	0.2532528110	0.5842297077	0.1894031064	0.2277737369	1.3671765975	1.0541115403	14.3091683560	21.0043167349	-0.0409150926	-0.2174002096	-0.1704572517	0.9054475883	-0.0409150926	-0.2048745091	-0.1596415275	0.0000000000	-0.0696078319	-0.0725461054	1.2390211891	0.6467469174	0.2865072912	2.4209302295	0.2941679037	false	false		0.000
46	0.3610808831	0.1056112037	0.2554696794	0.5871333147	0.1868142538	0.2262404069	1.3765500722	1.0536395425	14.4883029527	21.3942620637	-0.0393066753	-0.2179660314	-0.1718071243	0.9105857011	-0.0393066753	-0.2044329787	-0.1601102184	0.0000000000	-0.0702471604	-0.0754077852	1.1682486491	0.6525848119	0.2889186371	2.4189638070	0.2947763548	false	false		0.000
47	0.3636537794	0.1065481026	0.2571056768	0.5894261307	0.1848015180	0.2250527029	1.3856183602	1.0530371041	15.2834652926	22.6361576622	-0.0385240957	-0.2182549177	-0.1731176138	0.9156170698	-0.0385240957	-0.2037376795	-0.1605581809	0.0000000000	-0.0708659015	-0.0782774328	1.0734684581	0.6579684541	0.2905687759	2.4130479147	0.2956297725	false	true	47	0.000
48	0.3666946034	0.1075109738	0.2591836295	0.5921404271	0.1824137492	0.2236232289	1.3943981257	1.0526017900	15.2680541795	22.7574920947	-0.0372885524	-0.2185003997	-0.1743906871	0.9205466827	-0.0372885524	-0.2030212649	-0.1609867665	0.0000000000	-0.0714651701	-0.0810903255	0.9908514766	0.6638451068	0.2926840783	2.4107644113	0.2964721819	true	false		0.000
49	0.3696585758	0.1085033583	0.2611552175	0.5947702898	0.1801179962	0.2222418442	1.4029047791	1.0521800173	15.9275693366	23.8209715163	-0.0361419552	-0.2187061398	-0.1756281744	0.9253784392	-0.0361419552	-0.2022865613	-0.1613972116	0.0000000000	-0.0720459980	-0.0838481372	0.9088255603	0.6696649078	0.2947211590	2.4068860316	0.2972971727	false	false	7	0.001
50	0.3725490320	0.1095214286	0.2630276034	0.5973201321	0.1779087678	0.2209059627	1.4111525954	1.0517710781	15.9400679265	23.9780777126	-0.0350777143	-0.2188754489	-0.1768317815	0.9301153219	-0.0350777143	-0.2015360839	-0.1617906492	0.0000000000	-0.0726093413	-0.0865525011	0.8274358502	0.6754259891	0.2966845836	2.4016085876	0.2981053177	false	false		0.000
51	0.3753691075	0.1105617696	0.2648073378	0.5997940490	0.1757810095	0.2196131880	1.4191548203	1.0513743157	15.9526932552	24.1314044585	-0.0340898308	-0.2190113255	-0.1780031002	0.9347602256	-0.0340898308	-0.2007720731	-0.1621681193	0.0000000000	-0.0731560877	-0.0892050073	0.7467196943	0.6811269063	0.2985785602	2.3951076281	0.2988971686	false	false		0.000
52	0.3776496912	0.1115498540	0.2660998372	0.6017762302	0.1740972308	0.2185922137	1.4269237634	1.0508612994	16.6718843852	25.2890069698	-0.0336516182	-0.2191164898	-0.1790734372	0.9393165431	-0.0336516182	-0.1999965273	-0.1624603976	0.0000000000	-0.0736870624	-0.0918712463	0.6523474621	0.6863024137	0.2999150672	2.3854790265	0.2997514554	false	false		0.000
53	0.3798745950	0.1125596648	0.2673149303	0.6037018147	0.1724709656	0.2176025175	1.4344708817	1.0883343281	17.6979814118	26.9484229036	-0.0332759235	-0.2191934139	-0.1801116305	0.9437875092	-0.0332759235	-0.1992112309	-0.1627358116	0.0000000000	-0.0742030341	-0.0944869140	0.5586458029	0.6914326906	0.3011971471	2.3748731915	0.3005908538	false	true	53	0.000
54	0.3824840859	0.1135865324	0.2688975534	0.6059619364	0.1705602132	0.2164260625	1.4418068545	1.0878092696	18.7223875757	28.5624776011	-0.0325205672	-0.2192443480	-0.1811192835	0.9481761685	-0.0325205672	-0.1984177790	-0.1629954739	0.0000000000	-0.0747047195	-0.0970535431	0.4758609531	0.6969547293	0.3028659038	2.3673365816	0.3014181206	false	false		0.000
55	0.3850344474	0.1146333889	0.2704010585	0.6081600777	0.1687142920	0.2152847150	1.4489416499	1.0872986100	19.3911556010	29.6720852311	-0.0318275743	-0.2192713434	-0.1820978897	0.9524854278	-0.0318275743	-0.1976175983	-0.1632404062	0.0000000000	-0.0751927878	-0.0995726138	0.3935732945	0.7024219164	0.3044783529	2.3588333305	0.3022286327	false	false		0.000
56	0.3871136301	0.1156478973	0.2714657329	0.6099385575	0.1672365151	0.2143720154	1.4558845844	1.0866978189	20.0616478127	30.7895503911	-0.0315730727	-0.2192762730	-0.1830488422	0.9567180286	-0.0315730727	-0.1968119663	-0.1634715488	0.0000000000	-0.0756657490	-0.1020820617	0.3005129004	0.7073861186	0.3056258652	2.3473468980	0.3030388056	false	false		0.000
57	0.3891455642	0.1166821723	0.2724633919	0.6116701244	0.1658053155	0.2134851397	1.4626443775	1.0861128755	20.7343221715	31.9155366355	-0.0313706849	-0.2192608489	-0.1839734421	0.9608765915	-0.0313706849	-0.1960020272	-0.1636897678	0.0000000000	-0.0761244780	-0.1045440694	0.2079114773	0.7123086836	0.3067293206	2.3350901546	0.3038340767	false	false		0.001
58	0.3907443033	0.1176739489	0.2730703544	0.6130212900	0.1647017233	0.2128046312	1.4692291992	1.0854455639	21.4085315902	33.0488080415	-0.0316303209	-0.2192266389	-0.1847986168	0.9649635928	-0.0316303209	-0.1951888068	-0.1638215727	0.0000000000	-0.0765696670	-0.1070089221	0.1016701209	0.7168274591	0.3073809843	2.3205676106	0.3047006753	false	false		0.000
59	0.3919341453	0.1186200767	0.2733140686	0.6140140698	0.1639060057	0.2123212181	1.4756467147	1.0847088257	21.3945169192	33.1713956183	-0.0324743565	-0.2189678536	-0.1855969935	0.9689817797	-0.0324743565	-0.1941659987	-0.1639391894	0.0000000000	-0.0770019626	-0.1094661273	-0.0275133186	0.7211140276	0.3075242101	2.3041130650	0.3057884250	false	true	59	0.000
60	0.3934573768	0.1195838444	0.2738735324	0.6152951938	0.1628669893	0.2116778718	1.4819041230	1.0840821534	21.3789539510	33.2880658192	-0.0329916915	-0.2186909041	-0.1863699087	0.9729337353	-0.0329916915	-0.1931395198	-0.1640435692	0.0000000000	-0.0774219692	-0.1118796088	-0.1469254798	0.7257416612	0.3080028913	2.2902218427	0.3068652239	true	false		0.000
61	0.3949479639	0.1205673169	0.2743806469	0.6165449238	0.1618581162	0.2110522539	1.4880081938	1.1152762591	22.4344654105	35.0422085673	-0.0335466519	-0.2183973178	-0.1871186098	0.9768215571	-0.0335466519	-0.1921104258	-0.1641355896	0.0000000000	-0.0778302529	-0.1142506731	-0.2658857266	0.7303417276	0.3084516429	2.2757464784	0.3079272988	false	true	61	0.000
62	0.3967428838	0.1215670478	0.2751758360	0.6180573874	0.1606281091	0.2102778059	1.4939652992	1.1146626710	23.4880477921	36.7555956982	-0.0338007035	-0.2180884961	-0.1878442631	0.9806472356	-0.0338007035	-0.1910796670	-0.1642160612	0.0000000000	-0.0782273441	-0.1165805760	-0.3756356709	0.7352488505	0.3092080174	2.2635725788	0.3089765395	false	false		0.000
63	0.3981739389	0.1225264980	0.2756474409	0.6192506539	0.1596726310	0.2096820818	1.4997814435	1.1139881179	23.4701027264	36.8707632527	-0.0345867140	-0.2175677123	-0.1885479595	0.9844129815	-0.0345867140	-0.1898500857	-0.1642857337	0.0000000000	-0.0786137408	-0.1189027685	-0.5079976050	0.7399593872	0.3095062057	2.2496965593	0.3102341549	false	false		0.000
64	0.3995757813	0.1235039567	0.2760718246	0.6204161622	0.1587434569	0.2091019705	1.5054622902	1.1133292565	24.3131625470	38.2786245820	-0.0354048762	-0.2170318409	-0.1892307215	0.9881205998	-0.0354048762	-0.1886181436	-0.1643453015	0.0000000000	-0.0789899105	-0.1211865867	-0.6399500867	0.7446427407	0.3097779944	2.2353277734	0.3114767008	false	false	2	0.000
65	0.4009494485	0.1244975521	0.2764518964	0.6215550093	0.1578394298	0.2085368200	1.5110131866	1.1126854666	24.4562731614	38.6350336555	-0.0362524683	-0.2164822608	-0.1898935076	0.9917715398	-0.0362524683	-0.1873848249	-0.1643954078	0.0000000000	-0.0793562931	-0.1234330972	-0.7714324900	0.7492976145	0.3100249870	2.2205408193	0.3127043646	false	false		0.000
66	0.4019989360	0.1254680654	0.2765308706	0.6224105013	0.1571779335	0.2081333485	1.5164391862	1.1119836624	25.1404747512	39.8102566717	-0.0374147512	-0.2159202397	-0.1905372180	0.9953674642	-0.0374147512	-0.1861510195	-0.1644366499	0.0000000000	-0.0796981759	-0.1256679317	-0.9127175496	0.7536171877	0.3099504841	2.2039940575	0.3139456218	false	false		0.000
67	0.4033151942	0.1263883488	0.2769268454	0.6234969968	0.1563212006	0.2075962201	1.5217450688	1.1113623052	25.1250593141	39.9251452224	-0.0382128343	-0.2155406925	-0.1912423240	0.9989102134	-0.0382128343	-0.1849744425	-0.1644329428	0.0000000000	-0.0800294086	-0.1279453911	-1.0399434976	0.7577769084	0.3102511185	2.1910789090	0.3151396797	false	true	67	0.000
68	0.4048843296	0.1273228204	0.2775615091	0.6248023225	0.1552796846	0.2069304981	1.5269353600	1.1108231918	25.1078694506	40.0342488884	-0.0387499924	-0.2151532851	-0.1919320526	1.0024015328	-0.0387499924	-0.1838043887	-0.1644261700	0.0000000000	-0.0803504768	-0.1301861754	-1.1581591220	0.7621875929	0.3108110417	2.1799824111	0.3163115015	false	false		0.000
69	0.4064239932	0.1282730348	0.2781509584	0.6260796561	0.1542646811	0.2062801390	1.5320143478	1.1371968491	26.1879642668	41.8625388846	-0.0393080729	-0.2147587436	-0.1926069747	1.0058428605	-0.0393080729	-0.1826411310	-0.1644165301	0.0000000000	-0.0806618370	-0.1323912963	-1.2753077203	0.7665655698	0.3113480871	2.1684289202	0.3174590313	false	false		0.001
70	0.4076711611	0.1291931280	0.2784780331	0.6271014422	0.1534682767	0.2057775144	1.5369860987	1.1365406011	27.2694857733	43.6596676565	-0.0401941611	-0.2143577382	-0.1931925010	1.0092355704	-0.0401941611	-0.1814849064	-0.1643290769	0.0000000000	-0.0809639188	-0.1345923462	-1.4046628085	0.7706915375	0.3115756015	2.1555173815	0.3186721941	false	false		0.000
71	0.4091512188	0.1300632566	0.2790879622	0.6283240439	0.1525031309	0.2051560350	1.5418544723	1.1359557961	27.2532132904	43.7719673208	-0.0407589670	-0.2141343023	-0.1937633743	1.0125811845	-0.0407589670	-0.1804072101	-0.1642382113	0.0000000000	-0.0811961161	-0.1368294612	-1.5215368018	0.7746957716	0.3121296424	2.1457863621	0.3198469292	false	true	71	0.000
72	0.4108540300	0.1309476305	0.2799063996	0.6297374241	0.1513791818	0.2044213913	1.5466231345	1.1354415964	27.2351899355	43.8786750682	-0.0410875003	-0.2139064841	-0.1943201779	1.0158811508	-0.0410875003	-0.1793401886	-0.1641441889	0.0000000000	-0.0814226913	-0.1390325516	-1.6296196676	0.7789196545	0.3129138686	2.1375445939	0.3209938999	false	false		0.000
73	0.4125274888	0.1318475501	0.2806799387	0.6311222837	0.1502829213	0.2037029003	1.5512955701	1.1349377727	27.9259508858	45.0820278386	-0.0414318050	-0.2136746636	-0.1948634638	1.0191366691	-0.0414318050	-0.1782837577	-0.1640472472	0.0000000000	-0.0816438628	-0.1412025076	-1.7363630878	0.7831101416	0.3136762039	2.1288217986	0.3221117437	false	true	73	0.000
