N	vtGv	vtB1v	vtL1v	btv	d2	ratio	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	is_hcn	is_prime	prime_power	time
2229	0.6395943267	1.1834411842	-0.5438468574	0.7953200604	0.0489542058	0.1195872100	3.4210046506	1.5083135326	1303.4218592493	4464.1721897599	-0.4693045311	0.0908628320	-0.2470720528	1.8478001079	-0.4693045311	0.1093771289	-0.2248435861	0.0000000000	-0.1263838481	-0.4970509448	164.7474947854	2.3630903800	0.1957923936	0.4595470098	-0.0745423264	false	false		1.661
2230	0.6396082830	1.1838328148	-0.5442245318	0.7953289542	0.0489503747	0.1195830473	3.4212710431	1.5082833951	1304.9048284838	4469.5933500081	-0.4693379529	0.0909099325	-0.2470745073	1.8479107850	-0.4693379529	0.1093705301	-0.2248821712	0.0000000000	-0.1263957493	-0.4970571587	164.8157618468	2.3633733524	0.1957626556	0.4597140111	-0.0748865789	false	false		1.755
2231	0.6396225551	1.1842240162	-0.5446014612	0.7953380549	0.0489464453	0.1195787651	3.4215372852	1.5082533074	1304.8821713106	4469.8635469087	-0.4693695498	0.0909561665	-0.2470769616	1.8480214129	-0.4693695498	0.1093627259	-0.2249207412	0.0000000000	-0.1264082923	-0.4970630004	164.8874835116	2.3636557600	0.1957337701	0.4598804396	-0.0752319114	false	false		1.687
2232	0.6396364979	1.1846152915	-0.5449787936	0.7953469386	0.0489426207	0.1195746116	3.4218033771	1.5082232038	1304.8596304146	4470.1339332691	-0.4694015529	0.0910023760	-0.2470794156	1.8481319915	-0.4694015529	0.1093549171	-0.2249592960	0.0000000000	-0.1264208291	-0.4970687326	164.9587626683	2.3639378409	0.1957045738	0.4600470697	-0.0755772406	false	false		1.674
2233	0.6396504340	1.1850067080	-0.5453562739	0.7953558174	0.0489387993	0.1195704629	3.4220693189	1.5081931173	1305.6801386188	4473.2890840573	-0.4694335324	0.0910485611	-0.2470818695	1.8482425210	-0.4694335324	0.1093471038	-0.2249978356	0.0000000000	-0.1264333598	-0.4970744630	165.0300053214	2.3642198097	0.1956753930	0.4602136598	-0.0759227416	false	false		1.710
2234	0.6396646847	1.1853979462	-0.5457332615	0.7953649026	0.0489348796	0.1195661941	3.4223351107	1.5081630804	1306.5005209870	4476.4440446342	-0.4694647195	0.0910947217	-0.2470843231	1.8483530013	-0.4694647195	0.1093392859	-0.2250363601	0.0000000000	-0.1264458843	-0.4970806387	165.1023258050	2.3645015756	0.1956465955	0.4603797933	-0.0762685420	false	false		1.682
2235	0.6396786074	1.1857888898	-0.5461102824	0.7953737714	0.0489310647	0.1195620547	3.4226007528	1.5081330280	1306.4779919941	4476.7142961348	-0.4694970362	0.0911416972	-0.2470867765	1.8484634325	-0.4694970362	0.1093323028	-0.2250748694	0.0000000000	-0.1264584027	-0.4970868197	165.1731576434	2.3647837406	0.1956170726	0.4605459598	-0.0766132462	false	false		1.680
2236	0.6396928439	1.1861794338	-0.5464865900	0.7953828463	0.0489271514	0.1195577948	3.4228662452	1.5081030252	1306.4554034518	4476.9841362714	-0.4695280662	0.0911886479	-0.2470897058	1.8485738147	-0.4695280662	0.1093253149	-0.2251140210	0.0000000000	-0.1264713773	-0.4970928213	165.2461985309	2.3650655164	0.1955881131	0.4607115706	-0.0769585238	false	false		1.706
2237	0.6397070734	1.1865701192	-0.5468630459	0.7953919161	0.0489232413	0.1195535394	3.4231315881	1.5085324253	1307.9385953438	4482.4098260475	-0.4695590728	0.0912355741	-0.2470926347	1.8486841478	-0.4695590728	0.1093183222	-0.2251531572	0.0000000000	-0.1264843457	-0.4970988210	165.3192028411	2.3653471803	0.1955591687	0.4608771425	-0.0773039731	false	true	2237	1.858
2238	0.6397216156	1.1869609453	-0.5472393297	0.7954011915	0.0489192326	0.1195491631	3.4233967817	1.5085024636	1309.4216405183	4487.8340325474	-0.4695897364	0.0912824756	-0.2470955632	1.8487944320	-0.4695897364	0.1093113248	-0.2251922782	0.0000000000	-0.1264973079	-0.4971048188	165.3923424932	2.3656290522	0.1955305593	0.4610424057	-0.0776495933	false	false		1.691
2239	0.6397364699	1.1873513833	-0.5476149134	0.7954106722	0.0489151255	0.1195446655	3.4236618261	1.5084725512	1309.3988359090	4488.1033095836	-0.4696180718	0.0913285158	-0.2470989665	1.8489046673	-0.4696180718	0.1093028016	-0.2252325487	0.0000000000	-0.1265102638	-0.4971101147	165.4704530604	2.3659104999	0.1955029770	0.4612071212	-0.0779968416	false	true	2239	1.710
2240	0.6397516358	1.1877419620	-0.5479903262	0.7954203580	0.0489109199	0.1195400465	3.4239267215	1.5084426883	1309.3759406624	4488.3720689931	-0.4696460661	0.0913745316	-0.2471023691	1.8490148537	-0.4696460661	0.1092942741	-0.2252728035	0.0000000000	-0.1265232136	-0.4971154088	165.5486974175	2.3661921548	0.1954757281	0.4613715299	-0.0783442601	false	false		1.704
2241	0.6397667939	1.1881326817	-0.5483658877	0.7954300383	0.0489067173	0.1195354316	3.4241914680	1.5084128422	1310.1961733703	4491.5276527087	-0.4696740384	0.0914205232	-0.2471057712	1.8491249913	-0.4696740384	0.1092857423	-0.2253130429	0.0000000000	-0.1265361572	-0.4971207012	165.6269037782	2.3664736977	0.1954484934	0.4615359010	-0.0786918493	false	false		1.698
2242	0.6397819443	1.1885235420	-0.5487415977	0.7954397132	0.0489025180	0.1195308208	3.4244560658	1.5083830128	1310.1733104481	4491.7963316270	-0.4697019888	0.0914664906	-0.2471091728	1.8492350800	-0.4697019888	0.1092772062	-0.2253532666	0.0000000000	-0.1265490946	-0.4971259919	165.7050721772	2.3667551287	0.1954212728	0.4617002342	-0.0790396089	false	false		1.738
2243	0.6397974049	1.1889140333	-0.5491166284	0.7954495924	0.0488982202	0.1195260883	3.4247205151	1.5083532325	1310.9934255606	4494.9517678932	-0.4697285381	0.0915115993	-0.2471125738	1.8493451201	-0.4697285381	0.1092677389	-0.2253934749	0.0000000000	-0.1265620258	-0.4971314153	165.7854994628	2.3670358755	0.1953948096	0.4618640314	-0.0793880903	false	true	2243	1.713
2244	0.6398131753	1.1893046647	-0.5494914894	0.7954596757	0.0488938239	0.1195212340	3.4249848159	1.5083235014	1310.9703227141	4495.2194344413	-0.4697547483	0.0915566842	-0.2471159743	1.8494551114	-0.4697547483	0.1092582675	-0.2254336676	0.0000000000	-0.1265749508	-0.4971368369	165.8660594685	2.3673168284	0.1953686778	0.4620275239	-0.0797367410	false	false		1.790
