N	diag	offdiag	total	diag_frac	diag_logN
10	5.632824522394672e-1	-4.269346050958138e-1	1.363478471436534e-1	4.131216326767550e0	1.297005777671728e0
20	7.186006496537161e-1	-4.716524176607000e-1	2.469482319930161e-1	2.909924253574080e0	2.152735157964502e0
50	9.304552425813064e-1	-5.579596492007584e-1	3.724955933805481e-1	2.497895972773930e0	3.639962314499297e0
100	1.094052878330801e0	-6.502012500196045e-1	4.438516283111965e-1	2.464906758354237e0	5.038299697183462e0
200	1.259867467435696e0	-7.546058294202640e-1	5.052616380154324e-1	2.493495196635561e0	6.675177682263443e0
500	1.481699599784312e0	-9.151119172814186e-1	5.665876825028933e-1	2.615128506216239e0	9.208182332248505e0
1000	1.651091911533667e0	-1.048334117029936e0	6.027577945037312e-1	2.739229465946701e0	1.140533886798139e1
2000	1.821555452716796e0	-1.186086444922869e0	6.354690077939262e-1	2.866474100822712e0	1.384546532074738e1
