N	excess_logN	dot_excess_logN	l2_logN	vtCv_logN	btv_sq_minus_1
10	-1.988632572699239e0	3.107238148067183e0	1.118605575367944e0	7.033498830250642e-2	-8.941982501608549e-1
20	-2.255941485075414e0	3.151085700624958e0	8.951442155495440e-1	6.652034448984874e-2	-7.752568045107738e-1
50	-2.454811674702833e0	3.150585813991030e0	6.957741392881973e-1	6.143539961639653e-2	-6.432086597721431e-1
100	-2.561157900287104e0	3.165239880644611e0	6.040819803575074e-1	6.019635304092008e-2	-5.692198436669897e-1
200	-2.621280855200358e0	3.146126192742726e0	5.248453375423684e-1	5.780508042434931e-2	-5.056484446438865e-1
500	-2.693487698273443e0	3.147703196509728e0	4.542154982362847e-1	5.563704982885116e-2	-4.423649415319144e-1
1000	-2.744051942051370e0	3.160424852571138e0	4.163729105197672e-1	5.488481325247788e-2	-4.051875960082179e-1
2000	-2.770764515238436e0	3.151407487856722e0	3.806429726182860e-1	5.399198586434830e-2	-3.716343573856310e-1
