N	vtGv	vtB1v	vtL1v	btv	d2	ratio	ratio_term	neg_ecot	log_harm	rank1	vtGv_lnN	vtGv_lnlnN	norm_v_sq	n_active	mertens_sum	mertens_env	mertens_log	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	ratio_over_neg	ecot_over_ratio	is_hcn	is_prime	prime_power	time
3	0.111538654605	0.063928550031	0.047610104574	-0.216855775358	1.545250205321	0.634935641763	0.127910000370	0.000000000000	0.648611619506	-0.664982965271	0.101526858707	1.185978001105	1.136213	2	0.500000000000	0.815464876786	-0.346573590280	1.000000000000	0.160197064319	0.028356553780	0.188553618099	-0.200928674377	0.000000000000	0.000000000000	0.312467328982	-0.200928674377	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.125646660344	0.163344582080	0.085635690868	0.744739315240	0.248538778952	0.09737403	0.00000000	true	true	3	0.001
4	0.053494937221	0.057442054719	-0.003947117498	-0.038562014494	1.130618966209	0.544319429380	0.318263426441	-0.052277413356	0.251034441701	-0.463525517564	0.038588440321	0.163776259187	1.293064	3	0.166666666667	0.680827083454	-0.712777686503	1.000000000000	0.074405689038	0.064525186429	0.138930875467	-0.315560634506	0.000000000000	0.000000000000	0.369055571728	-0.315560634506	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	-0.500582781091	0.161889107441	0.001516434617	0.068714768599	0.311613517008	0.41503380	0.16425831	true	false	2	0.000
5	0.050898893788	0.058681828470	-0.007782934681	0.055839271997	0.939220349794	0.497383719709	0.417563053172	-0.082173912644	0.087049184060	-0.371539430799	0.031625260841	0.106956290465	1.424868	3	0.166666666667	0.609540343865	-0.712777686503	1.000000000000	0.217049441618	0.283518918285	0.500568359902	-0.364178100649	0.000000000000	0.000000000000	0.415076994438	-0.364178100649	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	-0.836903036584	0.205314486718	-0.021119016979	0.132629382628	0.356395165968	0.77217453	0.19679402	false	true	5	0.000
6	0.065624283015	0.060083350055	0.005540932959	0.156874319381	0.751875644252	0.445885863481	0.590989363159	-0.159493853310	-0.069799920515	-0.296071306318	0.036625609710	0.112524861067	1.535959	4	-0.033333333333	0.544124348213	-1.034665268989	1.000000000000	0.270618192476	0.523974927015	0.794593119490	-0.386478497984	0.000000000000	0.000000000000	0.452102780999	-0.386478497984	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	-1.061563350707	0.257065662506	-0.021727503620	0.092220772545	0.392019430944	1.12491177	0.26987601	true	false		0.000
7	0.078339699925	0.059978370943	0.018361328983	0.198288829672	0.681762040581	0.425191805861	0.614453732245	-0.162880632336	-0.111516851628	-0.261716548355	0.040258641933	0.117674916581	1.640238	5	0.133333333333	0.511582396448	-0.736038690785	1.000000000000	0.293907538657	0.536971839518	0.830879378175	-0.371299397925	-0.020825110249	-0.013924814623	0.484389022722	-0.371299397925	-0.020825110249	-0.013924814623	0.000000000000	0.000000000000	0.000000000000	-0.896053973694	0.269605835051	-0.006990314513	0.306132505669	0.389660726907	1.14612507	0.26508201	false	true	7	0.000
8	0.098128406489	0.060605319881	0.037523086608	0.250929966867	0.596268472755	0.398005824810	0.715348180745	-0.213680829877	-0.174940642302	-0.228598302077	0.047189788471	0.134037004766	1.741276	6	-0.009523809524	0.478119547892	-1.014025854936	1.000000000000	0.322973717249	0.568567431679	0.891541148928	-0.351321113103	-0.037661130110	-0.026343059439	0.513453709142	-0.351321113103	-0.037661130110	-0.026343059439	0.000000000000	0.000000000000	0.000000000000	-0.730091884299	0.293896054006	0.013710369276	0.619138496115	0.388844199711	1.15898455	0.29870885	false	false	2	0.001
9	0.117798437107	0.062283014391	0.055515422715	0.292051846978	0.533694743151	0.376930669903	0.792990394825	-0.253307773380	-0.217598946008	-0.204285238330	0.053612379145	0.149643272484	1.837287	6	-0.009523809524	0.451979245464	-1.014025854936	1.000000000000	0.478684878212	0.980100138298	1.458785016510	-0.333008425790	-0.051581420699	-0.037247958777	0.539636242373	-0.333008425790	-0.051581420699	-0.037247958777	0.000000000000	0.000000000000	0.000000000000	-0.586273693380	0.320361909930	0.033662801018	0.891341295186	0.388523848505	1.17446659	0.31943360	false	false	3	0.001
10	0.136386295582	0.064399215601	0.071987079981	0.325271809168	0.485842677247	0.360028440969	0.854961106605	-0.285283655234	-0.247649072251	-0.185642083537	0.059231815579	0.163526366821	1.925792	6	-0.009523809524	0.430862023782	-1.014025854936	1.000000000000	0.531822464795	1.031304146643	1.563126611437	-0.316481337415	-0.063319000099	-0.046828625229	0.563015258325	-0.316481337415	-0.063319000099	-0.046828625229	0.000000000000	0.000000000000	0.000000000000	-0.461013431975	0.346540191784	0.052203366823	1.117825416189	0.388468417396	1.18980111	0.33368027	false	false		0.001
11	0.147023921129	0.065406009373	0.081617911756	0.341975413983	0.463073093163	0.351866102729	0.848370287616	-0.275929836007	-0.251250064054	-0.174166466427	0.061313737425	0.168105842339	2.008146	7	0.090476190476	0.417332560947	-0.783767345636	1.000000000000	0.535215806497	1.490726649393	2.025942455890	-0.299023084099	-0.079233014353	-0.055292560295	0.584086740086	-0.299023084099	-0.079233014353	-0.055292560295	0.000000000000	-0.003514160210	0.000000000000	-0.265457899458	0.356077200349	0.066133636111	1.247865640155	0.380640995855	1.20963097	0.32524694	false	true	11	0.001
12	0.161920464187	0.066556301454	0.095364162733	0.365084733292	0.431750997603	0.340006785347	0.895110571938	-0.301512368152	-0.269507143608	-0.162170595991	0.065161588344	0.177888619508	2.086753	8	-0.000432900433	0.402704104761	-1.001757824981	1.000000000000	0.542120630791	1.504566564741	2.046687195532	-0.279015987819	-0.092687425496	-0.062822352553	0.603396841092	-0.279015987819	-0.092687425496	-0.062822352553	0.000000000000	-0.006950611038	0.000000000000	-0.065139226251	0.371819446380	0.083470620333	1.432834467196	0.374380150551	1.22084377	0.33684371	true	false		0.001
