Precomputing μ and ω...
  Done in 0.01s
  Squarefree count up to 10000: 6083
  Loaded 9998 TSV points
Computing 208 data points...
  [20/208] N=22, elapsed=0.0s, ETA=0s
  [40/208] N=42, elapsed=0.0s, ETA=0s
  [60/208] N=62, elapsed=0.0s, ETA=0s
  [80/208] N=82, elapsed=0.0s, ETA=0s
  [100/208] N=120, elapsed=0.0s, ETA=0s
  [120/208] N=320, elapsed=0.1s, ETA=0s
  [140/208] N=600, elapsed=0.2s, ETA=0s
  [160/208] N=1600, elapsed=1.4s, ETA=0s
N	vtRv	vtGv	vtDelta	diag	same	cross	gap	positive	gap_ratio	margin	margin_scaled	vtRv_scaled
38	0.0536138130	0.3400602772	0.2864464643	0.1038229734	0.0081369967	-0.0583461572	0.0583461572	0.1119599701	0.521134	0.6599397228	2.400588	0.195025
39	0.0535753312	0.3426215227	0.2890461915	0.1039336321	0.0082185306	-0.0585768315	0.0585768315	0.1121521627	0.522298	0.6573784773	2.408347	0.196277
40	0.0535385974	0.3443379522	0.2907993548	0.1040405577	0.0082979524	-0.0587999127	0.0587999127	0.1123385101	0.523417	0.6556620478	2.418658	0.197497
41	0.0535035309	0.3460025642	0.2924990334	0.1041439671	0.0083745324	-0.0590149686	0.0590149686	0.1125184995	0.524491	0.6539974358	2.428667	0.198689
42	0.0534695677	0.3482918390	0.2948222713	0.1042440591	0.0084486476	-0.0592231391	0.0592231391	0.1126927067	0.525528	0.6517081610	2.435870	0.199852
43	0.0534370663	0.3511556631	0.2977185968	0.1043410192	0.0085214492	-0.0594254020	0.0594254020	0.1128624684	0.526529	0.6488443369	2.440433	0.200988
44	0.0534055442	0.3545555602	0.3011500161	0.1044350181	0.0085920183	-0.0596214922	0.0596214922	0.1130270364	0.527498	0.6454444398	2.442484	0.202097
45	0.0533753101	0.3578625218	0.3044872117	0.1045262120	0.0086603079	-0.0598112097	0.0598112097	0.1131865199	0.528431	0.6421374782	2.444401	0.203182
46	0.0533462817	0.3610808831	0.3077346015	0.1046147441	0.0087264427	-0.0599949052	0.0599949052	0.1133411868	0.529330	0.6389191169	2.446192	0.204244
47	0.0533183673	0.3636537794	0.3103354121	0.1047007489	0.0087910162	-0.0601733978	0.0601733978	0.1134917651	0.530201	0.6363462206	2.450027	0.205284
48	0.0532912272	0.3666946034	0.3134033762	0.1047843523	0.0088537761	-0.0603469012	0.0603469012	0.1136381284	0.531044	0.6333053966	2.451652	0.206301
49	0.0532650944	0.3696585758	0.3163934814	0.1048656705	0.0089146848	-0.0605152609	0.0605152609	0.1137803553	0.531860	0.6303414242	2.453176	0.207298
50	0.0532399100	0.3725490320	0.3193091220	0.1049448108	0.0089738352	-0.0606787361	0.0606787361	0.1139186461	0.532650	0.6274509680	2.454603	0.208276
51	0.0532156198	0.3753691075	0.3221534877	0.1050218736	0.0090313138	-0.0608375676	0.0608375676	0.1140531874	0.533414	0.6246308925	2.455940	0.209235
52	0.0531921540	0.3776496912	0.3244575372	0.1050969535	0.0090875753	-0.0609923748	0.0609923748	0.1141845288	0.534156	0.6223503088	2.459058	0.210175
53	0.0531694858	0.3798745950	0.3267051092	0.1051701390	0.0091423112	-0.0611429644	0.0611429644	0.1143124502	0.534876	0.6201254050	2.462079	0.211098
54	0.0531473798	0.3824840859	0.3293367060	0.1052415134	0.0091956835	-0.0612898170	0.0612898170	0.1144371968	0.535576	0.6175159141	2.463261	0.212004
55	0.0531259956	0.3850344474	0.3319084518	0.1053111544	0.0092476645	-0.0614328233	0.0614328233	0.1145588189	0.536256	0.6149655526	2.464372	0.212894
56	0.0531052777	0.3871136301	0.3340083524	0.1053791355	0.0092986212	-0.0615724790	0.0615724790	0.1146777567	0.536917	0.6128863699	2.467083	0.213767
57	0.0530852097	0.3891455642	0.3360603545	0.1054455254	0.0093482999	-0.0617086155	0.0617086155	0.1147938252	0.537560	0.6108544358	2.469716	0.214626
58	0.0530657460	0.3907443033	0.3376785573	0.1055103890	0.0093970175	-0.0618416605	0.0618416605	0.1149074065	0.538187	0.6092556967	2.473848	0.215470
59	0.0530468625	0.3919341453	0.3388872828	0.1055737879	0.0094447847	-0.0619717101	0.0619717101	0.1150185726	0.538797	0.6080658547	2.479411	0.216301
60	0.0530284020	0.3934573768	0.3404289748	0.1056357803	0.0094914830	-0.0620988614	0.0620988614	0.1151272633	0.539393	0.6065426232	2.483394	0.217117
61	0.0530104779	0.3949479639	0.3419374860	0.1056964206	0.0095370919	-0.0622230346	0.0622230346	0.1152335125	0.539973	0.6050520361	2.487293	0.217919
62	0.0529929437	0.3967428838	0.3437499401	0.1057557602	0.0095817137	-0.0623445303	0.0623445303	0.1153374740	0.540540	0.6032571162	2.489723	0.218709
63	0.0529758960	0.3981739389	0.3451980429	0.1058138483	0.0096255131	-0.0624634654	0.0624634654	0.1154393614	0.541093	0.6018260611	2.493446	0.219486
64	0.0529593178	0.3995757813	0.3466164636	0.1058707309	0.0096683413	-0.0625797544	0.0625797544	0.1155390722	0.541633	0.6004242187	2.497094	0.220252
65	0.0529431885	0.4009494485	0.3480062600	0.1059264515	0.0097102354	-0.0626934985	0.0626934985	0.1156366869	0.542159	0.5990505515	2.500669	0.221005
66	0.0529274784	0.4019989360	0.3490714576	0.1059810517	0.0097514093	-0.0628049826	0.0628049826	0.1157324610	0.542674	0.5980010640	2.505418	0.221748
67	0.0529121794	0.4033151942	0.3504030148	0.1060345710	0.0097919951	-0.0629143867	0.0629143867	0.1158265661	0.543178	0.5966848058	2.508876	0.222479
68	0.0528971843	0.4048843296	0.3519871453	0.1060870472	0.0098317820	-0.0630216449	0.0630216449	0.1159188292	0.543670	0.5951156704	2.511095	0.223200
69	0.0528825689	0.4064239932	0.3535414243	0.1061385158	0.0098707555	-0.0631267024	0.0631267024	0.1160092713	0.544152	0.5935760068	2.513264	0.223910
70	0.0528683111	0.4076711611	0.3548028500	0.1061890109	0.0099090864	-0.0632297862	0.0632297862	0.1160980973	0.544624	0.5923288389	2.516506	0.224611
71	0.0528544011	0.4091512188	0.3562968176	0.1062385648	0.0099468983	-0.0633310620	0.0633310620	0.1161854631	0.545086	0.5908487812	2.518599	0.225301
72	0.0528407526	0.4108540300	0.3580132775	0.1062872085	0.0099840086	-0.0634304645	0.0634304645	0.1162712170	0.545539	0.5891459700	2.519581	0.225982
73	0.0528274286	0.4125274888	0.3597000602	0.1063349712	0.0100204049	-0.0635279475	0.0635279475	0.1163553761	0.545982	0.5874725112	2.520527	0.226654
74	0.0528143489	0.4144108562	0.3615965073	0.1063818811	0.0100561443	-0.0636236766	0.0636236766	0.1164380255	0.546417	0.5855891438	2.520414	0.227316
75	0.0528015682	0.4160300638	0.3632284955	0.1064279650	0.0100913196	-0.0637177164	0.0637177164	0.1165192847	0.546843	0.5839699362	2.521283	0.227970
76	0.0527890782	0.4176224548	0.3648333766	0.1064732484	0.0101258464	-0.0638100166	0.0638100166	0.1165990948	0.547260	0.5823775452	2.522122	0.228615
77	0.0527768682	0.4191888084	0.3664119401	0.1065177557	0.0101597452	-0.0639006326	0.0639006326	0.1166775009	0.547669	0.5808111916	2.522931	0.229252
78	0.0527649223	0.4205115542	0.3677466320	0.1065615101	0.0101931408	-0.0639897287	0.0639897287	0.1167546509	0.548070	0.5794884458	2.524662	0.229881
79	0.0527532365	0.4220252465	0.3692720100	0.1066045342	0.0102261100	-0.0640774078	0.0640774078	0.1168306442	0.548464	0.5779747535	2.525431	0.230503
80	0.0527417491	0.4237230030	0.3709812539	0.1066468496	0.0102585299	-0.0641636305	0.0641636305	0.1169053796	0.548851	0.5762769970	2.525261	0.231116
81	0.0527305051	0.4253953461	0.3726648410	0.1066884768	0.0102903915	-0.0642483632	0.0642483632	0.1169788683	0.549231	0.5746046539	2.525071	0.231722
82	0.0527194963	0.4270429449	0.3743234486	0.1067294353	0.0103217114	-0.0643316505	0.0643316505	0.1170511467	0.549603	0.5729570551	2.524861	0.232320
83	0.0527087125	0.4284699889	0.3757612764	0.1067697442	0.0103525805	-0.0644136121	0.0644136121	0.1171223246	0.549969	0.5715300111	2.525500	0.232911
84	0.0526981034	0.4300676854	0.3773695819	0.1068094215	0.0103829603	-0.0644942783	0.0644942783	0.1171923817	0.550328	0.5699323146	2.525266	0.233496
85	0.0526877076	0.4316425359	0.3789548283	0.1068484847	0.0104128427	-0.0645736199	0.0645736199	0.1172613275	0.550681	0.5683574641	2.525014	0.234073
86	0.0526775138	0.4330093683	0.3803318545	0.1068869507	0.0104423180	-0.0646517549	0.0646517549	0.1173292687	0.551028	0.5669906317	2.525573	0.234644
87	0.0526675180	0.4341744513	0.3815069332	0.1069248355	0.0104713870	-0.0647287044	0.0647287044	0.1173962225	0.551370	0.5658255487	2.526925	0.235208
88	0.0526577124	0.4351445918	0.3824868794	0.1069621547	0.0105000652	-0.0648045074	0.0648045074	0.1174622198	0.551705	0.5648554082	2.529048	0.235766
89	0.0526480939	0.4361006087	0.3834525148	0.1069989231	0.0105282962	-0.0648791254	0.0648791254	0.1175272193	0.552035	0.5638993913	2.531139	0.236318
90	0.0526386211	0.4372124109	0.3845737898	0.1070351552	0.0105561102	-0.0649526443	0.0649526443	0.1175912654	0.552359	0.5627875891	2.532437	0.236864
91	0.0526293248	0.4383084719	0.3856791471	0.1070708647	0.0105835005	-0.0650250404	0.0650250404	0.1176543653	0.552679	0.5616915281	2.533712	0.237403
92	0.0526201964	0.4392259333	0.3866057369	0.1071060649	0.0106105402	-0.0650964087	0.0650964087	0.1177166051	0.552993	0.5607740667	2.535702	0.237937
93	0.0526112342	0.4401306210	0.3875193868	0.1071407687	0.0106371775	-0.0651667120	0.0651667120	0.1177779462	0.553301	0.5598693790	2.537664	0.238466
94	0.0526024307	0.4408664438	0.3882640132	0.1071749884	0.0106634776	-0.0652360353	0.0652360353	0.1178384660	0.553606	0.5591335562	2.540309	0.238988
95	0.0525937823	0.4414398322	0.3888460499	0.1072087359	0.0106894435	-0.0653043971	0.0653043971	0.1178981794	0.553905	0.5585601678	2.543614	0.239506
