band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.786461285334856e-1
1	2	[2,4)	[4,8)	3.024086157732718e-1
1	3	[2,4)	[8,16)	-1.482083721866446e-1
1	4	[2,4)	[16,32)	2.671077288827550e-1
1	5	[2,4)	[32,64)	-1.763178147726221e-1
1	6	[2,4)	[64,128)	3.770678515085286e-2
1	7	[2,4)	[128,256)	-1.095782722946209e-2
1	8	[2,4)	[256,512)	1.827953405667300e-2
1	9	[2,4)	[512,1024)	-6.665633514949221e-3
1	10	[2,4)	[1024,2048)	-6.491231793001132e-3
1	11	[2,4)	[2048,4096)	6.711637479852687e-3
1	12	[2,4)	[4096,8192)	-2.116858717732800e-3
2	1	[4,8)	[2,4)	3.024086157732719e-1
2	2	[4,8)	[4,8)	3.919494321148550e-4
2	3	[4,8)	[8,16)	1.806615425193864e-2
2	4	[4,8)	[16,32)	1.515673118626992e-1
2	5	[4,8)	[32,64)	-9.115068134876744e-2
2	6	[4,8)	[64,128)	1.799474659254802e-2
2	7	[4,8)	[128,256)	-4.836511831580818e-3
2	8	[4,8)	[256,512)	7.873602362208970e-3
2	9	[4,8)	[512,1024)	-2.851711431899720e-3
2	10	[4,8)	[1024,2048)	-2.772270975186788e-3
2	11	[4,8)	[2048,4096)	2.867300999162488e-3
2	12	[4,8)	[4096,8192)	-9.052726769129681e-4
3	1	[8,16)	[2,4)	-1.482083721866446e-1
3	2	[8,16)	[4,8)	1.806615425193862e-2
3	3	[8,16)	[8,16)	2.714737370220540e-4
3	4	[8,16)	[16,32)	-7.511361259453654e-4
3	5	[8,16)	[32,64)	5.057388241452559e-3
3	6	[8,16)	[64,128)	9.686219633016568e-2
3	7	[8,16)	[128,256)	6.154164838700688e-3
3	8	[8,16)	[256,512)	-8.029023028840848e-3
3	9	[8,16)	[512,1024)	2.703065340085489e-3
3	10	[8,16)	[1024,2048)	2.274373202096498e-3
3	11	[8,16)	[2048,4096)	-2.341637905542738e-3
3	12	[8,16)	[4096,8192)	7.352556139791717e-4
4	1	[16,32)	[2,4)	2.671077288827550e-1
4	2	[16,32)	[4,8)	1.515673118626992e-1
4	3	[16,32)	[8,16)	-7.511361259453654e-4
4	4	[16,32)	[16,32)	1.995826082567734e-3
4	5	[16,32)	[32,64)	-1.826920521084745e-3
