omega_j	omega_k	Q_value
1	1	3.456104535276885e1
1	2	-4.890345921591760e1
1	3	2.296610122912607e1
1	4	-3.743518848635431e0
1	5	1.112564592690740e-1
2	1	-4.890345921591760e1
2	2	7.598475496040034e1
2	3	-3.741837099597587e1
2	4	6.403214952946353e0
2	5	-2.029037877839509e-1
3	1	2.296610122912607e1
3	2	-3.741837099597587e1
3	3	1.895853412584022e1
3	4	-3.258788410301885e0
3	5	1.045937301702178e-1
4	1	-3.743518848635431e0
4	2	6.403214952946353e0
4	3	-3.258788410301885e0
4	4	5.559233889181654e-1
4	5	-1.788997060889629e-2
5	1	1.112564592690740e-1
5	2	-2.029037877839509e-1
5	3	1.045937301702178e-1
5	4	-1.788997060889629e-2
5	5	5.059590867008555e-4
