band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	8.027966625778912e-1
1	2	[2,4)	[4,8)	2.156697778344893e-1
1	3	[2,4)	[8,16)	-8.547008859997821e-2
1	4	[2,4)	[16,32)	1.266088443728072e-1
1	5	[2,4)	[32,64)	-6.537179365227552e-2
1	6	[2,4)	[64,128)	8.878052151005646e-3
2	1	[4,8)	[2,4)	2.156697778344893e-1
2	2	[4,8)	[4,8)	8.787500229172206e-3
2	3	[4,8)	[8,16)	1.177607882982870e-3
2	4	[4,8)	[16,32)	6.256320084864385e-2
2	5	[4,8)	[32,64)	-2.953460942199162e-2
2	6	[4,8)	[64,128)	3.639560178884329e-3
3	1	[8,16)	[2,4)	-8.547008859997818e-2
3	2	[8,16)	[4,8)	1.177607882982872e-3
3	3	[8,16)	[8,16)	9.350917328677603e-3
3	4	[8,16)	[16,32)	-1.445696240009151e-2
3	5	[8,16)	[32,64)	1.207763021524744e-2
3	6	[8,16)	[64,128)	1.050833248404816e-2
4	1	[16,32)	[2,4)	1.266088443728072e-1
4	2	[16,32)	[4,8)	6.256320084864385e-2
4	3	[16,32)	[8,16)	-1.445696240009151e-2
4	4	[16,32)	[16,32)	5.996517976212760e-2
4	5	[16,32)	[32,64)	-2.684097434402205e-2
4	6	[16,32)	[64,128)	3.684871974899681e-3
5	1	[32,64)	[2,4)	-6.537179365227552e-2
5	2	[32,64)	[4,8)	-2.953460942199163e-2
5	3	[32,64)	[8,16)	1.207763021524744e-2
5	4	[32,64)	[16,32)	-2.684097434402205e-2
5	5	[32,64)	[32,64)	2.672329974548313e-2
5	6	[32,64)	[64,128)	-2.794404346324125e-3
6	1	[64,128)	[2,4)	8.878052151005645e-3
6	2	[64,128)	[4,8)	3.639560178884328e-3
6	3	[64,128)	[8,16)	1.050833248404816e-2
6	4	[64,128)	[16,32)	3.684871974899679e-3
6	5	[64,128)	[32,64)	-2.794404346324124e-3
6	6	[64,128)	[64,128)	1.055781475098282e-3
