d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.702551933926653e0	1.702551933926653e0	97.4947	1.000000	1
2	3.075473734790460e-1	3.075473734790460e-1	115.1061	1.500000	2 (prime)
3	1.438687857490883e-1	1.438687857490883e-1	123.3445	1.333333	3 (prime)
5	-2.141947057495856e-1	2.141947057495856e-1	135.6102	1.200000	5 (prime)
6	-6.006186666607646e-2	6.006186666607646e-2	139.0495	2.000000	2·3
7	-9.823663954878649e-2	9.823663954878649e-2	144.6750	1.142857	7 (prime)
10	-1.609911514489946e-2	1.609911514489946e-2	145.5968	1.800000	2·5
11	-3.913550171688064e-2	3.913550171688064e-2	147.8379	1.090909	11 (prime)
13	2.246641048084792e-2	2.246641048084792e-2	149.1244	1.076923	13 (prime)
14	5.490068093808432e-3	5.490068093808432e-3	149.4388	1.714286	2·7
15	-2.737482291636927e-2	2.737482291636927e-2	151.0064	1.600000	3·5
17	6.300406307973222e-3	6.300406307973222e-3	151.3672	1.058824	17 (prime)
19	1.628277029578478e-2	1.628277029578478e-2	152.2996	1.052632	19 (prime)
21	1.583667158028873e-2	1.583667158028873e-2	153.2065	1.523810	3·7
22	2.751545227064747e-3	2.751545227064747e-3	153.3640	1.636364	2·11
23	-3.761095453518519e-3	3.761095453518519e-3	153.5794	1.043478	23 (prime)
26	4.197679046344207e-3	4.197679046344207e-3	153.8198	1.615385	2·13
