M	S_M	sum_abs	cancel_ratio	ln_M
35	1.581672319124058e0	2.109388857522305e1	0.07498249	3.555348
71	1.712251608222503e0	2.817049032795019e1	0.06078175	4.262680
107	1.715869748836795e0	3.296256668084229e1	0.05205510	4.672829
143	1.676698998171107e0	3.658572695957597e1	0.04582932	4.962845
182	1.723516964739528e0	3.940178419500285e1	0.04374210	5.204007
215	1.716959167429975e0	4.161769455152648e1	0.04125551	5.370638
253	1.728815010158084e0	4.357244386580730e1	0.03967680	5.533389
287	1.754308110609090e0	4.513100035390163e1	0.03887147	5.659482
323	1.743978441756192e0	4.641675064233340e1	0.03757218	5.777652
365	1.733012775610393e0	4.747873116408631e1	0.03650082	5.899897
399	1.726727064204977e0	4.835952763631004e1	0.03570604	5.988961
434	1.747208326410305e0	4.914001410168871e1	0.03555571	6.073045
467	1.752709368283770e0	4.980006251400921e1	0.03519492	6.146329
503	1.744105045632167e0	5.033303111465428e1	0.03465130	6.220590
542	1.743485617653130e0	5.077027406661059e1	0.03434068	6.295266
579	1.742801572219145e0	5.109952240840626e1	0.03410602	6.361302
614	1.741385505656752e0	5.134233992258996e1	0.03391714	6.419995
651	1.743963551140439e0	5.150612350183984e1	0.03385934	6.478510
685	1.745835894142970e0	5.160179029783867e1	0.03383286	6.529419
719	1.746301822037879e0	5.163291475305640e1	0.03382148	6.577861
