omega_j	omega_k	Q_value
1	1	7.835705269132980e1
1	2	-1.375733659888544e2
1	3	8.557140842124008e1
1	4	-2.098357539796453e1
1	5	1.591316230490431e0
1	6	-8.268426772235955e-3
2	1	-1.375733659888544e2
2	2	2.561575979534709e2
2	3	-1.650333929232258e2
2	4	4.145613322693324e1
2	5	-3.231726256856320e0
2	6	1.696949798193270e-2
3	1	8.557140842124008e1
3	2	-1.650333929232258e2
3	3	1.086390460868340e2
3	4	-2.755616164893647e1
3	5	2.175756285086578e0
3	6	-1.200020579076325e-2
4	1	-2.098357539796453e1
4	2	4.145613322693324e1
4	3	-2.755616164893647e1
4	4	6.886832265018247e0
4	5	-5.372965636071779e-1
4	6	2.927989412690545e-3
5	1	1.591316230490431e0
5	2	-3.231726256856320e0
5	3	2.175756285086578e0
5	4	-5.372965636071779e-1
5	5	4.060550291875552e-2
5	6	-2.046261575276822e-4
6	1	-8.268426772235955e-3
6	2	1.696949798193270e-2
6	3	-1.200020579076325e-2
6	4	2.927989412690544e-3
6	5	-2.046261575276822e-4
6	6	1.044289062967589e-6
