d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.520990637194540e0	1.520990637194540e0	85.4086	1.000000	1
2	5.408348530511217e-1	5.408348530511217e-1	115.7782	1.500000	2 (prime)
3	1.987550726205576e-1	1.987550726205576e-1	126.9389	1.333333	3 (prime)
5	-2.586358745711248e-1	2.586358745711248e-1	141.4622	1.200000	5 (prime)
6	-8.099508849986982e-2	8.099508849986982e-2	146.0103	2.000000	2·3
7	-7.330273949811260e-2	7.330273949811260e-2	150.1265	1.142857	7 (prime)
10	-1.943786676958605e-2	1.943786676958605e-2	151.2180	1.800000	2·5
11	-5.717079625951277e-2	5.717079625951277e-2	154.4283	1.090909	11 (prime)
13	2.819380257745281e-2	2.819380257745281e-2	156.0115	1.076923	13 (prime)
14	-9.841501616398450e-3	9.841501616398450e-3	156.5641	1.714286	2·7
15	-3.868889861666958e-2	3.868889861666958e-2	158.7366	1.600000	3·5
17	-2.362147514470336e-2	2.362147514470336e-2	160.0631	1.058824	17 (prime)
19	1.063440828829955e-2	1.063440828829955e-2	160.6602	1.052632	19 (prime)
21	1.265645772685921e-2	1.265645772685921e-2	161.3709	1.523810	3·7
22	-1.332689218159639e-3	1.332689218159639e-3	161.4458	1.636364	2·11
23	-2.305389698676502e-2	2.305389698676502e-2	162.7403	1.043478	23 (prime)
26	5.720061786191335e-3	5.720061786191335e-3	163.0615	1.615385	2·13
29	1.795276889934156e-2	1.795276889934156e-2	164.0696	1.034483	29 (prime)
30	-2.861884370653132e-3	2.861884370653132e-3	164.2303	2.400000	2·3·5
31	1.097270586227365e-2	1.097270586227365e-2	164.8465	1.032258	31 (prime)
33	-9.254247672073484e-3	9.254247672073484e-3	165.3661	1.454545	3·11
34	7.873051816870025e-3	7.873051816870025e-3	165.8082	1.588235	2·17
35	-5.305966739025083e-3	5.305966739025083e-3	166.1062	1.371429	5·7
37	-3.384724465838696e-3	3.384724465838696e-3	166.2962	1.027027	37 (prime)
38	5.580543975182211e-3	5.580543975182211e-3	166.6096	1.578947	2·19
39	-6.099393463758820e-3	6.099393463758820e-3	166.9521	1.435897	3·13
41	6.106548987338479e-3	6.106548987338479e-3	167.2950	1.024390	41 (prime)
42	9.443017123705954e-4	9.443017123705954e-4	167.3480	2.285714	2·3·7
43	7.128910632806160e-3	7.128910632806160e-3	167.7483	1.023256	43 (prime)
46	2.170814790496426e-3	2.170814790496426e-3	167.8702	1.565217	2·23
47	-2.323418734901848e-3	2.323418734901848e-3	168.0007	1.021277	47 (prime)
51	5.518467618404366e-3	5.518467618404366e-3	168.3106	1.411765	3·17
53	3.885186528887603e-3	3.885186528887603e-3	168.5288	1.018868	53 (prime)
55	1.483400118215053e-3	1.483400118215053e-3	168.6121	1.309091	5·11
57	1.438438658340047e-3	1.438438658340047e-3	168.6928	1.403509	3·19
58	4.644566501001980e-3	4.644566501001980e-3	168.9536	1.551724	2·29
59	1.268803111956440e-3	1.268803111956440e-3	169.0249	1.016949	59 (prime)
61	-1.278310404911707e-3	1.278310404911707e-3	169.0967	1.016393	61 (prime)
62	2.689494772074855e-3	2.689494772074855e-3	169.2477	1.548387	2·31
65	1.049365518270710e-3	1.049365518270710e-3	169.3066	1.292308	5·13
66	1.149655085803280e-3	1.149655085803280e-3	169.3712	2.181818	2·3·11
67	4.179588932706955e-3	4.179588932706955e-3	169.6059	1.014925	67 (prime)
69	3.106813103683972e-3	3.106813103683972e-3	169.7803	1.391304	3·23
70	1.405585634462442e-3	1.405585634462442e-3	169.8592	2.057143	2·5·7
71	2.775073467432446e-3	2.775073467432446e-3	170.0151	1.014085	71 (prime)
