band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.039030859162620e-1
1	2	[2,4)	[4,8)	2.650765747975218e-1
1	3	[2,4)	[8,16)	-1.210446745190119e-1
1	4	[2,4)	[16,32)	2.061089220202651e-1
1	5	[2,4)	[32,64)	-1.280677604921135e-1
1	6	[2,4)	[64,128)	2.510366669690985e-2
1	7	[2,4)	[128,256)	-5.146490840413683e-3
1	8	[2,4)	[256,512)	6.119789583453763e-3
1	9	[2,4)	[512,1024)	-1.691792578967765e-3
2	1	[4,8)	[2,4)	2.650765747975219e-1
2	2	[4,8)	[4,8)	2.566004678247834e-3
2	3	[4,8)	[8,16)	1.087376522120912e-2
2	4	[4,8)	[16,32)	1.110091058616401e-1
2	5	[4,8)	[32,64)	-6.289007826348095e-2
2	6	[4,8)	[64,128)	1.135049587279681e-2
2	7	[4,8)	[128,256)	-2.168160914971391e-3
2	8	[4,8)	[256,512)	2.507516289137419e-3
2	9	[4,8)	[512,1024)	-6.882195031726660e-4
3	1	[8,16)	[2,4)	-1.210446745190119e-1
3	2	[8,16)	[4,8)	1.087376522120907e-2
3	3	[8,16)	[8,16)	1.645140918269607e-3
3	4	[8,16)	[16,32)	-4.131477133881415e-3
3	5	[8,16)	[32,64)	7.578672587563125e-3
3	6	[8,16)	[64,128)	5.399652226036981e-2
3	7	[8,16)	[128,256)	2.653696281829881e-3
3	8	[8,16)	[256,512)	-2.429603696755235e-3
3	9	[8,16)	[512,1024)	5.868337064114799e-4
4	1	[16,32)	[2,4)	2.061089220202651e-1
4	2	[16,32)	[4,8)	1.110091058616401e-1
4	3	[16,32)	[8,16)	-4.131477133881416e-3
4	4	[16,32)	[16,32)	1.373137813891387e-2
4	5	[16,32)	[32,64)	-1.249811942606529e-2
4	6	[16,32)	[64,128)	-1.361954223475275e-2
4	7	[16,32)	[128,256)	4.012968856861664e-2
4	8	[16,32)	[256,512)	2.095849320113676e-2
4	9	[16,32)	[512,1024)	-4.159092198807298e-3
5	1	[32,64)	[2,4)	-1.280677604921135e-1
5	2	[32,64)	[4,8)	-6.289007826348095e-2
5	3	[32,64)	[8,16)	7.578672587563135e-3
5	4	[32,64)	[16,32)	-1.249811942606529e-2
5	5	[32,64)	[32,64)	1.423632954872050e-2
5	6	[32,64)	[64,128)	7.008991974397177e-3
5	7	[32,64)	[128,256)	-6.469551326318209e-4
5	8	[32,64)	[256,512)	-8.747688833918073e-3
5	9	[32,64)	[512,1024)	1.071826809399836e-2
6	1	[64,128)	[2,4)	2.510366669690986e-2
6	2	[64,128)	[4,8)	1.135049587279679e-2
6	3	[64,128)	[8,16)	5.399652226036979e-2
6	4	[64,128)	[16,32)	-1.361954223475275e-2
6	5	[64,128)	[32,64)	7.008991974397168e-3
6	6	[64,128)	[64,128)	-7.887301793204271e-3
6	7	[64,128)	[128,256)	-1.081701273952300e-3
6	8	[64,128)	[256,512)	-1.974927526527059e-3
6	9	[64,128)	[512,1024)	-1.902045125309591e-3
7	1	[128,256)	[2,4)	-5.146490840413685e-3
7	2	[128,256)	[4,8)	-2.168160914971386e-3
7	3	[128,256)	[8,16)	2.653696281829886e-3
7	4	[128,256)	[16,32)	4.012968856861666e-2
7	5	[128,256)	[32,64)	-6.469551326318200e-4
7	6	[128,256)	[64,128)	-1.081701273952299e-3
7	7	[128,256)	[128,256)	-1.786896335444662e-3
7	8	[128,256)	[256,512)	2.725745256157288e-3
7	9	[128,256)	[512,1024)	5.264338258399449e-5
8	1	[256,512)	[2,4)	6.119789583453765e-3
8	2	[256,512)	[4,8)	2.507516289137420e-3
8	3	[256,512)	[8,16)	-2.429603696755236e-3
8	4	[256,512)	[16,32)	2.095849320113675e-2
8	5	[256,512)	[32,64)	-8.747688833918077e-3
8	6	[256,512)	[64,128)	-1.974927526527060e-3
8	7	[256,512)	[128,256)	2.725745256157288e-3
8	8	[256,512)	[256,512)	-2.381523172231897e-3
8	9	[256,512)	[512,1024)	-4.232029285106814e-4
9	1	[512,1024)	[2,4)	-1.691792578967765e-3
9	2	[512,1024)	[4,8)	-6.882195031726662e-4
9	3	[512,1024)	[8,16)	5.868337064114802e-4
9	4	[512,1024)	[16,32)	-4.159092198807298e-3
9	5	[512,1024)	[32,64)	1.071826809399836e-2
9	6	[512,1024)	[64,128)	-1.902045125309591e-3
9	7	[512,1024)	[128,256)	5.264338258399438e-5
9	8	[512,1024)	[256,512)	-4.232029285106815e-4
9	9	[512,1024)	[512,1024)	-2.201139271637084e-4
