M	S_M	sum_abs	cancel_ratio	ln_M
381	2.104240577973363e0	1.254333145508114e2	0.01677577	5.942799
754	2.148582879685275e0	1.644091520525977e2	0.01306851	6.625392
1131	2.171195525033430e0	1.909891587381246e2	0.01136816	7.030857
1502	2.073087657041553e0	2.107185596856986e2	0.00983818	7.314553
1887	2.003841618580156e0	2.269660148328867e2	0.00882882	7.542744
2262	1.983122285024971e0	2.404461872237292e2	0.00824768	7.724005
2634	1.951053574363053e0	2.518153592143391e2	0.00774795	7.876259
3013	1.977480730700094e0	2.615110694859403e2	0.00756175	8.010692
3386	1.955524898022292e0	2.697028987400050e2	0.00725066	8.127405
3769	1.970764611297812e0	2.767809141871596e2	0.00712031	8.234565
4142	1.976873503366911e0	2.826693549758727e2	0.00699359	8.328934
4519	1.982357447323487e0	2.877634748771665e2	0.00688884	8.416046
4893	1.984556003888615e0	2.920473906512615e2	0.00679532	8.495561
5277	1.985909985797397e0	2.956037836798708e2	0.00671815	8.571113
5655	1.979602319133524e0	2.984897120616488e2	0.00663206	8.640295
6031	1.985556132089775e0	3.007491318084486e2	0.00660203	8.704668
6403	1.990831112917560e0	3.024516197983130e2	0.00658231	8.764522
6779	1.989828890504847e0	3.036190596349866e2	0.00655370	8.821585
7162	1.990162662576692e0	3.043021695672534e2	0.00654009	8.876545
7534	1.990281142112035e0	3.045431145937411e2	0.00653530	8.927181
