band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.258441737859984e-1
1	2	[2,4)	[4,8)	2.759691331781897e-1
1	3	[2,4)	[8,16)	-1.289475843641855e-1
1	4	[2,4)	[16,32)	2.238322370306235e-1
1	5	[2,4)	[32,64)	-1.420754458707707e-1
1	6	[2,4)	[64,128)	2.875963353756983e-2
1	7	[2,4)	[128,256)	-6.830116344252412e-3
1	8	[2,4)	[256,512)	9.641001057195595e-3
1	9	[2,4)	[512,1024)	-4.010782990403842e-3
1	10	[2,4)	[1024,2048)	4.589000686278057e-4
2	1	[4,8)	[2,4)	2.759691331781897e-1
2	2	[4,8)	[4,8)	1.673085559075771e-3
2	3	[4,8)	[8,16)	1.306866869369848e-2
2	4	[4,8)	[16,32)	1.225252441540798e-1
2	5	[4,8)	[32,64)	-7.089005048971299e-2
2	6	[4,8)	[64,128)	1.322581564901072e-2
2	7	[4,8)	[128,256)	-2.917317856509883e-3
2	8	[4,8)	[256,512)	4.011077381327817e-3
2	9	[4,8)	[512,1024)	-1.656285520372233e-3
2	10	[4,8)	[1024,2048)	1.890348683738879e-4
3	1	[8,16)	[2,4)	-1.289475843641855e-1
3	2	[8,16)	[4,8)	1.306866869369849e-2
3	3	[8,16)	[8,16)	1.081567062790543e-3
3	4	[8,16)	[16,32)	-2.820664673783673e-3
3	5	[8,16)	[32,64)	6.649998091967698e-3
3	6	[8,16)	[64,128)	6.585021841793108e-2
3	7	[8,16)	[128,256)	3.598046331129152e-3
3	8	[8,16)	[256,512)	-3.930280156395925e-3
3	9	[8,16)	[512,1024)	1.440022834530702e-3
3	10	[8,16)	[1024,2048)	-1.518063561282179e-4
4	1	[16,32)	[2,4)	2.238322370306235e-1
4	2	[16,32)	[4,8)	1.225252441540798e-1
4	3	[16,32)	[8,16)	-2.820664673783672e-3
4	4	[16,32)	[16,32)	8.078777934795795e-3
4	5	[16,32)	[32,64)	-7.273190131557892e-3
4	6	[16,32)	[64,128)	-2.007456193888003e-2
4	7	[16,32)	[128,256)	5.941864698589273e-2
4	8	[16,32)	[256,512)	3.567804499035612e-2
4	9	[16,32)	[512,1024)	-1.025128608964146e-2
4	10	[16,32)	[1024,2048)	4.875202430314847e-4
5	1	[32,64)	[2,4)	-1.420754458707707e-1
5	2	[32,64)	[4,8)	-7.089005048971299e-2
5	3	[32,64)	[8,16)	6.649998091967686e-3
5	4	[32,64)	[16,32)	-7.273190131557890e-3
5	5	[32,64)	[32,64)	1.283130718365072e-2
5	6	[32,64)	[64,128)	-3.073489793413784e-3
5	7	[32,64)	[128,256)	2.941770414528899e-3
5	8	[32,64)	[256,512)	6.088641416658507e-3
5	9	[32,64)	[512,1024)	1.206221794191267e-2
5	10	[32,64)	[1024,2048)	-8.817339019573288e-4
6	1	[64,128)	[2,4)	2.875963353756984e-2
6	2	[64,128)	[4,8)	1.322581564901072e-2
6	3	[64,128)	[8,16)	6.585021841793108e-2
6	4	[64,128)	[16,32)	-2.007456193888002e-2
6	5	[64,128)	[32,64)	-3.073489793413792e-3
6	6	[64,128)	[64,128)	-8.386448993797809e-3
6	7	[64,128)	[128,256)	-1.588105118223884e-2
6	8	[64,128)	[256,512)	-9.740436411123800e-3
6	9	[64,128)	[512,1024)	-1.235935580304353e-2
6	10	[64,128)	[1024,2048)	-8.210702799476038e-4
7	1	[128,256)	[2,4)	-6.830116344252403e-3
7	2	[128,256)	[4,8)	-2.917317856509871e-3
7	3	[128,256)	[8,16)	3.598046331129156e-3
7	4	[128,256)	[16,32)	5.941864698589272e-2
7	5	[128,256)	[32,64)	2.941770414528896e-3
7	6	[128,256)	[64,128)	-1.588105118223884e-2
7	7	[128,256)	[128,256)	-4.123129694327748e-3
7	8	[128,256)	[256,512)	4.634076797718048e-4
7	9	[128,256)	[512,1024)	-8.795437586585395e-3
7	10	[128,256)	[1024,2048)	-6.733992487491349e-4
8	1	[256,512)	[2,4)	9.641001057195593e-3
8	2	[256,512)	[4,8)	4.011077381327818e-3
8	3	[256,512)	[8,16)	-3.930280156395930e-3
8	4	[256,512)	[16,32)	3.567804499035612e-2
8	5	[256,512)	[32,64)	6.088641416658509e-3
8	6	[256,512)	[64,128)	-9.740436411123803e-3
8	7	[256,512)	[128,256)	4.634076797718061e-4
8	8	[256,512)	[256,512)	1.594064327393424e-3
8	9	[256,512)	[512,1024)	-2.864721209168029e-3
8	10	[256,512)	[1024,2048)	3.126498007515079e-4
9	1	[512,1024)	[2,4)	-4.010782990403842e-3
9	2	[512,1024)	[4,8)	-1.656285520372234e-3
9	3	[512,1024)	[8,16)	1.440022834530702e-3
9	4	[512,1024)	[16,32)	-1.025128608964145e-2
9	5	[512,1024)	[32,64)	1.206221794191267e-2
9	6	[512,1024)	[64,128)	-1.235935580304353e-2
9	7	[512,1024)	[128,256)	-8.795437586585395e-3
