N	max_fN	max_x	integral_f2	integral_1mf2	integral_1mf2_logN
10	8.372479540879512e-1	5.262500000000000e-2	1.364798360115255e-1	4.855905861439491e-1	1.118113644953298e0
20	1.089663214281346e0	5.262500000000000e-2	2.471355274369299e-1	2.985596177094043e-1	8.944046823520041e-1
50	1.414831642237015e0	8.825000000000000e-3	3.725853993782302e-1	1.776797130049419e-1	6.950871248732031e-1
100	1.790028129252458e0	8.825000000000000e-3	4.438276883982482e-1	1.312220495095494e-1	6.042998701456302e-1
