N	bt_v	vt_Gv	d_sq_N	bias_sq	vt_Cv	d_sq_logN	vt_Cv_logN
10	2.928331358345224e-1	1.509581243835375e-1	5.652918527144928e-1	5.000849737736351e-1	6.520687894085768e-2	1.301632593251377e0	1.501443874098863e-1
20	4.418550704217352e-1	2.592172212952229e-1	3.755070804517526e-1	3.115257624139262e-1	6.398131803782636e-2	1.124918679857350e0	1.916708993504386e-1
50	5.653030726489687e-1	3.826619326513672e-1	2.520557873534297e-1	1.889614186484277e-1	6.309436870500196e-2	9.860480387779216e-1	2.468266218869333e-1
100	6.244822107319362e-1	4.529320707000213e-1	2.039676492361489e-1	1.410136100567739e-1	6.295403917937493e-2	9.393057371683895e-1	2.899140643163837e-1
200	6.712015349999930e-1	5.131441942290006e-1	1.707411242290146e-1	1.081084305863608e-1	6.263269364265375e-2	9.046406636865235e-1	3.318478884405552e-1
300	6.921361891270952e-1	5.410592978087660e-1	1.567869195545758e-1	9.478012604518773e-2	6.200679350938806e-2	8.942784840107210e-1	3.536732621284734e-1
500	7.149119736162131e-1	5.721197490840934e-1	1.422958018516671e-1	8.127518278740277e-2	6.102061906426435e-2	8.843126425588500e-1	3.792192334075128e-1
750	7.302786985456700e-1	5.933607858485470e-1	1.328033887572072e-1	7.274958045821761e-2	6.005380829898960e-2	8.791681556480222e-1	3.975606072702514e-1
1000	7.396355359848865e-1	6.061075008498532e-1	1.268364288800802e-1	6.778965412187733e-2	5.904677475820286e-2	8.761550111636163e-1	4.078806700428450e-1
