a	b	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM	two_tile_rows	total_correction	ftc_bounded
7	12	1.032003585973751e-1	3.177178716880365e-2	-3.585603e-7	2.509922e-1	1.998069e-2	1.398648e4	50000	-1.998105e-2	true
11	12	9.367009205790590e-2	1.791251630033014e-2	-2.278456e-7	2.506302e-1	3.325170e-2	3.657687e4	83333	-3.325192e-2	true
1	13	1.094881333946786e-1	1.094881333946786e-1	-2.564113e-6	2.564113e-1	-2.564113e-6	2.564113e-1	0	0.000000e0	true
2	13	1.202784805416941e-1	8.181694208015566e-2	-1.266027e-6	2.532055e-1	5.103467e-3	1.020693e3	7692	-5.104733e-3	true
3	13	1.173021782651799e-1	6.602012698312866e-2	-8.404487e-7	2.521346e-1	9.230932e-3	2.769280e3	15384	-9.231772e-3	true
4	13	1.127541636202808e-1	5.506185592797307e-2	-6.290055e-7	2.516022e-1	1.279759e-2	5.119036e3	23077	-1.279822e-2	true
5	13	1.072344701549426e-1	4.569600861648110e-2	-5.025643e-7	2.512821e-1	1.396480e-2	6.982399e3	30769	-1.396530e-2	true
6	13	1.042173595919240e-1	4.011479548935989e-2	-4.184449e-7	2.510670e-1	1.874387e-2	1.124632e4	38461	-1.874428e-2	true
7	13	9.987728792142402e-2	3.394322198735808e-2	-3.584501e-7	2.509150e-1	1.259357e-2	8.815500e3	46154	-1.259393e-2	true
8	13	9.423098820867080e-2	2.692329590097850e-2	-3.135016e-7	2.508013e-1	2.065239e-2	1.652191e4	53846	-2.065270e-2	true
9	13	9.091992395412843e-2	2.254385557806005e-2	-2.785681e-7	2.507113e-1	2.273078e-2	2.045770e4	61538	-2.273106e-2	true
10	13	8.830594097955301e-2	1.907517174878377e-2	-2.506405e-7	2.506405e-1	2.624046e-2	2.624046e4	69231	-2.624071e-2	true
11	13	8.692319913100360e-2	1.699312920093367e-2	-2.278026e-7	2.505829e-1	2.892221e-2	3.181443e4	76923	-2.892244e-2	true
12	13	8.709438164205288e-2	1.658156112923237e-2	-2.087774e-7	2.505329e-1	3.087044e-2	3.704452e4	84615	-3.087064e-2	true
1	14	1.042605257355054e-1	1.042605257355054e-1	-2.559504e-6	2.559504e-1	-2.559504e-6	2.559504e-1	0	0.000000e0	true
3	14	1.115233935127542e-1	6.390434589370660e-2	-8.399498e-7	2.519849e-1	6.631169e-3	1.989351e3	14286	-6.632009e-3	true
5	14	1.029032117351571e-1	4.576035459229994e-2	-5.023818e-7	2.511909e-1	9.245011e-3	4.622505e3	28572	-9.245513e-3	true
9	14	8.699650998634427e-2	2.350444649428078e-2	-2.785121e-7	2.506609e-1	2.143856e-2	1.929470e4	57143	-2.143883e-2	true
11	14	8.211193868530307e-2	1.717687375023814e-2	-2.277648e-7	2.505413e-1	2.536015e-2	2.789617e4	71429	-2.536038e-2	true
13	14	8.138311819305660e-2	1.544905225899067e-2	-1.926604e-7	2.504585e-1	2.880140e-2	3.744182e4	85715	-2.880159e-2	true
1	15	9.956611045250592e-2	9.956611045250592e-2	-2.555572e-6	2.555572e-1	-2.555572e-6	2.555572e-1	0	0.000000e0	true
2	15	1.090342416824683e-1	7.570090834913495e-2	-1.263894e-6	2.527788e-1	3.867665e-3	7.735330e2	6667	-3.868929e-3	true
4	15	1.023735226469430e-1	5.237352264694303e-2	-6.284727e-7	2.513891e-1	7.102848e-3	2.841139e3	20000	-7.103476e-3	true
7	15	9.180933722468813e-2	3.466648008183099e-2	-3.582769e-7	2.507938e-1	1.660699e-2	1.162490e4	40000	-1.660735e-2	true
8	15	8.834916598261366e-2	3.001583264928033e-2	-3.133687e-7	2.506950e-1	1.012047e-2	8.096378e3	46667	-1.012079e-2	true
11	15	7.836496035881071e-2	1.775889975275011e-2	-2.277321e-7	2.505053e-1	2.243194e-2	2.467514e4	66667	-2.243217e-2	true
13	15	7.600551672831049e-2	1.446705518984895e-2	-1.926358e-7	2.504265e-1	2.559968e-2	3.327959e4	80000	-2.559988e-2	true
14	15	7.637667392936624e-2	1.447191202460434e-2	-1.788554e-7	2.503976e-1	2.698817e-2	3.778344e4	86667	-2.698835e-2	true
1	16	9.532438929047633e-2	9.532438929047633e-2	-2.552012e-6	2.552012e-1	-2.552012e-6	2.552012e-1	0	0.000000e0	true
3	16	1.018519949510583e-1	6.018532828439162e-2	-8.391116e-7	2.517335e-1	6.235855e-3	1.870757e3	12500	-6.236694e-3	true
5	16	9.445854581883949e-2	4.445854581883948e-2	-5.020798e-7	2.510399e-1	1.096371e-2	5.481857e3	25000	-1.096422e-2	true
7	16	8.702009964081354e-2	3.344867106938498e-2	-3.582038e-7	2.507427e-1	1.404925e-2	9.834476e3	37500	-1.404961e-2	true
9	16	8.090806583765332e-2	2.535251028209777e-2	-2.784195e-7	2.505775e-1	1.330566e-2	1.197509e4	50000	-1.330594e-2	true
11	16	7.538809441526810e-2	1.856991259708628e-2	-2.277022e-7	2.504725e-1	1.809351e-2	1.990286e4	62500	-1.809374e-2	true
13	16	7.209543796826984e-2	1.440313027596214e-2	-1.926152e-7	2.503997e-1	2.260805e-2	2.939047e4	75000	-2.260825e-2	true
15	16	7.195229409422206e-2	1.361896076088873e-2	-1.668976e-7	2.503464e-1	2.538685e-2	3.808027e4	87500	-2.538701e-2	true
1	17	9.147052600520057e-2	9.147052600520057e-2	-2.549042e-6	2.549042e-1	-2.549042e-6	2.549042e-1	0	0.000000e0	true
2	17	9.990346926292633e-2	7.049170455704398e-2	-1.262255e-6	2.524510e-1	3.031898e-3	6.063795e2	5882	-3.033160e-3	true
3	17	9.761792663785623e-2	5.840224036334643e-2	-8.387744e-7	2.516323e-1	4.548131e-3	1.364439e3	11765	-4.548970e-3	true
4	17	9.415258011696510e-2	5.003493305814157e-2	-6.280643e-7	2.512257e-1	7.796595e-3	3.118638e3	17647	-7.797223e-3	true
5	17	9.015429045486339e-2	4.309546692545163e-2	-5.019598e-7	2.509799e-1	8.891877e-3	4.445938e3	23529	-8.892379e-3	true
6	17	8.725666937286533e-2	3.823706152972808e-2	-4.180270e-7	2.508162e-1	6.964716e-3	4.178829e3	29412	-6.965134e-3	true
7	17	8.338370457076312e-2	3.296353650353623e-2	-3.581431e-7	2.507002e-1	1.165006e-2	8.155044e3	35294	-1.165042e-2	true
8	17	8.202168939566211e-2	3.055110116036799e-2	-3.132642e-7	2.506114e-1	1.488713e-2	1.190970e4	41176	-1.488744e-2	true
9	17	7.920570419245916e-2	2.691812249311275e-2	-2.783822e-7	2.505440e-1	8.330754e-3	7.497679e3	47059	-8.331032e-3	true
10	17	7.506328619597455e-2	2.212210972538631e-2	-2.504899e-7	2.504899e-1	1.472294e-2	1.472294e4	52941	-1.472320e-2	true
11	17	7.268846998346885e-2	1.921253415459185e-2	-2.276769e-7	2.504446e-1	1.801793e-2	1.981972e4	58823	-1.801815e-2	true
12	17	7.055685025805587e-2	1.663528163060489e-2	-2.086738e-7	2.504086e-1	1.843214e-2	2.211856e4	64706	-1.843235e-2	true
13	17	6.902502718188108e-2	1.472638464794443e-2	-1.925974e-7	2.503766e-1	1.984436e-2	2.579766e4	70588	-1.984455e-2	true
14	17	6.796520340533177e-2	1.334335466583597e-2	-1.788208e-7	2.503491e-1	2.179198e-2	3.050877e4	76470	-2.179215e-2	true
15	17	6.755593484516098e-2	1.265397406084726e-2	-1.668848e-7	2.503272e-1	2.292593e-2	3.438889e4	82353	-2.292609e-2	true
16	17	6.801408627070750e-2	1.286702744717809e-2	-1.564407e-7	2.503050e-1	2.396283e-2	3.834053e4	88235	-2.396299e-2	true
1	18	8.795169282204596e-2	8.795169282204596e-2	-2.546328e-6	2.546328e-1	-2.546328e-6	2.546328e-1	0	0.000000e0	true
5	18	8.670687103698357e-2	4.226242659253913e-2	-5.018507e-7	2.509253e-1	7.548308e-3	3.774154e3	22222	-7.548809e-3	true
7	18	8.030724219940748e-2	3.268819458035986e-2	-3.580860e-7	2.506602e-1	1.070748e-2	7.495233e3	33333	-1.070783e-2	true
11	18	7.016648961462582e-2	1.966143910957532e-2	-2.276549e-7	2.504204e-1	1.463489e-2	1.609838e4	55556	-1.463512e-2	true
13	18	6.641430417693647e-2	1.513225289488519e-2	-1.925817e-7	2.503562e-1	1.809664e-2	2.352563e4	66667	-1.809683e-2	true
