a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
1	4	50000	2.143971147884521e-1	2.143971147884521e-1	0.000000000000000e0	0.000000000000000e0	2.144025313717860e-1	2.144025313717860e-1	-5.416583e-6	2.708292e-1	-5.416583e-6	2.708292e-1
1	4	100000	2.143998230592852e-1	2.143998230592852e-1	0.000000000000000e0	0.000000000000000e0	2.144025313717860e-1	2.144025313717860e-1	-2.708313e-6	2.708313e-1	-2.708313e-6	2.708313e-1
3	4	100	1.410907872126450e-1	6.459470325476242e-2	-7.649608395788250e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-8.532634e-4	2.559790e-1	7.564282e-2	2.269285e1
3	4	500	1.422534176795536e-1	6.527679979348398e-2	-7.697661788606951e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-1.711668e-4	2.567503e-1	7.680545e-2	1.152082e2
3	4	1000	1.423991257556917e-1	6.536235087773344e-2	-7.703677487795826e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-8.561576e-5	2.568473e-1	7.695116e-2	2.308535e2
3	4	5000	1.425157523858766e-1	6.543083830757286e-2	-7.708491407830398e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-1.712833e-5	2.569250e-1	7.706779e-2	1.156017e3
3	4	10000	1.425303344689522e-1	6.543940215032323e-2	-7.709093231862921e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-8.564491e-6	2.569347e-1	7.708237e-2	2.312471e3
3	4	50000	1.425420007355825e-1	6.544625369108693e-2	-7.709574704449622e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-1.712950e-6	2.569425e-1	7.709403e-2	1.156411e4
3	4	100000	1.425434590564153e-1	6.544711016284603e-2	-7.709634889357034e-2	1.666666666666667e-1	2.321146333077535e-1	6.544796664108682e-2	-8.564782e-7	2.569435e-1	7.709549e-2	2.312865e4
1	5	100	1.898371226857588e-1	1.898371226857588e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-2.641740e-3	2.641740e-1	-2.641740e-3	2.641740e-1
